token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
30101700000,30622200000,30625000000,48456102345,67730741332,67549763857,57642592139,183022
30101800000,30622400000,30625000000,48456102345,67730741332,67549763857,57642592139,183022
30121800000,30622400000,30625000000,48456102345,67833824844,67386360366,57642592139,183022
30121800000,30622400000,30625000000,48456102345,67920133860,67386360366,57642592139,183022
30622400000,30623400000,30872500000,48456102345,68188633860,67335123152,57642592139,183022
30622400000,30623400000,30872500000,48456102345,68373933860,67335123152,57642592139,183022
30622400000,30623400000,44178700000,48466102345,68514333860,67335123152,57642592139,183022
30622400000,30625000000,44178700000,48466102345,68565981413,67335123152,57642592139,183022
30625000000,30625000000,44351623598,48972446703,68490311008,68389021170,57642592139,183022
30625000000,30625000000,45017023598,48972446703,68570943745,68334880058,57642592139,183022
49745800000,44351623598,48456102345,49393041151,68676299051,69149177593,52388084036,183022
49745800000,44351623598,48456102345,49530641151,69223642340,69149177593,52388084036,183022
44351623598,45017023598,48466102345,49530641151,69223642340,70643593395,52388084036,183022
45017023598,45017023598,48466102345,49503197511,69223642340,71198093395,52388084036,183022
45017023598,47905161999,48972446703,49503197511,69223642340,71089527330,52388084036,183022
45017023598,48456102345,48972446703,49649797511,70138962185,71089527330,52388084036,183022
48456102345,48456102345,49049053328,49649797511,70442596668,71469344737,52388084036,183022
48456102345,48466102345,49171770111,49790097511,70382026161,71469344737,52388084036,183022
48466102345,48972446703,49530641151,50195168903,71077292327,108088417065,44881833904,183022
48972446703,49049053328,49503197511,50572668903,72453114556,89939303922,44668037521,183022
49171770111,49417687081,49649797511,50541634415,72396880775,83302516227,44452053688,183022
49417687081,49393041151,49649797511,50779694963,72396880775,90785712567,44452053688,183022
49393041151,49530641151,49790097511,50955475952,72396880775,92019912567,44319452521,183022
49393041151,49530641151,49790097511,50955475952,72396880775,92019912567,44319452521,183022
49530641151,49503197511,50090297511,51203047607,72396880775,91910981212,44319452521,183022
49530641151,49649797511,50226097511,51203047607,72668480775,91910981212,44319452521,183022
49649797511,49649797511,50349368903,51333947606,73158980775,86335011481,44319452521,183022
49649797511,49649797511,50572668903,51657247607,73337589344,86219262864,44319452521,183022
50090297511,50195168903,50955475952,52637235595,77605755302,86153792769,44319452521,183022
50226097511,50349368903,51228475952,52637235595,78035339187,86335992769,43597937020,183022
50349368903,50572668903,51203047607,52731230747,78226934922,85874611629,43597937020,183022
50572668903,50572668903,51203047607,52856030747,78178044421,85874611629,43597937020,183022
50572668903,50541634415,51333947606,52856030747,78178044421,85765443724,43597937020,183022
50572668903,50779694963,51333947606,52856030747,78178044421,95077543724,43597937020,183022
50779694963,50955475952,52623747607,53086030747,80733344421,98369668628,43597937020,183022
50955475952,51203047607,52673747607,53086530747,89381483194,99733768628,43597937020,183022
51228475952,51203047607,52478171181,70830930747,89381483194,65067208793,43597937020,183022
51203047607,51333947606,52637235595,60228126691,84015916634,65055980504,43597937020,183022
51203047607,51333947606,52614030747,60228126691,53703697052,65055980504,43597937020,183022
51333947606,52623747607,52856030747,70307326691,53605765568,62331139013,43597937020,183022
52623747607,52478171181,52856030747,67996973329,53436929239,61762727572,43420226762,183022
52673747607,52637235595,52856030747,65921827966,53374795639,61122008680,43420226762,183022
52478171181,52637235595,53086530747,67150453222,53374795639,60964809188,43420226762,183022
52637235595,52614030747,53086530747,67150453222,54134095639,60964809188,42414557696,183022
52614030747,52856030747,70830930747,66749512049,54304693813,60382831995,42414557696,183022
52856030747,52856030747,60228126691,66833229412,54911493813,60380716092,42414557696,183022
52856030747,52856030747,66809326691,67056590363,54911493813,60380716092,42414557696,183022
52856030747,52856030747,70307326691,66934807940,55251593813,60380716092,42414557696,183022
53086530747,70830930747,65921827966,67148585889,55293965070,61896135649,41159278135,183022
53144530747,60228126691,67150453222,67066953661,55293965070,61805511999,41159278135,183022
60228126691,66809326691,66749512049,67215253661,55293965070,61649935769,41159278135,183022
60228126691,70307326691,66749512049,67521453661,55840244489,61649935769,41159278135,183022
66809326691,70307326691,66749512049,67454917671,56490719873,61659963637,41159278135,183022
70307326691,67996973329,67056590363,67558683275,56299348572,61611022897,39714308360,183022
66884773329,65921827966,66934807940,67558683275,56299348572,61611022897,36420525073,183022
65921827966,67150453222,67047153736,67558683275,56299348572,61585459079,36420525073,183022
65921827966,67150453222,66965185889,67631800169,56299348572,61692659079,36420525073,183022
67150453222,66749512049,66965185889,67638284876,56519348572,61652920303,36420525073,183022
66749512049,66749512049,67148585889,67784284876,56519348572,61652920303,36420525073,183022
66749512049,66749512049,67066953661,67784284876,56519348572,61652920303,36420525073,183022
66749512049,67056590363,67215253661,67730741332,56519348572,61652920303,36420525073,183022
66934807940,67047153736,67454917671,67920133860,57281505850,61652920303,36420525073,183022
67047153736,66965185889,67558683275,68188633860,57346605850,61652920303,36420525073,183022
67047153736,67148585889,67558683275,68514333860,57346605850,61652920303,36420525073,183022
66965185889,67148585889,67558683275,68514333860,57346605850,61652920303,36420525073,183022
67148585889,67066953661,67631800169,68490311008,58245396260,61705020303,36420525073,183022
67066953661,67521453661,67638284876,68490311008,62775805189,61705020303,36420525073,183022
67215253661,67454917671,67784284876,68570943745,62860574999,61715464561,36420525073,183022
67454917671,67558683275,67730741332,68795723333,62848935316,61691272576,36420525073,183022
67454917671,67558683275,67730741332,68795723333,62848935316,61656868880,36420525073,183022
67558683275,67558683275,67730741332,68676299051,63105835316,61656868880,36420525073,183022
67558683275,67631800169,68188633860,68676299051,65306219218,61718168880,36420525073,183022
67638284876,67730741332,68490311008,69223642340,65788608613,61725320023,36420525073,183022
67784284876,67730741332,68490311008,69025506717,65765456277,61725320023,36420525073,183022
67730741332,67730741332,68570943745,70138962185,66170263857,61659311910,36211639305,183022
67730741332,67920133860,68570943745,70442596668,66170263857,61659311910,36140603969,183022
68373933860,68565981413,68676299051,70382026161,67386360366,61659311910,36140603969,183022
68514333860,68565981413,68676299051,70578400731,67386360366,61584598139,36140603969,183022
68565981413,68490311008,68676299051,70871900731,67335123152,61584598139,36140603969,183022
68565981413,68490311008,68676299051,70871900731,67335123152,61641403394,36140603969,183022
68565981413,68490311008,69223642340,70871900731,67335123152,61641403394,36140603969,183022
68490311008,68570943745,69223642340,71338299570,67335123152,61641403394,36140603969,183022
68490311008,68570943745,69223642340,72222407536,68389021170,61560450916,36140603969,183022
68795723333,68676299051,70138962185,72453114556,68334880058,61560450916,36140603969,183022
68676299051,68676299051,70442596668,72396880775,68704780058,61552099617,35785978178,183022
68676299051,69223642340,70382026161,72396880775,68939580058,61552099617,35785978178,183022
69223642340,69025506717,70871900731,72668480775,69149177593,61510620237,35352174550,183022
70138962185,70442596668,72453114556,73337589344,71089527330,61562020237,35242219803,183022
70442596668,70382026161,72453114556,73342455302,71089527330,61562020237,35172762357,183022
70382026161,70578400731,72396880775,73342455302,71226912722,66455518115,34965775772,183022
70578400731,70871900731,72396880775,77605755302,71469344737,67702937322,34517970484,183022
70871900731,72222407536,72396880775,78035339187,71469344737,75600537322,34441762519,183022
71338299570,72453114556,72396880775,78035339187,71469344737,75600537322,34276140051,183022
72222407536,72453114556,72668480775,78178044421,108088417065,61828001570,34276140051,183022
72453114556,72453114556,73158980775,78178044421,108088417065,63950401569,34199129865,183022
72453114556,72396880775,73158980775,78178044421,90082570419,63950401569,32823645858,183022
72453114556,72396880775,73158980775,80733344421,89939303922,63385086209,32720198184,183022
72396880775,72396880775,73342455302,80733344421,83302516227,63385086209,32720198184,183022
73158980775,73337589344,78226934922,53703697052,91910981212,63969533001,31911469245,183022
73158980775,73342455302,78178044421,53605765568,86898872955,63969533001,31806803924,183022
73342455302,77091355302,80733344421,53436929239,86219262864,63973501762,31745926415,183022
77091355302,77605755302,80733344421,53374795639,86196245973,63973501762,31745926415,183022
77605755302,78035339187,89381483194,54134095639,86072192769,63925025236,31745926415,183022
78035339187,78226934922,89381483194,54134095639,86153792769,64012725236,31745926415,183022
78226934922,78178044421,84015916634,54304693813,86220392769,64012725236,31745926415,183022
78226934922,78178044421,53703697052,54911493813,86335992769,64357032257,31745926415,183022
78178044421,80733344421,53703697052,54911493813,85874611629,64349435121,31745926415,183022
78178044421,80733344421,53605765568,55251593813,85874611629,64277431717,31745926415,183022
80733344421,89381483194,53436929239,55251593813,95077543724,64611031717,31745926415,183022
89381483194,84015916634,53374795639,55293965070,98369668628,72120034827,31745926415,183022
89381483194,53703697052,54134095639,55293965070,98369668628,72120034827,31745926415,183022
84015916634,53703697052,54134095639,55293965070,99733768628,72120034827,31745926415,183022
53703697052,53605765568,54304693813,56430819873,65067208793,72120034827,31745926415,183022
53605765568,54395265568,54911493813,56490719873,65055980504,77451134826,31745926415,183022
54395265568,53436929239,55251593813,56299348572,62331139013,74411274155,31745926415,183022
53436929239,53374795639,55251593813,56299348572,62331139013,74003995488,31745926415,183022
53374795639,54134095639,55251593813,56299348572,61762727572,74003995488,31745926415,183022
54134095639,54304693813,55362252195,56519348572,61122008680,73747426926,31745926415,183022
54134095639,54911493813,55293965070,56519348572,60964809188,74102031798,31745926415,183022
54911493813,55251593813,56430819873,56748605850,60382831995,73980716149,31745926415,183022
54911493813,55251593813,56490719873,57281505850,60435231995,73980716149,31745926415,183022
55251593813,55251593813,56490719873,57281505850,60380716092,73980716149,31745926415,183022
55251593813,55362252195,56299348572,57346605850,60380716092,74106549768,31745926415,183022
55293965070,55293965070,56519348572,62775805189,60888237088,74164155495,31745926415,183022
55293965070,56430819873,56519348572,62860574999,61896135649,74355655495,31745926415,183022
56490719873,56299348572,56748605850,62848935316,61649935769,74508655495,31745926415,183022
56299348572,56299348572,56748605850,63105835316,61649935769,74508655495,31745926415,183022
56299348572,56299348572,57281505850,63105835316,61659963637,74508655495,31745926415,183022
56299348572,56299348572,57281505850,65361235316,61659963637,74661668504,31745926415,183022
56519348572,56748605850,62775805189,65765456277,61652920303,74619962689,183022,183022
57281505850,57346605850,62848935316,67549763857,61652920303,74406123791,183022,183022
57346605850,56748028424,63105835316,67549763857,61652920303,74369391827,183022,183022
56748028424,58245396260,65306219218,67335123152,61652920303,74490891827,183022,183022
58245396260,62860574999,65024308613,67335123152,61652920303,74499114525,183022,183022
58245396260,62860574999,65024308613,67617421171,61652920303,74471771451,183022,183022
62860574999,62848935316,65765456277,68389021170,61705020303,74471771451,183022,183022
62848935316,63105835316,66170263857,68334880058,61705020303,74416775533,183022,183022
63105835316,65361235316,66170263857,68334880058,61691272576,74416775533,183022,183022
65361235316,64845408613,67549763857,68939580058,61656868880,74111081677,183022,183022
64845408613,65788608613,67386360366,68939580058,61718168880,74295481677,183022,183022
65024308613,65765456277,67335123152,69149177593,61718168880,74217090553,183022,183022
65788608613,65765456277,67335123152,69149177593,61698509750,74217090553,183022,183022
65765456277,66170263857,67335123152,69586693395,61698509750,74151226494,183022,183022
65765456277,66170263857,67617421171,70643593395,61698509750,74151226494,183022,183022
66170263857,67549763857,68389021170,71089527330,61725320023,74151226494,183022,183022
67549763857,67549763857,68334880058,71226912722,61659311910,74038966005,183022,183022
67549763857,67335123152,68704780058,71469344737,61659311910,74038966005,183022,183022
67335123152,67617421171,68939580058,71469344737,61659311910,74038966005,183022,183022
67335123152,68389021170,69149177593,71469344737,61584598139,74038966005,183022,183022
68389021170,68334880058,70643593395,90082570419,61641403394,74081431480,183022,183022
68334880058,68334880058,71198093395,90082570419,61560450916,74081431480,183022,183022
68334880058,68939580058,71089527330,89939303922,61560450916,74081431480,183022,183022
68939580058,69149177593,71469344737,84175916227,61552099617,74154531480,183022,183022
68939580058,69149177593,71469344737,92019912567,61552099617,74044097754,183022,183022
69149177593,71198093395,71469344737,92019912567,61552099617,74021508440,183022,183022
71089527330,71226912722,108088417065,86898872955,61510620237,74021508440,183022,183022
71089527330,71226912722,90082570419,86790071243,61510620237,74021508440,183022,183022
71089527330,71226912722,90082570419,86335011481,61510620237,74021508440,183022,183022
71226912722,71469344737,89939303922,86219262864,61562020237,74021508440,183022,183022
71469344737,71469344737,89939303922,86072192769,67080820237,73993815770,183022,183022
71469344737,71469344737,84175916227,86153792769,66455518115,74143915770,183022,183022
90082570419,89939303922,91910981212,85874611629,75600537322,74110610603,183022,183022
89939303922,89939303922,86898872955,85874611629,61828001570,74110610603,183022,183022
89939303922,83302516227,86790071243,85765443724,63950401569,74110610603,183022,183022
89939303922,83302516227,86335011481,95077543724,63950401569,74110610603,183022,183022
90785712567,92019912567,86072192769,98369668628,63385086209,74066463170,183022,183022
92019912567,91910981212,86153792769,65072648368,63385086209,73978215755,183022,183022
92019912567,91910981212,86153792769,65126248368,63385086209,73978215755,183022,183022
92019912567,86898872955,86153792769,65067208793,64016507101,73978215755,183022,183022
86898872955,86219262864,85991182538,62255952341,64016507101,74064115755,183022,183022
86335011481,86219262864,85874611629,62331139013,63969533001,74072170177,183022,183022
86219262864,86072192769,85765443724,62331139013,63969533001,74072170177,183022,183022
86219262864,86072192769,85765443724,62331139013,63973501762,74072170177,183022,183022
86072192769,86153792769,95077543724,61762727572,63973501762,75151067476,183022,183022
86072192769,86153792769,98369668628,61122008680,63973501762,73131474893,183022,183022
86153792769,86220392769,98369668628,61122008680,63973501762,73131474893,183022,183022
86220392769,85991182538,65072648368,60964809188,63925025236,73131474893,183022,183022
85991182538,85765443724,65067208793,60382831995,64012725236,72491239801,183022,183022
85874611629,85765443724,65055980504,60380716092,64357032257,72491239801,183022,183022
85765443724,95077543724,62255952341,60380716092,64349435121,73111539801,183022,183022
85765443724,98367243724,62331139013,60380716092,64349435121,73088807418,183022,183022
95077543724,98369668628,62331139013,60503116092,64277431717,73075679131,183022,183022
98369668628,99733768628,61762727572,60503116092,64611031717,72307022095,183022,183022
98369668628,65126248368,61762727572,60503116092,64611031717,72307022095,183022,183022
98369668628,65126248368,60810597391,60888237088,64611031717,72307022095,183022,183022
65067208793,65055980504,60964809188,61649935769,72120034827,82180025856,183022,183022
65067208793,62255952341,60964809188,61649935769,72120034827,82180025856,183022,183022
65055980504,62331139013,60820090761,61649935769,72120034827,82059287651,183022,183022
65055980504,62331139013,60382831995,61649935769,72120034827,81946087246,183022,183022
62331139013,62331139013,60435231995,61659963637,72120034827,69249900025,183022,183022
62331139013,61762727572,60380716092,61611022897,74209474155,65042622238,183022,183022
62331139013,61762727572,60380716092,61611022897,74209474155,65042622238,183022,183022
61122008680,60964809188,60503116092,61692659079,74003995488,65042622238,183022,183022
60964809188,60382831995,60888237088,61652920303,73747426926,62512701486,183022,183022
60964809188,60382831995,61896135649,61652920303,73747426926,62512701486,183022,183022
60382831995,60435231995,61805511999,61652920303,73889031798,62421916518,183022,183022
60435231995,60380716092,61649935769,61652920303,74055810695,62099550742,183022,183022
60435231995,60380716092,61649935769,61652920303,73980716149,62099550742,183022,183022
60380716092,60503116092,61659963637,61652920303,73980716149,62178911827,183022,183022
60380716092,60503116092,61659963637,61652920303,73980716149,61204838584,183022,183022
60503116092,61896135649,61611022897,61652920303,74127213866,61133124439,183022,183022
61805511999,61649935769,61652920303,61705020303,74164155495,94227628997,183022,183022
61649935769,61649935769,61652920303,61705020303,74164155495,93752901823,183022,183022
61649935769,61659963637,61652920303,61715464561,74355655495,77367999954,183022,183022
61649935769,61659963637,61652920303,61691272576,74355655495,81833418827,183022,183022
61611022897,61561973519,61652920303,61656868880,74508655495,75104003545,183022,183022
61561973519,61692659079,61652920303,61718168880,74661668504,75163618983,183022,183022
61692659079,61652920303,61652920303,61698509750,74731368504,74481887150,183022,183022
61652920303,61652920303,61652920303,61698509750,74731368504,74481887150,183022,183022
61652920303,61652920303,61652920303,61698509750,74502310778,74103117656,183022,183022
61652920303,61652920303,61705020303,61725320023,74619962689,73943631423,183022,183022
61705020303,61691272576,61725320023,61560450916,74471771451,72822538086,183022,183022
61691272576,61656868880,61659311910,61552099617,74416775533,72454591018,183022,183022
61656868880,61656868880,61659311910,61552099617,74416775533,72272507525,183022,183022
61656868880,61718168880,61659311910,61552099617,74416775533,72272507525,183022,183022
61656868880,61718168880,61659311910,61552099617,74167612237,72364407525,183022,183022
61698509750,61698509750,61584598139,61552099617,74295481677,70747257202,183022,183022
61698509750,61659311910,61641403394,61510620237,74217090553,70747257202,183022,183022
61659311910,61659311910,61560450916,61562020237,74151226494,70301347577,183022,183022
61659311910,61659311910,61560450916,61562020237,74038966005,70085664458,183022,183022
61641403394,61560450916,61552099617,75600537322,74038966005,69635574650,183022,183022
61560450916,61560450916,61510620237,61828001570,74038966005,69642752049,183022,183022
61560450916,61552099617,61510620237,63950401569,74081431480,67081795772,183022,183022
61552099617,61552099617,67080820237,63385086209,74154531480,66884515172,183022,183022
61510620237,61562020237,75600537322,64016507101,74021508440,62883133497,183022,183022
61562020237,66455518115,63950401569,63973501762,74021508440,62585334047,183022,183022
66455518115,67702937322,63385086209,63973501762,73993815770,62233135485,183022,183022
67702937322,75600537322,63385086209,63925025236,73993815770,61603792190,183022,183022
75600537322,61828001570,64016507101,64012725236,74143915770,61719132817,183022,183022
61828001570,63950401569,64016507101,64012725236,74217667209,61665256382,183022,183022
63950401569,63385086209,63969533001,64369173532,74110610603,61532517643,183022,183022
63385086209,63385086209,63969533001,64277431717,74110610603,61532517643,183022,183022
63385086209,63385086209,63973501762,64611031717,74110610603,61447239937,183022,183022
64016507101,63969533001,64012725236,72120034827,73978215755,60435132400,183022,183022
64016507101,63969533001,64012725236,72120034827,73978215755,60435132400,183022,183022
63973501762,63973501762,64369173532,74411274155,74064115755,60531364970,183022,183022
63973501762,63925025236,64611031717,74003995488,74072170177,60458606179,183022,183022
64012725236,64012725236,72120034827,73889031798,73131474893,60857910734,183022,183022
