open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:50,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,6500000000,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,500000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:52,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,6500200000,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,551400000,0,0,5,0.9067827348567283,0.9999999999999999,0.9999999999999999,0.32359320748064746
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:53,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,6551900000,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,552200000,0,0,9,0.9054690329590728,0.9990945309670409,1.0,0.3355979575921219
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:54,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,6552300000,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,552300000,-49780929,-49780929,10,0.9053050878145935,0.9989136338946225,0.9999999999999999,0.3372783827191065
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:55,6502719071,6500000000,6502719071,6502719071,6502719071,6502719071,6502719071,6502719071,6502719071,6502719071,6502719071,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,562900000,-49780929,-49780929,16,0.8882572392965002,0.9975128797299698,0.9989340913128442,0.43014099406829676
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:56,6513219071,6500000000,6513219071,6513219071,6513219071,6513219071,6513219071,6513219071,6513219071,6513219071,6513219071,63700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,563700000,-49780929,-49780929,24,0.8869966294128082,0.9960972148305837,0.9975164094376442,0.4432064634467404
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:57,6515919071,6500200000,6515919071,6515919071,6515919071,6515919071,6515919071,6515919071,6515919071,6515919071,6515919071,66000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,566000000,-49780929,-49780929,28,0.8833922261484098,0.9946996466431095,0.9968197879858657,0.46998949028951803
2024-06-07 06:08:50,6000000000,2024-06-07 06:08:58,6516319071,6551900000,6516319071,6516319071,6516319071,6516319071,6516319071,6516319071,6516319071,6516319071,6516319071,15000000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,566400000,-49780929,-49780929,32,0.882768361581921,0.993997175141243,0.9961158192090396,0.4764665686472769
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:01,6516719071,6513219071,6500000000,6516719071,6516719071,6516719071,6516719071,6516719071,6516719071,6516719071,6516719071,3800000,0,66700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,566700000,-49780929,-49780929,34,0.8823010411152286,0.9934709722957474,0.995764955002647,0.4810740782979479
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:03,6517119071,6516319071,6551900000,6517119071,6517119071,6517119071,6517119071,6517119071,6517119071,6517119071,6517119071,990900000,0,1005500000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,1556900000,-49780929,-49780929,36,0.6358789903012396,0.996852720149014,0.9982015543708651,0.8320095114616941
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:04,7507619071,6516319071,6552300000,7507619071,7507619071,7507619071,7507619071,7507619071,7507619071,7507619071,7507619071,991600000,0,1005800000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,1558000000,-49780929,-49780929,40,0.6354300385109114,0.9961489088575097,0.9976893453145059,0.8381602890704416
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:06,7509219071,6516719071,6513219071,7509219071,7509219071,7509219071,7509219071,7509219071,7509219071,7509219071,7509219071,992600000,0,996100000,0,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,1559000000,-49780929,-49780929,41,0.6350224502886466,0.9955099422706863,0.997562540089801,0.8429796083731887
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:11,7509319071,7509219071,6516719071,7509319071,7509319071,7509319071,7509319071,7509319071,7509319071,7509319071,7509319071,1100000,0,992700000,0,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,1559100000,-49780929,-49780929,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:21,7509120001,7509319071,7509319071,6500000000,7509120001,7509120001,7509120001,7509120001,7509120001,7509120001,7509120001,0,-199070,100000,-199070,1059100000,-49979999,1559100000,-49979999,1559100000,-49979999,1559100000,-49979999,1559100000,-49979999,1559100000,-49979999,1559100000,-49979999,1559100000,-49979999,-49979999,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:22,7508920953,7509319071,7509319071,6500200000,7508920953,7508920953,7508920953,7508920953,7508920953,7508920953,7508920953,0,-398118,0,-398118,1059100000,-50179047,1559100000,-50179047,1559100000,-50179047,1559100000,-50179047,1559100000,-50179047,1559100000,-50179047,1559100000,-50179047,1559100000,-50179047,-50179047,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:23,7495701891,7509319071,7509319071,6551900000,7495701891,7495701891,7495701891,7495701891,7495701891,7495701891,7495701891,0,-13748898,0,-13748898,1007700000,-63529827,1559100000,-63529827,1559100000,-63529827,1559100000,-63529827,1559100000,-63529827,1559100000,-63529827,1559100000,-63529827,1559100000,-63529827,-63529827,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:24,7494578785,7509319071,7509319071,6552300000,7494578785,7494578785,7494578785,7494578785,7494578785,7494578785,7494578785,0,-14740286,0,-14740286,1006900000,-64521215,1559100000,-64521215,1559100000,-64521215,1559100000,-64521215,1559100000,-64521215,1559100000,-64521215,1559100000,-64521215,1559100000,-64521215,-64521215,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:25,7494447224,7509319071,7509319071,6502719071,7494447224,7494447224,7494447224,7494447224,7494447224,7494447224,7494447224,0,-14871847,0,-14871847,1006800000,-14871847,1559100000,-64652776,1559100000,-64652776,1559100000,-64652776,1559100000,-64652776,1559100000,-64652776,1559100000,-64652776,1559100000,-64652776,-64652776,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:26,7494348118,7509120001,7509319071,6513219071,7494348118,7494348118,7494348118,7494348118,7494348118,7494348118,7494348118,0,-14970953,0,-14970953,996200000,-14970953,1559100000,-64751882,1559100000,-64751882,1559100000,-64751882,1559100000,-64751882,1559100000,-64751882,1559100000,-64751882,1559100000,-64751882,-64751882,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:27,7494217997,7508920953,7509319071,6515919071,7494217997,7494217997,7494217997,7494217997,7494217997,7494217997,7494217997,0,-15295251,0,-15494321,995400000,-15494321,1559100000,-65275250,1559100000,-65275250,1559100000,-65275250,1559100000,-65275250,1559100000,-65275250,1559100000,-65275250,1559100000,-65275250,-65275250,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:28,7493693107,7495701891,7509319071,6516319071,7493693107,7493693107,7493693107,7493693107,7493693107,7493693107,7493693107,0,-15227846,0,-15625964,993100000,-15625964,1559100000,-65406893,1559100000,-65406893,1559100000,-65406893,1559100000,-65406893,1559100000,-65406893,1559100000,-65406893,1559100000,-65406893,-65406893,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:30,7493561448,7494447224,7509319071,6516319071,7493561448,7493561448,7493561448,7493561448,7493561448,7493561448,7493561448,0,-1412185,0,-16152471,992700000,-16152471,1559100000,-65933400,1559100000,-65933400,1559100000,-65933400,1559100000,-65933400,1559100000,-65933400,1559100000,-65933400,1559100000,-65933400,-65933400,42,0.6349817202232056,0.9954460906933487,0.9974985568597267,0.8436089097281264
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:31,7493034968,7494348118,7509120001,6516719071,7493034968,7493034968,7493034968,7493034968,7493034968,7493034968,7493034968,500000,-1542353,500000,-16414200,993200000,-16414200,1559600000,-66195129,1559600000,-66195129,1559600000,-66195129,1559600000,-66195129,1559600000,-66195129,1559600000,-66195129,1559600000,-66195129,-66195129,43,0.6347781482431393,0.9951269556296487,0.9973711208002053,0.8462382898939685
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:32,7493272793,7494217997,7508920953,6516719071,7493272793,7493272793,7493272793,7493272793,7493272793,7493272793,7493272793,500000,-1837076,500000,-16608959,992900000,-16808029,1559600000,-66588958,1559600000,-66588958,1559600000,-66588958,1559600000,-66588958,1559600000,-66588958,1559600000,-66588958,1559600000,-66588958,-66588958,43,0.6347781482431393,0.9951269556296487,0.9973711208002053,0.8462382898939685
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:33,7492879387,7493693107,7495701891,6517119071,7492879387,7492879387,7492879387,7492879387,7492879387,7492879387,7492879387,500000,-1708611,500000,-16804814,992900000,-17202932,1559600000,-66983861,1559600000,-66983861,1559600000,-66983861,1559600000,-66983861,1559600000,-66983861,1559600000,-66983861,1559600000,-66983861,-66983861,43,0.6347781482431393,0.9951269556296487,0.9973711208002053,0.8462382898939685
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:34,7550616139,7493693107,7494578785,7507619071,7550616139,7550616139,7550616139,7550616139,7550616139,7550616139,7550616139,58500000,-1576968,58500000,-3454034,60700000,-17202932,1617600000,-66983861,1617600000,-66983861,1617600000,-66983861,1617600000,-66983861,1617600000,-66983861,1617600000,-66983861,1617600000,-66983861,-66983861,44,0.6120178041543026,0.9940652818991097,0.9971562809099902,0.9704374431478925
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:38,7550482602,7492879387,7493693107,7509219071,7550482602,7550482602,7550482602,7550482602,7550482602,7550482602,7550482602,58000000,-528440,58500000,-1842148,58600000,-17336469,1617600000,-67117398,1617600000,-67117398,1617600000,-67117398,1617600000,-67117398,1617600000,-67117398,1617600000,-67117398,1617600000,-67117398,-67117398,44,0.6120178041543026,0.9940652818991097,0.9971562809099902,0.9704374431478925
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:39,7550349065,7550616139,7493693107,7509219071,7550349065,7550349065,7550349065,7550349065,7550349065,7550349065,7550349065,58000000,-267074,58500000,-1844042,58600000,-17470006,1617600000,-67250935,1617600000,-67250935,1617600000,-67250935,1617600000,-67250935,1617600000,-67250935,1617600000,-67250935,1617600000,-67250935,-67250935,44,0.6120178041543026,0.9940652818991097,0.9971562809099902,0.9704374431478925
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:40,7550215521,7550616139,7493561448,7509219071,7550215521,7550215521,7550215521,7550215521,7550215521,7550215521,7550215521,0,-534264,58500000,-2111232,58600000,-17737196,1617600000,-67518125,1617600000,-67518125,1617600000,-67518125,1617600000,-67518125,1617600000,-67518125,1617600000,-67518125,1617600000,-67518125,-67518125,44,0.6120178041543026,0.9940652818991097,0.9971562809099902,0.9704374431478925
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:42,7549880633,7550616139,7493272793,7509319071,7549880633,7549880633,7549880633,7549880633,7549880633,7549880633,7549880633,0,-735506,58000000,-1524238,58500000,-17938438,1617600000,-67719367,1617600000,-67719367,1617600000,-67719367,1617600000,-67719367,1617600000,-67719367,1617600000,-67719367,1617600000,-67719367,-67719367,44,0.6120178041543026,0.9940652818991097,0.9971562809099902,0.9704374431478925
2024-06-07 06:08:50,6000000000,2024-06-07 06:09:51,7609880633,7549880633,7550215521,7509120001,6500000000,7609880633,7609880633,7609880633,7609880633,7609880633,7609880633,60000000,0,60000000,-201242,118500000,-17938438,1177600000,-67719367,1677600000,-67719367,1677600000,-67719367,1677600000,-67719367,1677600000,-67719367,1677600000,-67719367,1677600000,-67719367,-67719367,45,0.5901287553648069,0.9883166428230805,0.9969599427753935,1.089973841382708
2024-06-07 06:08:50,6000000000,2024-06-07 06:10:00,98240,7609880633,7549880633,7493561448,6516319071,98240,98240,98240,98240,98240,98240,0,-7609502782,60000000,-7609502782,118500000,-7611815256,1111200000,-7627441220,1677600000,-7677222149,1677600000,-7677222149,1677600000,-7677222149,1677600000,-7677222149,1677600000,-7677222149,1677600000,-7677222149,-7677222149,45,0.5901287553648069,0.9883166428230805,0.9969599427753935,1.089973841382708
