open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:49,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,206248989204222,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,0,-651010795778,-651010795778,0,0.0,0.0,0.0,0.0
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:52,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,198744841289280,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,0,-18889913632734,-18889913632734,0,0.0,0.0,0.0,0.0
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:53,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,187902321796945,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,44301847976745,-62010465198032,-62010465198032,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:54,189169573423590,206248989204222,189169573423590,189169573423590,189169573423590,189169573423590,189169573423590,189169573423590,189169573423590,189169573423590,189169573423590,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,44301847976745,-63351049065295,-63351049065295,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:55,187829297902085,206248989204222,187829297902085,187829297902085,187829297902085,187829297902085,187829297902085,187829297902085,187829297902085,187829297902085,187829297902085,44301847976745,-62721539278882,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,44301847976745,-63372550074660,-63372550074660,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:56,187507372472019,206248989204222,187507372472019,187507372472019,187507372472019,187507372472019,187507372472019,187507372472019,187507372472019,187507372472019,187507372472019,44301847976745,-63323923569271,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,44301847976745,-63974934365049,-63974934365049,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:57,187205555352227,198744841289280,187205555352227,187205555352227,187205555352227,187205555352227,187205555352227,187205555352227,187205555352227,187205555352227,187205555352227,44301847976745,-63893583339288,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,44301847976745,-64544594135066,-64544594135066,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:43:59,186636025509015,189169573423590,206248989204222,186636025509015,186636025509015,186636025509015,186636025509015,186636025509015,186636025509015,186636025509015,186636025509015,0,-3600158139129,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,44301847976745,-65610623337161,-65610623337161,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:00,185067988095959,187829297902085,206248989204222,185067988095959,185067988095959,185067988095959,185067988095959,185067988095959,185067988095959,185067988095959,185067988095959,0,-2782810815491,44301847976745,-65482849085008,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,44301847976745,-66133859880786,-66133859880786,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:01,184963695362277,187507372472019,206248989204222,184963695362277,184963695362277,184963695362277,184963695362277,184963695362277,184963695362277,184963695362277,184963695362277,0,-2886446953211,44301847976745,-65607986232093,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,44301847976745,-66258997027871,-66258997027871,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:02,182881871228617,187205555352227,198744841289280,182881871228617,182881871228617,182881871228617,182881871228617,182881871228617,182881871228617,182881871228617,182881871228617,0,-4345042383079,44301847976745,-67668965952350,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,44301847976745,-68319976748128,-68319976748128,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:04,147952204020132,186636025509015,189169573423590,147952204020132,147952204020132,147952204020132,147952204020132,147952204020132,147952204020132,147952204020132,147952204020132,0,-39368649449195,0,-41902778386229,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,44301847976745,-103913243584261,-103913243584261,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:05,147288340146637,185067988095959,187829297902085,147288340146637,147288340146637,147288340146637,147288340146637,147288340146637,147288340146637,147288340146637,147288340146637,0,-38303148737845,0,-40562723009711,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,44301847976745,-103913772075006,-103913772075006,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:08,137518104233619,182881871228617,187205555352227,137518104233619,137518104233619,137518104233619,137518104233619,137518104233619,137518104233619,137518104233619,137518104233619,0,-45363766994998,0,-49139149608060,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,44301847976745,-113683743743126,-113683743743126,2,0.9559982833221481,1.0,1.0,0.180459655087545
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:09,136387429005753,147952204020132,186636025509015,136387429005753,136387429005753,136387429005753,136387429005753,136387429005753,136387429005753,136387429005753,136387429005753,104292733682,-46494442222864,104292733682,-50269824835926,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,44406140710427,-114814418970992,-114814418970992,3,0.9537530156008855,1.0,1.0,0.19660000356385152
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:10,136267476928838,147288340146637,185067988095959,136267476928838,136267476928838,136267476928838,136267476928838,136267476928838,136267476928838,136267476928838,136267476928838,5137796089280,-11125420197328,5137796089280,-49428040444428,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,49439644066025,-115038663781589,-115038663781589,4,0.8566503949180269,1.0,1.0,0.5056281342898127
2024-06-07 13:43:49,206900000000000,2024-06-07 13:44:11,141408043216527,147288340146637,184963695362277,141408043216527,141408043216527,141408043216527,141408043216527,141408043216527,141408043216527,141408043216527,141408043216527,5578468203761,-11124891706583,5578468203761,-48904803900803,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,49880316180506,-115038663781589,-115038663781589,6,0.8490822403872214,0.9979091404853051,1.0,0.5566344855788128
