token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
100034649115,100336149115,100284419762,100383532981,101993149053,103339291730,103784281103,106384706323
100034649115,100287094196,100284419762,100383833619,102033169053,103339311730,103784281103,106384706323
100335149115,100287094196,100384419762,100487896619,102033169053,103339355651,103784281103,106384706323
100035349115,100287094196,100384419762,100487896619,102033169053,103339355651,103784281103,106384706323
100335649115,100287194196,100384319571,100487896619,102033169053,103339355651,103784281103,106384706323
100336149115,100287194196,100384319571,100487896619,102033189053,103339355651,103784281103,106384726323
100287094196,100287194196,100384319380,100497696843,101964358784,103369355651,103784281103,106384746323
100287094196,100287194196,100384319380,100497696843,101964378784,103205976406,103784321103,106384746323
100287194196,100287194196,100384220277,100497696843,101964378784,103201236112,103784321103,106384746323
100287194196,100287194196,100384222589,100497696843,101964438784,103201236112,103784321103,106384766323
100287194196,100287194196,100384123486,100497696843,102180359879,103201276112,103784321103,106384766323
100287194196,100288394196,100384032914,100497696843,102180359879,103201316112,103784321103,106384766323
100288794196,100384419762,100383732343,100902738303,101905758895,103201596112,103663588175,106384750311
100288794196,100384419762,100383732343,100902738303,101905758895,103017323003,103663588175,106384750311
100284419762,100384319571,100383732343,100982738303,101905758895,102724610150,103663588175,106384750311
100284419762,100384319571,100383732343,100982738303,101905778895,102724610150,103663588175,106384750311
100384319571,100384220277,100383732343,100982738303,101905798895,102724610150,103663588175,106384750311
100384319571,100384222589,100383532981,100982738303,101905798895,102724610150,103663588175,106384770311
100384319380,100384023295,100487896619,101282738303,101905736377,102724610150,103663588175,106384770311
100384220277,100384032914,100487896619,101282738303,101934045171,102724610150,103663588175,106384770311
100384023295,100383732343,100497696843,101282738303,101934125171,102724610150,103663588175,106384770311
100384032914,100383732343,100497696843,101282738303,101934169149,102724610150,103663588175,106384770311
100383832533,100383732343,100497696843,101282738303,101934193263,102724610150,103663588175,106384770311
100383832533,100383732343,100497696843,101282738303,102058923594,102724610150,103663588175,106384770311
100383732343,100383732343,100497696843,101282738303,102058923594,102724694430,103663588175,106384770311
100383732343,100383732343,100497696843,101282738303,102058923594,102724734430,103663588175,106384770311
100383732343,100383732343,100497696843,101282738303,102058923594,102724734430,103663588175,106384770311
100383732343,100383732343,100497696843,101282738303,102226234788,102724754430,103663588175,106384770311
100383732343,100383732343,100497696843,101282738303,102226234788,102675008843,103663588175,106384770311
100487896619,100497696843,100982738303,101418728072,102162800393,102488685520,103663592302,106384790311
100487896619,100497696843,100982738303,101425728072,102162840393,102488685520,103663592302,106384850311
100497696843,100497696843,101282738303,101425728072,102162904446,102488685520,103663592302,106384894242
100497696843,100497696843,101282738303,101425728072,102099578303,102488689831,103663592302,106384994242
100902738303,100982738303,101282738303,101428373461,102198452831,102686681030,103663612302,106384998185
100982738303,100982738303,101282738303,101428373461,102198452831,102706481030,103663632302,106384998185
100982738303,101282738303,101248330993,101428373461,102198640831,102706481030,103663632302,106384998185
101282738303,101282738303,101425728072,101254597732,102177026877,102706501030,103663632302,106384998185
101418728072,101425728072,101428373461,101373883852,102177050968,102763731960,104039765688,106385142184
101418728072,101425728072,101428373461,101383883852,102079832951,102763731960,104039765688,106385142184
101425728072,101445728072,101254597732,101883883852,102079832951,102763771960,104039765688,106385142184
101508633022,101428373461,101453579522,101883883852,102482097693,102763891960,104039765688,106385142184
101428373461,101428373461,101464516112,101980636427,102586429404,102763891960,104039765688,106385142184
101428373461,101468409777,101464516112,101980636427,102586429404,102763891960,104039765688,106385142184
101428373461,101468409777,101464516112,101980636427,102761187962,102763771960,104039765688,106385142184
101254597732,101453579522,101383883852,101980636427,102855467354,102485184386,104039785688,106518415781
101454597732,101453579522,101383883852,101851845464,102855527354,102349603205,104472011594,106518415781
101453579522,101453579522,101883883852,101764887461,102855547354,102349703205,104472011594,106518415781
101453579522,101464516112,101883883852,101764887461,102855587354,102349703205,104471098993,106518415781
101453579522,101464516112,101883883852,101764907461,102855587354,102349703205,104471098993,106518415781
101464516112,101373883852,101883883852,101856413031,102985575692,102350083205,104471238993,106518415781
101464516112,101383883852,101980636427,101990932221,102985615692,102330578757,104471238993,106518415781
101383883852,101383883852,101980636427,101985802975,102985655692,102330578757,104471283079,106518415781
101383883852,101883883852,101980636427,101985802975,103030143716,102330578757,104471303079,106518415781
101383883852,101883883852,101980636427,101985802975,103030143716,102330598757,104602527255,106518415781
101883883852,101883883852,101764887461,101985842975,103309233080,102330598757,104602527255,106553386161
101980636427,101980636427,101990932221,101567590764,103097637312,102025706165,104602527255,106553390200
101764887461,101764907461,101985842975,101558846019,103362461963,101700362594,104602607255,106553390200
101764887461,101693480951,101985842975,101558886019,103362481963,101700362594,104602607255,106553390200
101693480951,101985802975,101567590764,101730619251,103362605865,101700442594,104772203180,106553390200
101990932221,101985802975,101567590764,101730639251,103418040198,101700442594,105046441763,106553390200
101985802975,101985802975,101567590764,101867211413,103418040198,101700482594,105046441763,106553390200
101985802975,101985802975,101567590764,101867291413,103066588415,101700582594,105046441763,106553390200
101985802975,101985822975,101567590764,101867331413,103042925358,101746360360,105046441763,106553390200
101985842975,101567590764,101558626019,101993089053,102778612416,101555777755,105046441763,106553390200
101985842975,101567590764,101558706019,101993149053,102778612416,101555797755,105046441763,106553390200
101567590764,101567590764,101648618291,102033169053,103018987488,101555857755,105046441763,106553390200
101567590764,101567590764,101648882451,102033169053,103019007488,101555857755,105046441763,106553390200
101567590764,101567590764,101730519251,102033189053,103019027488,101555877755,105046441763,106553390200
101567590764,101567590764,101730619251,101964274722,103019027488,101555877755,105046441763,106553390200
101558706019,101648618291,101943454027,101905758895,103263987482,101771789796,105046561763,106302802050
101558846019,101648882451,101943454027,101905758895,103263987482,101771809796,105046561763,106302862050
101648598291,101730619251,101993149053,101905798895,103264027482,101725985515,105046561763,106302862050
101648882451,101730619251,101993149053,101905798895,103264027482,101771889796,105046561763,106302862050
101730519251,101730639251,101993149053,101905798895,103264027482,101563507871,105046561763,106302862050
101730619251,101575765974,102033169053,101905736377,103264087482,101563507871,105046561763,106302862050
101730619251,101867211413,102033169053,101934045171,103448841093,101563507871,105046561763,106302862050
101730619251,101867291413,102033169053,101934045171,103339047809,101563507871,105046561763,106302862050
101730639251,101867291413,102033189053,101934045171,103339047809,101563507871,105046561763,106302862050
101575525974,101867331413,101964274722,101934045171,103339047809,101563507871,105046561763,106302862050
101867291413,101943234027,101964438784,101934193263,103339131730,101676603764,105046561763,106302862050
101867331413,101943234027,102180359879,102058923594,103339131730,101676663764,105046561763,106302862050
101943234027,101943274027,102180359879,102058923594,103339131730,101676723764,105046705674,106302862050
101943234027,101943454027,102180359879,102058923594,103339131730,101676723764,105046725674,106302862050
101943234027,101943454027,102180359879,102058923594,103339171730,101676723764,105046745674,106302862050
101943234027,101993089053,102180439879,102226234788,103339191730,101442675996,105046785674,106302862050
101943274027,101993149053,102180499879,102226234788,103339191730,101442735996,105046785674,106302862050
101993149053,102033169053,101905758895,102226234788,103339191730,101267373407,105340367512,106302862050
101993149053,102033169053,101905758895,102226234788,103339211730,101267373407,105340367512,106302862050
102033169053,101964274722,101905778895,102226234788,103339251730,101267373407,105340367512,106302862050
102033169053,101964358784,101905798895,102226234788,103339271730,101267373407,105340367512,106302862050
101964274722,102180359879,101905696377,102162840393,103339311730,101267473407,105395379309,106302862050
101964438784,102180439879,101934045171,102099554189,103339355651,101267473407,105395439309,106302862050
102180359879,102180439879,101934045171,102099554189,103369355651,101267473407,105395459309,106302862050
102180359879,102180499879,101934125171,102099578303,103369355651,101267473407,105395479309,106302862050
102180359879,102180687794,101934165171,102348498912,103205976406,101267473407,105395479309,106302862050
102180439879,101905774918,101934193263,102348498912,103201236112,101267473407,105395479309,106553410200
102180439879,101905774918,102058923594,102348498912,103201276112,101267473407,105395499309,106553410200
101905774918,101905758895,102226234788,102198452831,103201316112,101267513407,105395599309,106553410200
101905758895,101905798895,102226234788,102198452831,103201316112,101267513407,105395599309,106553410200
101905758895,101905798895,102226234788,102198452831,103201316112,101341446565,105395599309,106553410200
101905758895,101905798895,102226234788,102198452831,103201316112,101341466565,105395599309,106553410200
101905758895,101905798895,102226234788,102198452831,103201316112,101341466565,105395599309,106553430200
101905798895,101905736377,102226234788,102198472831,103201596112,101341466565,105395619309,106553550200
101905696377,101934045171,102226234788,102077938114,102724610150,101143193574,105395639309,106553590200
101905736377,101934125171,102226234788,102077938114,102724610150,100931074459,105223219937,106553610200
101934045171,102058923594,102162840393,102176966877,102724610150,100931074459,105223279937,106312719617
101934125171,102058923594,102162904446,102177026877,102724610150,100931074459,105223279937,106312739617
101934165171,102058923594,102099554189,102177026877,102724610150,101341506565,105223279937,106312739617
102058923594,102226234788,102099578303,102177026877,102724610150,101253039132,105223279937,106312739617
102058923594,102226234788,102348498912,102177026877,102724610150,101253039132,105223279937,106312739617
102058923594,102226234788,102348498912,102177026877,102724610150,101253139132,105223279937,106312739617
102226234788,102226234788,102348498912,102177026877,102724610150,101253159132,105223279937,106312739617
102226234788,102226234788,102348498912,102177026877,102724610150,101253239132,105223279937,106312739617
102226234788,102226234788,102198452831,102177026877,102724754430,101243411235,105223279937,106312739617
102099554189,102348498912,101924400480,102079832951,102488685520,101324356965,105223299937,105846494870
102099554189,102348498912,102176966877,102079832951,102488685520,101324356965,105223299937,105846494870
102099578303,102348498912,102177026877,102079832951,102488685520,101324356965,105223299937,105846494870
102348498912,102198348706,102177026877,102079832951,102488685520,101324356965,105223299937,105846494870
102348498912,102198452831,102177026877,102079832951,102488689831,101518715344,105223299937,105846494870
102198348706,102198452831,102177026877,102352160822,102488709831,101518755344,105223299937,105846494870
102198452831,102198492831,102177026877,102586429404,102488789831,101518835344,105223299937,105846494870
102198452831,102198640831,102177026877,102586429404,102488789831,101518835344,105223299937,105846494870
102198452831,102077938114,102177026877,102586429404,102488849831,101642772315,105223299937,105846494870
102077938114,102177026877,102177026877,102761247962,102706481030,101642772315,105302191807,105846494870
102077958114,102177026877,102177050968,102855467354,102706481030,101642772315,105302211807,105846534870
101924340480,102177026877,102079832951,102855467354,102706481030,101642772315,105457160675,105846574870
101924400480,102177026877,102079832951,102855467354,102706481030,101642812315,105457160675,105846594870
102177026877,102177026877,102079832951,102855527354,102706481030,101581158249,105457340675,105846634870
102177026877,102177026877,102079832951,102855527354,102706501030,101581158249,105457340675,105846654870
102177026877,102177026877,102079832951,102855527354,102706501030,101581158249,105457340675,105846654870
