open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:07,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,700000100000,500000,0,500000,0,500000,0,500000,0,500000,0,500000,0,500000,0,500000,0,500000,0,500000,0,0,5,0.2,1.0,1.0,1.6094379124341005
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:08,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,700001000000,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,50200000,0,0,9,0.9760956175298805,0.9920318725099602,1.0,0.15623790613902017
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:09,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,700150200000,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,150800000,0,0,12,0.6631299734748011,0.9953580901856763,0.9986737400530504,0.7153215220973407
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:10,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,700150900000,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,0,16,0.5824111822947,0.9900990099009901,0.9965055329062319,1.0251193683783213
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:11,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,700171800000,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,394000000,0,0,28,0.25380710659898476,0.8857868020304569,0.9923857868020305,1.871694437930641
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:12,700394500000,700000100000,700394500000,700394500000,700394500000,700394500000,700394500000,700394500000,700394500000,700394500000,700394500000,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,394800000,0,0,32,0.25329280648429586,0.8839918946301926,0.9903748733535968,1.8846678065447997
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:13,700404000000,700001000000,700404000000,700404000000,700404000000,700404000000,700404000000,700404000000,700404000000,700404000000,700404000000,403800000,0,404300000,0,404300000,0,404300000,0,404300000,0,404300000,0,404300000,0,404300000,0,404300000,0,404300000,0,0,36,0.24734108335394508,0.8632203809052683,0.9886223101657184,1.955847018036923
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:14,700404400000,700150200000,700404400000,700404400000,700404400000,700404400000,700404400000,700404400000,700404400000,700404400000,700404400000,354300000,0,404500000,0,404500000,0,404500000,0,404500000,0,404500000,0,404500000,0,404500000,0,404500000,0,404500000,0,0,38,0.24721878862793573,0.8627935723114958,0.988133498145859,1.9594807102751983
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:16,700404600000,700171800000,700404600000,700404600000,700404600000,700404600000,700404600000,700404600000,700404600000,700404600000,700404600000,232900000,0,404600000,0,404600000,0,404600000,0,404600000,0,404600000,0,404600000,0,404600000,0,404600000,0,404600000,0,0,39,0.24715768660405338,0.8625803262481463,0.9878892733564014,1.9612963009124762
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:17,700404610000,700394500000,700000100000,700404610000,700404610000,700404610000,700404610000,700404610000,700404610000,700404610000,700404610000,10810000,0,404810000,0,404810000,0,404810000,0,404810000,0,404810000,0,404810000,0,404810000,0,404810000,0,404810000,0,0,41,0.24702947061584446,0.8621328524492972,0.9873767940515302,1.9648207452794455
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:19,700405110000,700404400000,700150200000,700405110000,700405110000,700405110000,700405110000,700405110000,700405110000,700405110000,700405110000,810000,0,354910000,0,405110000,0,405110000,0,405110000,0,405110000,0,405110000,0,405110000,0,405110000,0,405110000,0,0,42,0.24684653550887414,0.8614944089259708,0.9866456024289699,1.969443889857197
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:21,700356305279,700404600000,700171800000,700356305279,700356305279,700356305279,700356305279,700356305279,700356305279,700356305279,700356305279,710000,-48804721,233510000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,405210000,-48804721,-48804721,43,0.24678561733422177,0.861281804496434,0.9864021124848844,1.971254660383941
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:24,700357405279,700405110000,700404400000,700357405279,700357405279,700357405279,700357405279,700357405279,700357405279,700357405279,700357405279,1400000,-48804721,1910000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,406210000,-48804721,-48804721,44,0.2461780852268531,0.8591615174417173,0.9852046970778662,1.9836482097922312
2024-06-11 03:48:07,700000000000,2024-06-11 03:48:26,700358105279,700356305279,700404600000,700358105279,700358105279,700358105279,700358105279,700358105279,700358105279,700358105279,700358105279,3000000,-48804721,3610000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,408110000,-48804721,-48804721,47,0.24503197667295581,0.8551615985886157,0.9806179706451692,2.008445736329236
