token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
700394500000,700404610000,700360805279,700789109814,706962810668,713000575178,288510,288510
700404000000,700404610000,700360805279,700789010090,706962810668,713000575178,288510,288510
700404400000,700405110000,700360805279,700789010090,706962810668,713000575178,288510,288510
700404400000,700405110000,700360805279,700789010090,706962810668,713000575178,288510,288510
700404600000,700356305279,700360705791,700789010090,706962810668,713000575178,288510,288510
700404610000,700356305279,700360606203,700789010090,706962810668,713000575178,288510,288510
700404610000,700356305279,700360606203,701235910366,706962810668,713000575178,288510,288510
700405110000,700357405279,700789506649,701235910366,706962810668,713000575178,288510,288510
700356305279,700358105279,700789406925,701235910366,706962810668,713000575178,288510,288510
700356305279,700358105279,700789406925,701235910366,706962810668,713000575178,288510,288510
700357405279,700358105279,700788908759,701235910366,706962810668,713000575178,288510,288510
700358105279,700360305279,700788908759,701235910366,706962810668,713000575178,288510,288510
700358105279,700360805279,700788908759,701235910366,707474810668,713000575178,288510,288510
700360305279,700360805279,700788709538,701235910366,707474810668,713000575178,288510,288510
700360805279,700360705791,700789109814,701235910366,707573795367,713000575178,288510,288510
700360805279,700360606203,700789109814,701235910366,707573795367,713000575178,288510,288510
700789406925,700788908759,700789010090,701235910366,709254629313,713450575178,288510,288510
700789406925,700788908759,700789010090,701235910366,709254629313,713450575178,288510,288510
700788908759,700788908759,701235910366,701235910366,709768629313,713450575178,288510,288510
700788908759,700788908759,701235910366,701235910366,709768629313,713450575178,288510,288510
700788908759,700788709538,701235910366,701235910366,709768629313,713450575178,288510,288510
700788908759,700789109814,701235910366,701235910366,709768629313,713450575178,288510,288510
700789109814,700789109814,701235910366,701235910366,709768629313,713450575178,288510,288510
700789109814,700789010090,701235910366,701235910366,709758461007,713450575178,288510,288510
701235910366,701235910366,701235910366,701235910366,709667575178,713470575178,288510,288510
701235910366,701235910366,701235910366,701334810627,710951575178,713470575178,288510,288510
701334810627,701334810627,701334810627,702100810627,711663575178,713947575178,288510,288510
701394810627,702090810627,703056810668,703511810668,712245575178,714541627685,288510,288510
702100810627,703056810668,703056810668,704810810668,712245575178,714541627685,288510,288510
702541810668,703056810668,703056810668,704810810668,712245575178,714541627685,288510,288510
703056810668,703056810668,703056810668,704810810668,712245575178,714541627685,288510,288510
703056810668,703056810668,703056810668,704810810668,712245575178,714541627685,288510,288510
703056810668,703056810668,703056810668,704810810668,712245575178,714541627685,288510,288510
703511810668,703511810668,704810810668,706474810668,712245575178,714541627685,288510,288510
704810810668,704810810668,706474810668,706962810668,713000575178,714541627685,288510,288510
704810810668,704810810668,706474810668,706962810668,713000575178,714541627685,288510,288510
706474810668,706474810668,706962810668,707573795367,713000575178,715040627685,288510,288510
706474810668,706474810668,706962810668,708690629313,713000575178,715040627685,288510,288510
706962810668,706962810668,707474810668,709768629313,713000575178,715040627685,288510,288510
706962810668,706962810668,707573795367,709758461007,713000575178,715040627685,288510,288510
707473795367,708126795367,709768629313,710951575178,713000575178,716464627685,288510,288510
707573795367,709254629313,709768629313,710951575178,713000575178,716464627685,288510,288510
708690629313,709254629313,709758461007,710951575178,713000575178,716464627685,288510,288510
709254629313,709254629313,709758461007,710951575178,713000575178,716464627685,288510,288510
