token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
9081741493,9093541493,9301461493,9301012884,9016831343,9321220798,9226745021,9562292091
9092541493,9093541493,9301461493,9301012884,9016831343,9321220798,9226745021,9562292091
9093541493,9093541493,9301461493,9301093329,9016831343,9321220798,9226745021,9562292091
9093541493,9093541493,9301461493,9301093329,9016831343,9321220798,9226745021,9562292091
9093541493,9093541493,9301357131,9223216006,9016831343,9321220798,9226745021,9562292091
9093541493,9293541493,9301047903,9222726142,9016831343,9321220798,9226745021,9562292091
9093541493,9293541493,9300943530,9222726142,9016831343,9321220798,9226745021,9562292091
9293941493,9294841493,9301221602,9222530493,9016831343,9220347902,9226745021,9562292091
9294841493,9301461493,9301012884,9222530493,9016831343,9220347902,9226745021,9562292091
9294841493,9301461493,9301012884,9222530493,9016831343,9220347902,9226745021,9562292091
9301461493,9301461493,9301012884,9222530493,9016831343,9220347902,9226745021,9562292091
9301461493,9301047903,9301012884,9222530493,9016831343,9220347902,9226745021,9562292091
9301461493,9300943530,9301012884,9222334861,9016831343,9220347902,9226745021,9562292091
9300738706,9301325979,9223216006,9222334844,9016831343,9220347902,9226745021,9562292091
9300639080,9301221602,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9300534725,9301117243,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9301534725,9301012884,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9301325979,9301012884,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9301221602,9301012884,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9301117243,9301012884,9222726142,9222334844,9016831343,9220347902,9226745021,9562292091
9301012884,9301012884,9222530493,9222334844,9016831343,9220347902,9226745021,9562292091
9301012884,9301012884,9222530493,9222334844,9016831343,9220347902,9225722736,9562292091
9301012884,9301012884,9222530493,9222334844,9016831343,9220347902,9225722736,9562292091
9301012884,9301012884,9222530493,9222334844,9016831343,9220347902,9225722736,9562292091
9301012884,9301012884,9222530493,9222334844,9016831343,9220347902,9225722736,9562292091
9222726142,9222530493,9222334844,9026135440,9016831343,9220347902,9225722736,9562292091
9222726142,9222530493,9222334844,9026135440,9016831343,9220347902,9225722736,9562292091
9222726142,9222530493,9222334844,9026135440,9016831343,9220347902,9225722736,9562292091
9222530493,9222530493,9222334844,9026135440,9016831343,9220347902,9225722736,9562292091
9222334844,9222334844,9026135440,9026135440,9016831343,9220347902,9225722736,9562292091
9222334844,9222334844,9026135440,9026135440,9016831343,9220347902,9225722736,9562292091
