token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
49634305879,49946705879,50577409949,53093209794,64726593351,73777790512,68732754299,76396905163
49796305879,50446705879,50577409949,53123435513,64726593351,73777790512,68732754299,76396905163
49846505879,50636905879,50233419064,53123435513,64726593351,73777790512,68732754299,76396905163
49946705879,50636905879,50233315068,53009951896,64726593351,73777790512,67762103499,76396905163
50446705879,50636905879,50233213821,53009951896,65076593351,73777790512,67762103499,76396905163
50446705879,50636905879,50233213821,53009951896,65076593351,73777790512,67762103499,76396905163
50636905879,50636905879,53333097049,59009718329,65076593351,73777790512,67762103499,76396905163
50636905879,50636905879,53332862635,59009718329,65076593351,73777790512,67762103499,76396905163
50636905879,50636905879,53332862635,59009718329,65076593351,73777790512,67762103499,76396905163
50636905879,50636905879,53093883499,58870947221,65076593351,73777790512,67762103499,76396905163
50636905879,50636905879,53093767341,58870947221,65076593351,75777790512,67762103499,76396905163
50577409949,50233315068,53093209794,53794171809,65476593351,76408357085,67762103499,76252863968
50577409949,50233213821,53093209794,52231989545,65476593351,76408357085,67762103499,76252863968
50223520315,50233213821,53093209794,52231989545,65476593351,76408357085,67762103499,76252863968
50233213821,53093883499,53123435513,52231989545,65476593351,76375509194,67762103499,76333435943
53233213821,53093883499,53123435513,52231989545,65476593351,76375509194,67491420309,76833435943
53332862635,53093767341,53009951896,52231989545,65476593351,75647390527,67491420309,76833435943
53332862635,53093654253,53009951896,52231989545,65476593351,75647390527,67491420309,76833435943
53093883499,53093435513,53009951896,52231989545,65476593351,75447390527,67491420309,76833435943
53093767341,53093435513,59009718329,52401989545,65476593351,75447390527,67491420309,76833435943
53093767341,53093435513,59009718329,52401989545,65476593351,75447390527,67491420309,76833435943
53093435513,53093435513,58870947221,52401989545,75476593351,75497390527,66983947761,76833435943
53093435513,53093435513,58870947221,55401989545,75476593351,75497390527,66983947761,76833435943
53093435513,53093209794,53794171809,55401989545,75476593351,75497390527,67067058748,76833435943
53093435513,53093209794,53794171809,55401989545,75476593351,75497390527,67067058748,76833435943
53093209794,53009951896,53794171809,55901989545,75506593351,77507390527,67067058748,77345088142
53009951896,59009718329,52231989545,55901989545,75635593351,68515330543,66848132571,77345088142
59009718329,58870947221,52231989545,55868960238,75734593351,68515330543,66848132571,77345088142
58870947221,53794171809,52401989545,55868960238,75734593351,69515330543,66848132571,77345088142
53794171809,53794171809,52401989545,55868960238,75734593351,69515330543,66848132571,77345088142
53794171809,52231989545,55401989545,55868960238,75538470161,71515330543,66848132571,77345088142
52231989545,52231989545,55901989545,57868960238,75609543153,69344987628,66848132571,77345088142
55401989545,55401989545,55868960238,57868960238,77264543153,70344987628,66848132571,77345088142
55401989545,55901989545,55868960238,57968960238,74351260622,70344987628,65428551646,77345088142
55901989545,55868960238,56868960238,58269098693,74495093280,70344987628,65339294021,77345088142
55868960238,55868960238,57868960238,58419098693,74112261454,70086258074,75339294021,77345088142
57868960238,57868960238,58269098693,58419098693,76934597703,70683444597,75212133915,77595088142
57868960238,57868960238,58269098693,58419098693,75774507949,70683444597,75212133915,77595088142
57968960238,58269098693,58419098693,58419098693,75298455176,70683444597,84851777325,77595088142
58269098693,58269098693,58419098693,58419098693,74034692880,72683444597,84851777325,77595088142
58269098693,58419098693,58419098693,58419098693,74135094858,72910231412,84851777325,77595088142
58419098693,58419098693,58419098693,58418833488,72457276007,79860231412,84405397155,77795088142
58418833488,58418833488,61323317342,62166593351,69692460328,75251752424,84959679277,77366078412
61321926342,61322426342,61346593351,65076593351,68566073191,75711752424,84959679277,80404971412
61322426342,61322426342,61346593351,65076593351,68166826279,75711752424,84959679277,80404971412
61322426342,61323317342,61846593351,65076593351,68044568442,76011752424,85959679277,80404971412
60566593351,60846593351,62166593351,65476593351,74864336907,76865345770,85959679277,80404971412
60846593351,61346593351,63976593351,65476593351,74629563393,78101267471,85959679277,80404971412
61346593351,61346593351,64726593351,65476593351,75629563393,78101267471,85959679277,80404971412
61346593351,61846593351,64726593351,65476593351,75629563393,78141267471,85959679277,80404971412
61346593351,61966593351,65076593351,65476593351,75629563393,78141267471,85959679277,80404971412
62166593351,62166593351,65076593351,75476593351,75629563393,77506094906,85959679277,80504971412
62166593351,63166593351,65176593351,75476593351,75629563393,77716094906,85959679277,80504971412
62166593351,63166593351,65176593351,75476593351,75629563393,77716094906,84948702089,80504971412
64726593351,64726593351,65476593351,75506593351,73769790512,77716094906,84951402976,80504971412
64726593351,65076593351,65476593351,75506593351,73777790512,78036094906,84951402976,80504971412
64726593351,65076593351,65476593351,75506593351,73777790512,78036094906,85364183926,80504971412
65076593351,65176593351,65476593351,75734593351,73777790512,78236094906,85364183926,80504971412
65476593351,65476593351,75476593351,75734593351,75877790512,77222354858,85364183926,80504971412
65476593351,65476593351,75476593351,75538470161,76308357085,77222354858,85364183926,80504971412
75476593351,75506593351,75734593351,75094946150,75497390527,76711987578,85080594061,80504971412
75506593351,75506593351,75538470161,73895093280,75497390527,76833280534,85085826898,80504971412
75734593351,75734593351,75609543153,74104261454,68515330543,76875514125,85333326898,80504971412
75734593351,75734593351,75629543153,74112261454,68515330543,76875514125,85333326898,80504971412
75538470161,75609543153,74351260622,77493909889,71515330543,78035514125,87989653852,80504971412
75609543153,75629543153,74495093280,76934597703,69344987628,78225514125,88989653852,80504971412
75609543153,75629543153,74209703230,75774507949,69344987628,77432570450,88989653852,80504971412
75629543153,75094946150,74112261454,75381422773,69344987628,78175963940,88989653852,80504971412
74351260622,73895093280,73538942566,75382422773,70344987628,77947788349,88989653852,80504971412
74351260622,73895093280,73538942566,75382422773,70344987628,77947788349,88989653852,80504971412
74351260622,73895093280,73538942566,75382422773,70344987628,77947788349,88989653852,80504971412
