token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
700005194274,700156694274,700525440687,701846431800,306239,306239,306239,306239
700005194274,700156894274,700525433053,701846431800,306239,306239,306239,306239
700006594274,700156894274,700525629142,701846431800,306239,306239,306239,306239
700156694274,700156894274,700525529507,701846431800,306239,306239,306239,306239
700156894274,700156894274,700574830197,701846431800,306239,306239,306239,306239
700156894274,700007843007,701157530715,701846431800,306239,306239,306239,306239
700156894274,700007943007,701157331072,701846431800,306239,306239,306239,306239
700524943007,700524942347,701157431800,702385431800,306239,306239,306239,306239
700524942347,700525433053,701157431800,702385431800,306239,306239,306239,306239
700524942347,700525629142,701157431800,702385431800,306239,306239,306239,306239
700524940687,700525529507,701157431800,702385431800,306239,306239,306239,306239
700525433053,700574830197,701157431800,703094431800,306239,306239,306239,306239
700525529507,701157530715,701846431800,703760431800,306239,306239,306239,306239
700525429859,701157530715,701846431800,703760431800,306239,306239,306239,306239
700574830197,701157331072,701846431800,703760431800,306239,306239,306239,306239
700574830197,701157231257,701846431800,703760431800,306239,306239,306239,306239
701157830197,701157231257,701846431800,703760431800,306239,306239,306239,306239
701157530715,701157131429,701846431800,703760431800,306239,306239,306239,306239
701157530715,701157031615,701846431800,703760431800,306239,306239,306239,306239
701157331072,701157031615,701846431800,703760431800,306239,306239,306239,306239
701157231257,701157431800,701846431800,703760431800,306239,306239,306239,306239
701157131429,701157431800,701846431800,703763431800,306239,306239,306239,306239
701157031615,701157431800,701846431800,703763431800,306239,306239,306239,306239
701157031615,701157431800,701846431800,703763431800,306239,306239,306239,306239
701157431800,701157431800,701846431800,703763431800,306239,306239,306239,306239
701157431800,701157431800,701846431800,703763431800,306239,306239,306239,306239
701157431800,701846431800,702385431800,703763431800,306239,306239,306239,306239
701846431800,701846431800,703760431800,705377835505,306239,306239,306239,306239
702385431800,703094431800,703763431800,705387835505,306239,306239,306239,306239
703760431800,703760431800,704600835505,705944835505,306239,306239,306239,306239
703760431800,703760431800,705377835505,705944835505,306239,306239,306239,306239
703763431800,703763431800,705377835505,707327823569,306239,306239,306239,306239
705377835505,705377835505,705944835505,707327823569,306239,306239,306239,306239
705377835505,705377835505,705944835505,707830823569,306239,306239,306239,306239
705377835505,705377835505,705944835505,707830823569,306239,306239,306239,306239
705387835505,705944835505,707327823569,306239,306239,306239,306239,306239
705944835505,705943823569,707327823569,306239,306239,306239,306239,306239
707207823569,707327823569,707830823569,306239,306239,306239,306239,306239
707307823569,707327823569,709012002910,306239,306239,306239,306239,306239
707307823569,707327823569,709012002910,306239,306239,306239,306239,306239
707327823569,707327823569,709011992795,306239,306239,306239,306239,306239
707327823569,707327823569,709011982680,306239,306239,306239,306239,306239
709012002910,709011985570,306239,306239,306239,306239,306239,306239
709011992795,709762982680,306239,306239,306239,306239,306239,306239
709011982680,306239,306239,306239,306239,306239,306239,306239
709011982680,306239,306239,306239,306239,306239,306239,306239
709011982680,306239,306239,306239,306239,306239,306239,306239
709762982680,306239,306239,306239,306239,306239,306239,306239
306239,306239,306239,306239,306239,306239,306239,306239
306239,306239,306239,306239,306239,306239,306239,306239
306239,306239,306239,306239,306239,306239,306239,306239
306239,306239,306239,306239,306239,306239,306239,306239
