token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
12441165458,15473738050,7519725156,90895,90895,90895,90895,90895
14705238319,12729189645,6848933789,90895,90895,90895,90895,90895
14999274492,12829989645,6780572858,90895,90895,90895,90895,90895
15299274492,12831289645,6780572858,90895,90895,90895,90895,90895
15473738050,12797354434,6780572858,90895,90895,90895,90895,90895
15474238050,12797454434,6773963119,90895,90895,90895,90895,90895
12729189645,12817454434,6770347021,90895,90895,90895,90895,90895
12829989645,12817454434,6770347021,90895,90895,90895,90895,90895
12831289645,12811193445,6770049294,90895,90895,90895,90895,90895
12797354434,12811193445,6769939568,90895,90895,90895,90895,90895
12797454434,13058993445,6770029568,90895,90895,90895,90895,90895
12817454434,13058993445,6770165728,90895,90895,90895,90895,90895
12817454434,13083743445,6770585098,90895,90895,90895,90895,90895
12811193445,13083743445,6770585098,90895,90895,90895,90895,90895
12811193445,13083743445,6870436565,90895,90895,90895,90895,90895
13058993445,10417097753,6870314488,90895,90895,90895,90895,90895
13058993445,9859100217,6870314488,90895,90895,90895,90895,90895
13083743445,7519205156,6870372614,90895,90895,90895,90895,90895
10417097753,6848933789,90895,90895,90895,90895,90895,90895
8814664259,6780572858,90895,90895,90895,90895,90895,90895
6848933789,6773963119,90895,90895,90895,90895,90895,90895
6848933789,6770347021,90895,90895,90895,90895,90895,90895
6780572858,6770347021,90895,90895,90895,90895,90895,90895
6780572858,6770049294,90895,90895,90895,90895,90895,90895
6780572858,6769939568,90895,90895,90895,90895,90895,90895
6773963119,6770029568,90895,90895,90895,90895,90895,90895
6770347021,6770585098,90895,90895,90895,90895,90895,90895
6770029568,6870314488,90895,90895,90895,90895,90895,90895
6770165728,6870314488,90895,90895,90895,90895,90895,90895
6770585098,6870372614,90895,90895,90895,90895,90895,90895
6870436565,90895,90895,90895,90895,90895,90895,90895
6870314488,90895,90895,90895,90895,90895,90895,90895
6870314488,90895,90895,90895,90895,90895,90895,90895
6870284526,90895,90895,90895,90895,90895,90895,90895
90895,90895,90895,90895,90895,90895,90895,90895
90895,90895,90895,90895,90895,90895,90895,90895
90895,90895,90895,90895,90895,90895,90895,90895
90895,90895,90895,90895,90895,90895,90895,90895
90895,90895,90895,90895,90895,90895,90895,90895
