token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
19191922868,20192105767,149395,149395,149395,149395,149395,149395
19191922868,20592105767,149395,149395,149395,149395,149395,149395
19191922868,20592105767,149395,149395,149395,149395,149395,149395
20187291967,20592105767,149395,149395,149395,149395,149395,149395
20187391967,20622405767,149395,149395,149395,149395,149395,149395
20192105767,21582979211,149395,149395,149395,149395,149395,149395
20592105767,19448870973,149395,149395,149395,149395,149395,149395
20622405767,19959070973,149395,149395,149395,149395,149395,149395
21582979211,19574072321,149395,149395,149395,149395,149395,149395
19446970973,149395,149395,149395,149395,149395,149395,149395
19959070973,149395,149395,149395,149395,149395,149395,149395
19574072321,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
149395,149395,149395,149395,149395,149395,149395,149395
