token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
631175458579,631127334530,631290284530,631588531164,632375117501,635185095988,649687785370,723360067462
631126984015,631127334530,631290284530,631588631164,632375117501,635185095988,649672513387,723871932859
631127184530,631127334530,631290284530,631588631164,632375117501,635185095988,649671458723,723720744117
631127334530,631127334530,631290284530,631588531633,632375117501,635185095988,649671458723,723720744117
631127334530,631127334530,631390284530,631588531633,632375117501,635185095988,649671458723,723720744117
631127334530,631127334530,631390284530,631588402148,632575117501,635185095988,649671458723,723110721649
631127334530,631128234530,631390085326,631588203148,632575117501,635185095988,649671458723,723036204160
631127334530,631248234530,631488886074,631588014497,632575117501,635185095988,649671458723,723636188211
631127334530,631249814530,631489386074,631588014497,632575117501,635185095988,649671458723,723636188211
631259914530,631260244530,631588211164,632067914998,632579117501,635185095988,649671458723,725354471629
631259914530,631260244530,631588211164,632067914998,632579117501,635185095988,649671458723,725354471629
631259914530,631260444530,631588411164,632067914998,632579117501,635185095988,649671458723,725354471629
631259914530,631260584530,631588411164,632067914998,632579117501,635185095988,649671458723,725354471629
631260044530,631290284530,631588411164,632067914998,632579117501,635185095988,650085527723,753404101401
631290284530,631390284530,631588411164,632067914998,632579117501,635185095988,650085527723,752739797475
631290284530,631390085326,631588411164,632067914998,632579117501,635185095988,650085527723,752739797475
631290284530,631489386074,631588411164,632067914998,632579117501,635185095988,650085527723,753622596618
631390284530,631489386074,631588531164,632067795417,632579117501,635185095988,650085527723,753511596630
631390284530,631489286421,631588531164,632067795417,632579117501,635185095988,650085527723,753521831684
631489386074,631488768840,631588531633,632067895417,632579117501,635185095988,650085527723,755068273289
631489087195,631588211164,631588203148,632068895417,632579117501,635185095988,650085527723,753239880447
631488868091,631588211164,631588014497,632068895417,632579117501,635185095988,650085527723,753405166030
631488768493,631588411164,631588014497,632068895417,632579117501,635452136988,650085527723,753405166030
631488410308,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,753094825342
631588211164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588211164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588411164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588411164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588411164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588411164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,752433836818
631588411164,631588411164,632067914998,632068895417,632569136563,635452136988,650085527723,754081067118
631588531633,631588014497,632067795417,632067900411,633569136563,635331598131,650085527723,754650697197
631588203148,632067914998,632067795417,632167900411,633569136563,635331598131,650085527723,753880080728
631588014497,632067914998,632067895417,632167900411,633569136563,635331598131,651782715723,753808941651
632067914998,632067914998,632067895417,632167900411,633569136563,635331598131,651782715723,754054893651
632067914998,632067914998,632068895417,632167900411,633569136563,635331598131,651782715723,755114312068
632067914998,632067914998,632068895417,632167900411,633569136563,635331598131,651782715723,755456448398
632067914998,632067914998,632068895417,632167900411,633569136563,635331598131,651782715723,752850454739
632067895417,632068895417,632067900411,632318900411,634686051563,635481598131,651782715723,754623464120
632068895417,632068895417,632167900411,632318900411,634686051563,635481598131,651782715723,754274458712
632068895417,632068895417,632167900411,632318900411,634686051563,635481598131,651782715723,753611685090
632067900411,632167900411,632168900411,632318900411,634686051563,635481598131,651782715723,755674657884
632167900411,632167900411,632318900411,632438900411,635728755563,635481598131,652601084723,754059421924
632168900411,632168900411,632318900411,632661203330,635728755563,635481598131,652601084723,727812284338
632318900411,632318900411,632438900411,632661203330,635828755563,635481598131,652601084723,730406250271
632438900411,632438900411,632661203330,632562301144,635856675314,635481598131,653792892723,737121241206
632661203330,632661203330,632661203330,632453472893,635856675314,635481447039,655186536723,736955757840
632661203330,632661203330,632661203330,632453472893,635856675314,635481447039,655186536723,735819594582
632562301144,632552310042,632453472893,632375117501,635387986019,636212030039,656033375723,736819324742
632552310042,632453472893,632474897240,632375117501,635387986019,636212030039,656033375723,738240501716
632453472893,632453472893,632474897240,632375117501,635387986019,636212030039,656033375723,737401892425
632474897240,632375117501,632375117501,632579117501,635185095988,636912030039,656510396437,42418051137
632375117501,632375117501,632375117501,632579117501,635185095988,636912030039,656196109612,37632585112
632575117501,632575117501,632579117501,633569136563,635185095988,638641937039,657072576633,38109608526
632579117501,632579117501,632569136563,633569136563,635185095988,638641937039,657812082010,38109608526
632569136563,633569136563,633569136563,634686051563,635452136988,639648517039,658141336090,7946665065
633569136563,633569136563,633569136563,634686051563,635452136988,639648517039,659660800736,8320934080
634686051563,634686051563,634686051563,635828755563,635331598131,640912731039,660465660681,8304131892
635728755563,635728755563,635828755563,635856675314,635481598131,642379966039,661171838952,8326195472
635828755563,635828755563,635856675314,635388137067,635481598131,642379966039,663342542775,8326157495
635856675314,635856675314,635856675314,635388137067,635481598131,642379966039,663896786727,8320571244
635388137067,635388137067,635387986019,635387986019,635481447039,642579966039,666910100019,8320566523
635387986019,635387986019,635387986019,635185095988,635481447039,642427366650,666735265426,7948082282
635387986019,635387986019,635185095988,635185095988,636212030039,643310482650,669563880588,7928030532
635185095988,635185095988,635185095988,635185095988,636912030039,643310482650,669537977592,7928011925
635452136988,635452136988,635331598131,635481598131,639648517039,644167637650,675600117525,7923031824
635331598131,635331598131,635331598131,635481598131,639648517039,644167637650,675159616512,7923018480
