token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
790411900000,791208050359,791061948318,282865,282865,282865,282865,282865
790412200000,791208050359,791061848684,282865,282865,282865,282865,282865
791208050359,791208750359,791061450160,282865,282865,282865,282865,282865
791208050359,791061147781,791061250864,282865,282865,282865,282865,282865
791208250359,791061347781,791061051540,282865,282865,282865,282865,282865
791208750359,791061347781,791060951909,282865,282865,282865,282865,282865
791061347781,791062047781,791060553555,282865,282865,282865,282865,282865
791061347781,791062047781,791061053555,282865,282865,282865,282865,282865
791061347781,791062047781,791061053555,282865,282865,282865,282865,282865
791062047781,791062047781,791061053555,282865,282865,282865,282865,282865
791062047781,791062047781,791061053555,282865,282865,282865,282865,282865
791062047781,791061948318,791061053555,282865,282865,282865,282865,282865
791062047781,791061948318,791061053555,282865,282865,282865,282865,282865
791061649387,791061051540,282865,282865,282865,282865,282865,282865
791061250864,791060752645,282865,282865,282865,282865,282865,282865
791061051540,791060553555,282865,282865,282865,282865,282865,282865
791060951909,791061053555,282865,282865,282865,282865,282865,282865
791060752645,791061053555,282865,282865,282865,282865,282865,282865
791060553555,791061053555,282865,282865,282865,282865,282865,282865
791061053555,791061053555,282865,282865,282865,282865,282865,282865
791061053555,791061053555,282865,282865,282865,282865,282865,282865
791061053555,791061053555,282865,282865,282865,282865,282865,282865
791061053555,791061053555,282865,282865,282865,282865,282865,282865
282865,282865,282865,282865,282865,282865,282865,282865
