open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:04,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,206573981696050,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,0,-11111365933393,-11111365933393,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:05,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,195205649644647,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,0,-12077218377996,-12077218377996,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:06,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,194753330767591,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,0,-12340059780950,-12340059780950,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:07,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,194557630644804,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,0,-12389011008464,-12389011008464,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:11,194487907349208,194753330767591,194487907349208,194487907349208,194487907349208,194487907349208,194487907349208,194487907349208,194487907349208,194487907349208,194487907349208,0,-3199959545474,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,0,-15277177923470,-15277177923470,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:12,189408400888953,194557630644804,189408400888953,189408400888953,189408400888953,189408400888953,189408400888953,189408400888953,189408400888953,189408400888953,189408400888953,0,-5151539330097,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,0,-17491599111047,-17491599111047,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:13,187888557668159,194557630644804,187888557668159,187888557668159,187888557668159,187888557668159,187888557668159,187888557668159,187888557668159,187888557668159,187888557668159,0,-6622431323377,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,0,-19011442331841,-19011442331841,0,0.0,0.0,0.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:14,188001818418733,194557630644804,206573981696050,188001818418733,188001818418733,188001818418733,188001818418733,188001818418733,188001818418733,188001818418733,188001818418733,113260750574,-6622431323377,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,113260750574,-19011442331841,-19011442331841,1,1.0,1.0,1.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:16,187958701643226,194487907349208,194753330767591,187958701643226,187958701643226,187958701643226,187958701643226,187958701643226,187958701643226,187958701643226,187958701643226,113260750574,-6665548098884,113260750574,-6977340729352,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,113260750574,-19054559107348,-19054559107348,1,1.0,1.0,1.0,0.0
2024-06-08 07:47:04,206900000000000,2024-06-08 07:47:19,186897828551576,188001818418733,194557630644804,186897828551576,186897828551576,186897828551576,186897828551576,186897828551576,186897828551576,186897828551576,186897828551576,113260750574,-1103989867157,113260750574,-7726421190534,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,113260750574,-20115432198998,-20115432198998,1,1.0,1.0,1.0,0.0
