open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 17:30:56,7000000000,2024-06-09 17:30:56,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,9000000000,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,2501000000,0,0,3,0.7996801279488205,1.0,1.0,0.5037306296799938
2024-06-09 17:30:56,7000000000,2024-06-09 17:30:58,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,10187607229,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,13381967481,-9084750251,-9084750251,8,0.6160798300926614,0.955088816285549,1.0,1.2639112844041136
2024-06-09 17:30:56,7000000000,2024-06-09 17:30:59,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,9044716719,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,19487304562,-17174466388,-17174466388,17,0.42306313968512604,0.9178948928565527,0.9993123728344592,1.565874093310947
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:00,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,15113869069,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,30934935703,-27807629248,-27807629248,27,0.4207495571661315,0.9199899022657425,0.9777436097941128,1.497081716956017
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:01,10128306455,9000000000,10128306455,10128306455,10128306455,10128306455,10128306455,10128306455,10128306455,10128306455,10128306455,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,30935935703,-27807629248,-27807629248,28,0.4207359564927526,0.9199601637147222,0.9777120043621911,1.4973998769098593
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:02,10228306455,9000000000,10228306455,10228306455,10228306455,10228306455,10228306455,10228306455,10228306455,10228306455,10228306455,28534935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,31035935703,-27807629248,-27807629248,29,0.41938031521124264,0.916995986405817,0.9745617465007287,1.5142794008487674
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:03,10228506455,10187607229,10228506455,10228506455,10228506455,10228506455,10228506455,10228506455,10228506455,10228506455,10228506455,28535135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,31036135703,-27807629248,-27807629248,30,0.41937761268204105,0.9169900771908607,0.9745554663261873,1.5143531088829856
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:04,10277506455,9044716719,10277506455,10277506455,10277506455,10277506455,10277506455,10277506455,10277506455,10277506455,10277506455,17703368222,-18722878997,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,31085335703,-27807629248,-27807629248,32,0.41871384701642,0.9155387204408858,0.9730129985400469,1.52378606296128
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:05,10277906455,15113869069,10277906455,10277906455,10277906455,10277906455,10277906455,10277906455,10277906455,10277906455,10277906455,11998231141,-11241164719,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,31485535703,-28415631107,-28415631107,37,0.4133917434588805,0.9039016754378518,0.9606454210692711,1.5901995833025806
2024-06-09 17:30:56,7000000000,2024-06-09 17:31:06,10070004596,10128306455,9000000000,10070004596,10070004596,10070004596,10070004596,10070004596,10070004596,10070004596,10070004596,6473243141,-6927465521,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,37408178844,-34735094769,-34735094769,40,0.465566933627762,0.9164271737996826,0.9641869761800799,1.4923959512962246
