token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
190447608951031,189539818605423,182577476482309,725016367723435,898770539191300,908530909344922,905229806575095,905232107097669
190334389109134,188451205238513,182577476482309,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
190334057874961,186763044757031,182374778628222,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
190441921725080,186741388007529,182374778628222,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
189539818605423,186709548981075,182374778628222,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
189539818605423,186709548981075,181378018643542,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
188451205238513,186709548981075,181378018643542,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
186763044757031,186709548981075,181378018643542,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
186741388007529,182600003736329,974277977155864,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
186709548981075,182600003736329,827369248889602,694488985929024,898770539191300,908530909344922,905229806575095,905232107097669
186709548981075,182600003736329,835242676285608,698598531173770,898770539191300,908530909344922,905229806575095,905232107097669
186709548981075,182600003736329,831061182840848,691551902046507,898770539191300,908530909344922,905229806575095,905232107097669
182600003736329,182600003736329,831061182840848,691551902046507,898770539191300,908530909344922,905229806575095,905232107097669
182600003736329,182597974026083,794380238427597,691551902046507,898770539191300,908530909344922,905229806575095,905232107097669
182600003736329,182577476482309,752489587136603,743501750648347,898770539191300,908530909344922,905229806575095,905232107097669
182577476482309,182374778628222,731409865918120,743534421062718,898770539191300,910536021911687,905229806575095,905232107097669
182577476482309,181378018643542,728217399842712,746935494669673,898770539191300,910536021911687,905229806575095,905232107097669
181378018643542,831061182840848,694488985929024,773463671057838,898770539191300,910536021911687,905229806575095,905232107097669
835242676285608,794380238427597,694488985929024,773463671057838,898770539191300,910536021911687,905229806575095,905232107097669
831061182840848,752489587136603,694488985929024,777424935016235,898770539191300,910536021911687,905229806575095,905232107097669
794380238427597,737349978987137,694488985929024,777424935016235,898770539191300,910536021911687,905229806575095,905232107097669
794380238427597,734146137327603,694488985929024,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
786418555969676,734418006763893,691551902046507,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
737349978987137,731409865918120,691551902046507,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
734418006763893,728217399842712,744439044222361,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
734418006763893,728217399842712,742433931655596,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
737843962777688,728217399842712,743501750648347,777796854012637,898770539191300,910536021911687,905229806575095,905232107097669
731409865918120,728217399842712,743501750648347,777819342096474,898770539191300,910536021911687,905229806575095,905232107097669
731414422341912,725016367723435,743534421062718,777819342096474,898770539191300,910536021911687,905229806575095,905232107097669
728217399842712,694488985929024,743534421062718,777819342096474,898770539191300,910536021911687,905229806575095,905232107097669
728217399842712,694488985929024,743534421062718,777819342096474,905827782534857,910536021911687,905229806575095,905232107097669
728217399842712,694488985929024,743534421062718,777819342096474,905827782534857,910536021911687,905229806575095,905232107097669
725016367723435,694488985929024,746935494669673,777819342096474,905827782534857,910536021911687,905229806575095,905232107097669
694488985929024,694488985929024,746935494669673,777819342096474,905827782534857,910536021911687,905229806575095,905232107097669
694488985929024,694488985929024,772888490507836,808346723890885,905827782534857,910536021911687,905229806575095,905232107097669
694488985929024,698598531173770,772888490507836,808346723890885,905827782534857,910536021911687,905229806575095,905232107097669
744439044222361,743534421062718,777796854012637,810420009291591,881639724415751,910536021911687,905229806575095,905232107097669
742433931655596,743534421062718,777796854012637,810420009291591,881639724415751,910536021911687,905229806575095,905232107097669
743534421062718,746935494669673,777796854012637,870593824389453,881639724415751,910536021911687,905229806575095,905232107097669
743534421062718,773605899671025,777796854012637,870593824389453,881639724415751,910536021911687,905229806575095,905232107097669
743534421062718,772888490507836,777796854012637,870593824389453,881639724415751,910536021911687,905229806575095,905232107097669
746935494669673,772888490507836,777819342096474,870593824389453,881639724415751,910536021911687,905229806575095,905232107097669
772888490507836,773463671057838,777819342096474,870593824389453,881639724415751,910536021911687,905229806575095,905232107097669
773463671057838,773209984105646,777819342096474,871938062042785,881712189389220,910536021911687,905229806575095,905232107097669
773463671057838,777424935016235,777819342096474,871938062042785,881712189389220,910536021911687,905229806575095,905232107097669
773209984105646,777796854012637,808346723890885,871928871189749,881712189389220,910536021911687,905232107097669,905232107097669
777796854012637,777796854012637,810420009291591,871924265493419,881712189389220,910536021911687,905232107097669,905232107097669
777796854012637,777796854012637,810420009291591,871924265493419,881712189389220,910536021911687,905232107097669,905232107097669
777796854012637,777819342096474,810420009291591,871924265493419,881712189389220,910536021911687,905232107097669,905232107097669
