open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:31,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,30100000000,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,100000000,0,0,1,1.0,1.0,1.0,0.0
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:32,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,30100300000,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,101800000,0,0,4,0.9823182711198428,1.0,1.0,0.10621979795501388
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:34,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,30102000000,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,102300000,0,0,7,0.9775171065493646,0.9970674486803519,1.0,0.14173939443403888
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:35,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,30102600000,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,103100000,0,0,9,0.9699321047526673,0.9922405431619787,1.0,0.1912042012908038
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:36,30103300000,30100000000,30103300000,30103300000,30103300000,30103300000,30103300000,30103300000,30103300000,30103300000,30103300000,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,103300000,0,0,10,0.968054211035818,0.9903194578896417,1.0,0.2048632572592447
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:42,30103400000,30103300000,30100300000,30103400000,30103400000,30103400000,30103400000,30103400000,30103400000,30103400000,30103400000,100000,0,3400000,0,103400000,0,103400000,0,103400000,0,103400000,0,103400000,0,103400000,0,103400000,0,103400000,0,0,11,0.9671179883945842,0.9893617021276597,0.9990328820116054,0.2123447302600699
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:45,30103500000,30103300000,30102600000,30103500000,30103500000,30103500000,30103500000,30103500000,30103500000,30103500000,30103500000,10300000,0,11300000,0,113600000,0,113600000,0,113600000,0,113600000,0,113600000,0,113600000,0,113600000,0,113600000,0,0,14,0.8802816901408451,0.9859154929577466,0.9964788732394367,0.5052130671943043
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:46,30171600000,30103300000,30103300000,30171600000,30171600000,30171600000,30171600000,30171600000,30171600000,30171600000,30171600000,68300000,0,68500000,0,171600000,0,171600000,0,171600000,0,171600000,0,171600000,0,171600000,0,171600000,0,171600000,0,0,15,0.5827505827505828,0.9877622377622378,0.9965034965034966,0.9741502401271234
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:53,30171700000,30171600000,30103400000,30171700000,30171700000,30171700000,30171700000,30171700000,30171700000,30171700000,30171700000,100000,0,68300000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,171700000,0,0,16,0.5824111822947,0.9871869539895164,0.9959231217239369,0.9785031186120559
2024-06-08 11:45:31,30000000000,2024-06-08 11:45:57,30171600116,30171600000,30171600000,30171600116,30171600116,30171600116,30171600116,30171600116,30171600116,30171600116,30171600116,100000,-99884,100000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,171700000,-99884,-99884,16,0.5824111822947,0.9871869539895164,0.9959231217239369,0.9785031186120559
