token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
30103300000,30103300000,30181600116,33233136644,66923429522,77294936475,104624842838,136648353373
30103300000,30103400000,30181600116,33233136644,66923429522,77294936475,104624842838,136648353373
30103300000,30103400000,30181600116,35077936644,68583029522,77294936475,105811642838,136648353373
30103300000,30103500000,30181600116,35077936644,68583029522,78282587594,106118842838,136648353373
30103300000,30171600000,30181600116,35077936644,68583029522,75052291951,106118842838,136648353373
30171600000,30171600000,30181600116,35062609100,69462329522,76242701888,106107350573,134062844629
30171600000,30171700000,30899200116,35062609100,70313229522,76242701888,104947642289,134062844629
30171600000,30171700000,30899200116,35812609100,71852229522,76242701888,104947642289,134062844629
30171600116,30181600116,30979200116,35812609100,73681164049,75068759831,104533179191,131394243092
30181600116,30181600116,34184884525,35074126334,73681164049,80651205314,106340302594,131556818008
30181600116,30181600116,34895384525,35074126334,73681164049,81215213497,104480338483,133407326699
30899200116,34434782298,35062609100,40561719643,72536169160,78233745276,103488615428,134501194358
34434782298,34895384525,35812609100,39513481384,71538780749,81096616045,99435041950,135365506526
34895384525,35077936644,35074126334,39513481384,70508478758,80245832098,97547984160,134551792076
33233136644,35077936644,35074126334,41114781384,67709611264,79927794134,97300374743,134551792076
35077936644,34363748333,35074126334,41824881384,69937102751,79553203853,106254569489,136493630659
35077936644,33299887963,36783149845,41824881384,69937102751,79831286207,108100269489,136493630659
34363748333,35062609100,37106531866,41824881384,69937102751,79831286207,106190202239,135801858848
35062609100,35812609100,36553719643,42536503322,69001115456,80818986132,107364237938,135916350043
35812609100,35812609100,36553719643,44005203322,71443986931,80818986132,105280281680,137730713337
35812609100,35812609100,36553719643,44005203322,71443986931,80818986132,105280281680,137730713337
35812609100,35074126334,40561719643,44005203322,75437130699,80818986132,107438381680,137730713337
35074126334,37106531866,39513481384,41148342592,74541962781,87130691248,118723415902,136063137865
37106531866,36553719643,41824881384,41861948319,79209672446,89721237660,120405630409,130378369445
36553719643,36553719643,41824881384,41861948319,79209672446,88147286663,120405630409,130637127905
36553719643,36553719643,41824881384,41861948319,79209672446,88147286663,120405630409,130637127905
36553719643,40309121885,41062103322,42651595390,80612072446,87560757857,119654314678,130083447763
40309121885,39513481384,44005203322,45031716191,80892149489,86454449012,116345872602,129820394893
39513481384,41824881384,44005203322,45031716191,84077653594,86290131308,118738556602,127327977928
39513481384,41824881384,43232594576,44871175148,84948912165,85426112560,123687124779,125818239003
41824881384,42172772444,41148342592,44757126064,88571613392,88489656679,122564467126,123625391592
41824881384,41062103322,41148342592,48242926064,86622676160,87637455065,122330754820,119566740244
42536503322,44005203322,41861948319,48951526064,87390010770,89492677781,117629814249,120106540244
44005203322,44005203322,41861948319,48212312852,87390010770,84810413971,114478750641,120106540244
44005203322,44005203322,42651595390,47985031512,87344771965,83489238575,115411850641,105610739145
44005203322,44005203322,42651595390,47307450257,88572848941,84936367448,115411850641,105693815644
44005203322,43232594576,43593720415,47307450257,85583048131,84936367448,120153250641,105693815644
41148342592,41861948319,44871175148,50240550257,86623209471,90990078500,114528267223,106714205921
41861948319,41861948319,44871175148,50241050257,87123726419,91257378499,113840294401,121457790574
41861948319,42651595390,48951526064,50241050257,86661409443,89859640766,115788783003,118279504492
41861948319,42797395390,48951526064,50241050257,86661409443,89859640766,116212123948,118279504492
44564720415,45031716191,47985031512,55621050257,85257438313,87974137125,115390424865,117139749296
45031716191,44871175148,47307450257,55621050257,85257438313,87974137125,115390424865,108364569341
45031716191,44871175148,47307450257,55621050257,85257438313,87974137125,113070815842,107716916671
45031716191,44871175148,47307450257,55621050257,85257438313,87974137125,114424517274,102617024283
45031716191,44871175148,47307450257,55607847926,84882850292,87974137125,114424517274,102617024283
44871175148,44871175148,47307450257,55607847926,87572650292,90004337125,114424517274,103776924283
44871175148,48951526064,50240550257,57980947926,84936747010,88159781522,114108103646,102191554062
48951526064,48212312852,50241050257,59446990638,84936747010,88066642892,111323969162,105091954062
48951526064,47985031512,50241050257,59446990638,85902068754,89438042892,111052331614,105861738070
48951526064,47307450257,50241050257,59160663747,85178995360,88105918727,109672616939,105861738070
47307450257,47307450257,54909850257,62486074015,82834574049,70190333540,112736298718,111510055365
47307450257,47307450257,55621050257,61766220502,80658044524,70190333540,114703107993,111510055365
47307450257,50240550257,55621050257,61766220502,80658044524,80992933540,114614968522,111510055365
50240550257,50241050257,57980947926,61698132335,85769451469,76338471515,107891343606,107324626466
50241050257,54909850257,59446990638,63103293160,85769451469,81562299041,107454777067,106348731464
54909850257,55621050257,59160663747,63820976818,83364067349,81845976696,106290841791,108230385208
55621050257,55607847926,62486074015,64741176818,86265099045,80449962212,100422056139,104459366296
55621050257,55607847926,61766220502,64004887085,84959307860,78496666740,95625529562,103374974239
57980947926,59446990638,60806132335,66878154137,84575240098,80066062042,99594418818,104789118175
59446990638,59160663747,61698132335,66139123105,84152272498,79344064672,98770392120,108211684887
59160663747,62486074015,63103293160,68671123105,84867331638,80077302586,95821927375,106785240260
62486074015,61766220502,64058193160,67962477381,79063120018,79469626654,98037848213,107404152620
61766220502,60806132335,63820976818,66923429522,79063120018,80118333106,94213303722,110121406669
61766220502,60806132335,64741176818,68583029522,78407270482,81561850060,94213303722,110121406669
60806132335,61698132335,64004887085,68583029522,78334213129,79655966874,94213303722,109876201815
60806132335,63347932335,64716887085,69462329522,80030813129,78728544527,94213303722,115287001815
63103293160,64058193160,66139123105,71852229522,78586011385,78217959326,94454070661,116336760195
63103293160,63820976818,68671123105,72318020058,77736362046,79649947225,96425475654,110115282763
64058193160,63820976818,68671123105,75486920058,76799805454,79359422417,97683275654,110115282763
63820976818,64004887085,67131893427,73681164049,77191105454,77444123963,96934530726,104311142764
64741176818,64004887085,67962477381,73681164049,76823423242,77444123963,109015718276,104311142764
