token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
15614300000,15741492395,15865269255,16509207257,230251,230251,230251,230251
15741192395,15741492395,15865269255,16608207257,230251,230251,230251,230251
15741392395,15741492395,15865269255,16608207257,230251,230251,230251,230251
15741392395,15742092395,15965469255,16647807257,230251,230251,230251,230251
15741492395,15742292395,15965566213,16647807257,230251,230251,230251,230251
15741492395,15762292395,15965455913,16647807257,230251,230251,230251,230251
15741492395,15762392395,15965251189,16647588166,230251,230251,230251,230251
15741492395,15762392395,15965148229,16647423868,230251,230251,230251,230251
15742292395,15762392395,15964811070,16647423868,230251,230251,230251,230251
15762392395,15864292395,16123259162,16557898435,230251,230251,230251,230251
15762392395,15864292395,16123153085,16557898435,230251,230251,230251,230251
15763092395,15864791395,16121893811,16440908142,230251,230251,230251,230251
15764192395,15864791395,16121893811,16440908142,230251,230251,230251,230251
15864791395,15865269255,16009318157,16590908142,230251,230251,230251,230251
15864791395,15865269255,16009318157,16590908142,230251,230251,230251,230251
15864791395,15865269255,16009318157,16590908142,230251,230251,230251,230251
15865269255,15965469255,16009318157,16590908142,230251,230251,230251,230251
15865269255,15965455913,16009318157,16690908142,230251,230251,230251,230251
15965469255,15965443523,16509207257,16690765016,230251,230251,230251,230251
15965443523,16123259162,16647807257,16740765016,230251,230251,230251,230251
15964811070,16123153085,16647807257,16740765016,230251,230251,230251,230251
16014002648,16121893811,16647807257,16740765016,230251,230251,230251,230251
15923360975,16121893811,16647588166,16740765016,230251,230251,230251,230251
16123259162,16121893811,16647423868,16740765016,230251,230251,230251,230251
16123259162,16121893811,16647423868,16740765016,230251,230251,230251,230251
16123153085,16121893811,16647423868,16740765016,230251,230251,230251,230251
16121893811,16009318157,16647423868,16740765016,230251,230251,230251,230251
16121893811,16009318157,16647423868,16740765016,230251,230251,230251,230251
16121893811,16009318157,16557898435,16740765016,230251,230251,230251,230251
16121893811,16009318157,16557898435,16740765016,230251,230251,230251,230251
16009318157,16009318157,16440908142,16740765016,230251,230251,230251,230251
16009318157,16509207257,16590908142,16860765016,230251,230251,230251,230251
16608207257,16647588166,16690908142,16860765016,230251,230251,230251,230251
16647588166,16647423868,16740765016,17108265016,230251,230251,230251,230251
16647423868,16557898435,16740765016,17252078538,230251,230251,230251,230251
16647423868,16440908142,16740765016,16833836774,230251,230251,230251,230251
16557898435,16440908142,16740765016,16833836774,230251,230251,230251,230251
16440908142,16590908142,16740765016,16833836774,230251,230251,230251,230251
16590908142,16690908142,16740765016,16833836774,230251,230251,230251,230251
16690908142,16690765016,16860765016,16883836774,230251,230251,230251,230251
16690765016,16740765016,16860765016,16883836774,230251,230251,230251,230251
16740765016,16740765016,16860765016,16883836774,230251,230251,230251,230251
16740765016,16740765016,17108265016,16883836774,230251,230251,230251,230251
16860765016,16860765016,16883836774,16913836774,230251,230251,230251,230251
16860765016,16860765016,16883836774,16913836774,230251,230251,230251,230251
16833836774,16833836774,16883836774,16673107650,230251,230251,230251,230251
16833836774,16833836774,16883836774,16460460288,230251,230251,230251,230251
16833836774,16833836774,16883836774,16460460288,230251,230251,230251,230251
16833836774,16833836774,16883836774,16460460288,230251,230251,230251,230251
16883836774,16883836774,16913836774,16261180331,230251,230251,230251,230251
16913836774,16913836774,16261180331,230251,230251,230251,230251,230251
16460460288,16460460288,230251,230251,230251,230251,230251,230251
16460460288,16298938254,230251,230251,230251,230251,230251,230251
16261180331,16281180331,230251,230251,230251,230251,230251,230251
16261180331,16281180331,230251,230251,230251,230251,230251,230251
16281180331,16281180331,230251,230251,230251,230251,230251,230251
16281180331,230251,230251,230251,230251,230251,230251,230251
230251,230251,230251,230251,230251,230251,230251,230251
230251,230251,230251,230251,230251,230251,230251,230251
