token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
10003500000,10003900000,11294100000,13486327895,61789966945,69815398207,235862669195,4038
10003600000,10003900000,11304100000,13486327895,61789966945,70427186263,236877830274,4038
10003900000,10003900000,11304100000,15036327895,61789966945,70427186263,236877830274,4038
10003900000,10003900000,11304100000,15186327895,61789966945,70427186263,236877830274,4038
10003900000,10004100000,11304100000,15186327895,64682712351,69842273489,236970483335,4038
10003900000,10994100000,11304100000,15186327895,66919807442,69842273489,236970483335,4038
10003900000,10994100000,11304100000,15186327895,66919807442,69842273489,236970483335,4038
10003900000,10994100000,11988529330,15186327895,70715901378,67819762910,241708714572,4038
10994100000,11294100000,11988529330,16598330947,70937792308,61678214493,243692406241,4038
11294100000,11294100000,12705424155,16598330947,70937792308,61678214493,243498229406,4038
11294100000,11294100000,12950601070,16247266979,71130359684,61878214493,246927412171,4038
11304100000,11988529330,13486327895,19036477874,72335387066,61322732844,245268568416,4038
11988529330,12950601070,15186327895,18012010945,74222717385,56669427243,238910637966,4038
12950601070,12786327895,16598330947,18184162377,76173629851,57058885806,238910637966,4038
12950601070,12786327895,16598330947,18184162377,80172482713,57058885806,236508402777,4038
13486327895,15036327895,16247266979,20834362377,84773815420,55907019873,240732965652,4038
13486327895,15186327895,17198276201,20834362377,84773815420,53600116714,240732965652,4038
13486327895,15186327895,17198276201,20834362377,84773815420,53600116714,239596391668,4038
15036327895,15186327895,17198276201,19429636881,88385298841,52219375904,238610365767,4038
15186327895,16598330947,19036477874,18710673635,92977643541,58439486317,237171937811,4038
15186327895,16598330947,19036477874,18740673635,92977643541,58439486317,239345504604,4038
16598330947,16598330947,17849633377,18810673635,94366359301,58439486317,237467322462,4038
16598330947,16247266979,17849633377,17338149492,92464517050,56643532787,235350476263,4038
17198276201,18319554287,20834362377,17546149492,92164439687,63544803459,233565208805,4038
17198276201,19036477874,20834362377,17646149492,92164439687,66559491682,235765008805,4038
19036477874,17849633377,18270033232,16845550167,94834077943,63997346826,233559516299,4038
