open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:08,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,60000200000,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,200000,0,0,1,1.0,1.0,1.0,0.0
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:09,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,60002200000,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,2200000,0,0,2,0.9090909090909091,1.0,1.0,0.30463609734923813
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:10,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,60052200000,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,104800000,0,0,16,0.4770992366412214,0.9875954198473282,0.9942748091603054,0.9352033943584472
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:11,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,60138014740,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,138514740,0,0,22,0.3609724134774393,0.9833952689800378,0.9913366620765415,1.2871359983523902
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:12,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,60138614740,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,140814740,0,0,34,0.35507646429628037,0.9673329652847422,0.9829563297137786,1.3820380041491367
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:13,60090917531,60000200000,60090917531,60090917531,60090917531,60090917531,60090917531,60090917531,60090917531,60090917531,60090917531,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,140814740,-49897209,-49897209,34,0.35507646429628037,0.9673329652847422,0.9829563297137786,1.3820380041491367
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:15,60097917531,60052200000,60097917531,60097917531,60097917531,60097917531,60097917531,60097917531,60097917531,60097917531,60097917531,246064740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,248264740,-49897209,-49897209,39,0.3997748532473842,0.9645539676717685,0.986707737876913,1.6011784197242083
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:16,60198867531,60138014740,60198867531,60198867531,60198867531,60198867531,60198867531,60198867531,60198867531,60198867531,60198867531,145464740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,250264740,-49897209,-49897209,41,0.3965800376033795,0.956845698678927,0.9828181948443876,1.6394300919845965
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:17,60240067531,60138614740,60240067531,60240067531,60240067531,60240067531,60240067531,60240067531,60240067531,60240067531,60240067531,399775000,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,538289740,-49897209,-49897209,44,0.46095063970567224,0.9048565555048476,0.9879247187583401,1.6704887564248314
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:18,60488492531,60090917531,60000200000,60488492531,60488492531,60488492531,60488492531,60488492531,60488492531,60488492531,60488492531,397575000,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,538389740,-49897209,-49897209,45,0.460865023170761,0.9046884883058878,0.9877412225574729,1.6719599185950051
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:23,60489492531,60488492531,60090917531,60489492531,60489492531,60489492531,60489492531,60489492531,60489492531,60489492531,60489492531,2100000,0,399575000,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,540389740,-49897209,-49897209,47,0.4591593467337111,0.9013402067922311,0.9840855601736629,1.6927540879955614
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:24,60490692531,60488492531,60090917531,60490692531,60490692531,60490692531,60490692531,60490692531,60490692531,60490692531,60490692531,2200000,0,399775000,0,540589740,-49897209,540589740,-49897209,540589740,-49897209,540589740,-49897209,540589740,-49897209,540589740,-49897209,540589740,-49897209,540589740,-49897209,-49897209,48,0.4589894732371354,0.9010067412674166,0.9837214816544613,1.6954212342396646
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:30,60490892531,60490692531,60488492531,60490892531,60490892531,60490892531,60490892531,60490892531,60490892531,60490892531,60490892531,200000,-7056313,2400000,-7056313,540789740,-56953522,540789740,-56953522,540789740,-56953522,540789740,-56953522,540789740,-56953522,540789740,-56953522,540789740,-56953522,540789740,-56953522,-56953522,49,0.4588197253890209,0.9006735223933798,0.9833576724292145,1.6980865445295004
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:33,60483936218,60490692531,60489492531,60483936218,60483936218,60483936218,60483936218,60483936218,60483936218,60483936218,60483936218,800000,-7056313,3000000,-7056313,541389740,-56953522,541389740,-56953522,541389740,-56953522,541389740,-56953522,541389740,-56953522,541389740,-56953522,541389740,-56953522,541389740,-56953522,-56953522,51,0.4583112343429338,0.899675342942406,0.9822678575327268,1.705353271135694
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:34,60484586218,60490692531,60490692531,60484586218,60484586218,60484586218,60484586218,60484586218,60484586218,60484586218,60484586218,950000,-7056313,1150000,-7056313,541539740,-56953522,541539740,-56953522,541539740,-56953522,541539740,-56953522,541539740,-56953522,541539740,-56953522,541539740,-56953522,541539740,-56953522,-56953522,52,0.4581842876387982,0.8994261436843027,0.9819957811406417,1.707426815542459
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:37,60483591374,60490892531,60490692531,60483591374,60483591374,60483591374,60483591374,60483591374,60483591374,60483591374,60483591374,750000,-994844,950000,-8051157,541539740,-57948366,541539740,-57948366,541539740,-57948366,541539740,-57948366,541539740,-57948366,541539740,-57948366,541539740,-57948366,541539740,-57948366,-57948366,52,0.4581842876387982,0.8994261436843027,0.9819957811406417,1.707426815542459
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:41,60483490738,60484586218,60490892531,60138014740,60483490738,60483490738,60483490738,60483490738,60483490738,60483490738,60483490738,0,-1296762,750000,-1296762,436739740,-58250284,541539740,-58250284,541539740,-58250284,541539740,-58250284,541539740,-58250284,541539740,-58250284,541539740,-58250284,541539740,-58250284,-58250284,52,0.4581842876387982,0.8994261436843027,0.9819957811406417,1.707426815542459
2024-06-07 13:39:08,60000000000,2024-06-07 13:39:42,60483188814,60483591374,60490892531,60138614740,60483188814,60483188814,60483188814,60483188814,60483188814,60483188814,60483188814,0,-1397404,750000,-1397404,403025000,-58350926,541539740,-58350926,541539740,-58350926,541539740,-58350926,541539740,-58350926,541539740,-58350926,541539740,-58350926,541539740,-58350926,-58350926,52,0.4581842876387982,0.8994261436843027,0.9819957811406417,1.707426815542459
