token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
60090917531,60488492531,60483591374,60473864847,7842,7842,7842,7842
60090917531,60488492531,60483591374,60473864847,7842,7842,7842,7842
60097917531,60488492531,60483591374,60473864847,7842,7842,7842,7842
60198867531,60488492531,60483490738,60473864847,7842,7842,7842,7842
60240067531,60488492531,60483188814,60473864847,7842,7842,7842,7842
60488492531,60489492531,60483088058,60473864847,7842,7842,7842,7842
60488492531,60490692531,60432306753,60473864847,7842,7842,7842,7842
60488492531,60490692531,60432506753,60473864847,7842,7842,7842,7842
60488492531,60490692531,60433126753,60473864847,7842,7842,7842,7842
60489492531,60490692531,60432624035,60473864847,7842,7842,7842,7842
60490692531,60483936218,60396718683,60473665577,7842,7842,7842,7842
60490692531,60484586218,60396618331,60523665577,7842,7842,7842,7842
60484586218,60483591374,60454748331,60583535683,7842,7842,7842,7842
60483591374,60483088058,60454868331,60583535683,7842,7842,7842,7842
60483591374,60432306753,60454868331,60583535683,7842,7842,7842,7842
60483188814,60433126753,60453864847,60583535683,7842,7842,7842,7842
60432506753,60432261054,60473864847,60583535683,7842,7842,7842,7842
60433126753,60398739867,60473864847,60583535683,7842,7842,7842,7842
60432624035,60396718683,60473864847,61277535683,7842,7842,7842,7842
60432621428,60396618331,60473864847,61277535683,7842,7842,7842,7842
60432261054,60396748331,60473864847,61277392467,7842,7842,7842,7842
60398739867,60396748331,60473864847,61277392467,7842,7842,7842,7842
60396718683,60396748331,60473864847,61277269800,7842,7842,7842,7842
60396618331,60396748331,60473864847,61277269800,7842,7842,7842,7842
60396748331,60454748331,60473864847,61277269800,7842,7842,7842,7842
60396748331,60454868331,60473665577,61277269800,7842,7842,7842,7842
60396748331,60454868331,60473665577,61277269800,7842,7842,7842,7842
60396748331,60454868331,60523665577,61277269800,7842,7842,7842,7842
60454748331,60454868331,60523665577,61277269800,7842,7842,7842,7842
60454868331,60473864847,60583535683,61372785388,7842,7842,7842,7842
60453864847,60473864847,60583535683,61372785388,7842,7842,7842,7842
60473864847,60473864847,60583535683,61372785388,7842,7842,7842,7842
60473864847,60473864847,60583535683,61372785388,7842,7842,7842,7842
60523665577,60583535683,61277269800,61235280586,7842,7842,7842,7842
60583535683,60583535683,61277269800,61235280586,7842,7842,7842,7842
60583535683,60583535683,61277269800,61235280586,7842,7842,7842,7842
60583535683,60583535683,61277269800,61235280586,7842,7842,7842,7842
61277269800,61277269800,61225280586,7842,7842,7842,7842,7842
61277269800,61277269800,61225280586,7842,7842,7842,7842,7842
61277269800,61277269800,61225280586,7842,7842,7842,7842,7842
61372785388,61372785388,61235280586,7842,7842,7842,7842,7842
61225280586,61235280586,60741196815,7842,7842,7842,7842,7842
61235280586,61235280586,7842,7842,7842,7842,7842,7842
61335280586,60741196815,7842,7842,7842,7842,7842,7842
7842,7842,7842,7842,7842,7842,7842,7842
7842,7842,7842,7842,7842,7842,7842,7842
