token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
7466223199,7409407384,7466581300,7635626247,7757326247,7757326247,7757326247,7757326247
7467223199,7409407384,7466581300,7635626247,7757326247,7757326247,7757326247,7757326247
7467323199,7409407384,7486581300,7635626247,7757326247,7757326247,7757326247,7757326247
7359707384,7449707384,7486581300,7635626247,7757326247,7757326247,7757326247,7757326247
7409407384,7429707384,7496479454,7635626247,7757326247,7757326247,7757326247,7757326247
7409407384,7429707384,7537979454,7635626247,7757326247,7757326247,7757326247,7757326247
7409407384,7410281300,7537976499,7635626247,7757326247,7757326247,7757326247,7757326247
7409407384,7410281300,7537873521,7635626247,7757326247,7757326247,7757326247,7757326247
7449707384,7410281300,7537439716,7635826247,7757326247,7757326247,7757326247,7757326247
7429707384,7410381300,7537436787,7636326247,7757326247,7757326247,7757326247,7757326247
7410281300,7465981300,7537023587,7636326247,7757326247,7757326247,7757326247,7757326247
7410381300,7465981300,7537023587,7636326247,7757326247,7757326247,7757326247,7757326247
7410381300,7466581300,7537223587,7757326247,7757326247,7757326247,7757326247,7757326247
7465981300,7466581300,7536007074,7757326247,7757326247,7757326247,7757326247,7757326247
7466581300,7486581300,7536001247,7757326247,7757326247,7757326247,7757326247,7757326247
7466581300,7537979454,7536001247,7757326247,7757326247,7757326247,7757326247,7757326247
7466581300,7537976499,7585626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537873521,7537023587,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537436787,7537023587,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537333861,7537123587,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537333861,7537223587,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537023587,7536007074,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247
7537023587,7536007074,7635826247,7757326247,7757326247,7757326247,7757326247,7757326247
7537023587,7536007074,7636326247,7757326247,7757326247,7757326247,7757326247,7757326247
7537123587,7536007074,7636326247,7757326247,7757326247,7757326247,7757326247,7757326247
7536007074,7536001247,7636326247,7757326247,7757326247,7757326247,7757326247,7757326247
7536007074,7536001247,7756326247,7757326247,7757326247,7757326247,7757326247,7757326247
7536001247,7585626247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7536001247,7585626247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7585626247,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7635626247,7635626247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7635626247,7635826247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7636326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7636326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247,7757326247
