token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
194633452111074,192444863030432,219388178746274,266268413282005,386977000025968,358272503167422,297846953693514,435737612119136
194633452111074,192422296806664,229049687996180,268613021399723,386977000025968,358272503167422,297846953693514,435737612119136
193274263643163,192422296806664,228772541952859,268613021399723,386977000025968,358272503167422,297846953693514,435737612119136
191157590111067,192172107627916,227950560016290,280267752851296,386977000025968,358272503167422,297846953693514,435737612119136
192444863030432,192149605466758,229371533670378,284520309730702,384038476270018,358272503167422,297846953693514,435737612119136
192422296806664,203975358273702,229999910824279,285941272384797,375483205709249,357662480460588,297846953693514,435737612119136
192510387680762,203816823401542,229999910824279,285941272384797,375482354562455,357662480460588,297846953693514,435737612119136
192172107627916,203816823401542,236211998161168,285941272384797,373804617876548,357662480460588,297846953693514,435737612119136
192149605466758,206068624853361,236773417492639,285692701252924,373804617876548,357662480460588,297846953693514,435737612119136
201706375864992,206016893037002,243035609722348,276691303893605,386144892476451,357662480460588,297846953693514,435737612119136
203816823401542,203791515798254,244456583376436,276691303893605,383929066254387,370170966460588,297318229217651,435737612119136
203816823401542,203766214486866,245394235681020,310044503825567,383840998655541,372832517190198,297318229217651,435737612119136
206068624853361,202645380700841,245394235681020,310044503825567,383840109290462,372832517190198,297318229217651,435737612119136
206016893037002,219631859357715,245394235681020,305104607197959,383840109290462,372832517190198,297318229217651,435737612119136
206016893037002,219631859357715,245394235681020,286514957386353,383840109290462,372832517190198,297318229217651,435737612119136
203791515798254,219341338875968,245394235681020,286514957386353,375147879366417,383861686991660,296791380890961,435737612119136
202645380700841,219388178746274,245538440681020,286514957386353,366841071663950,384982520777685,293514711964273,435737612119136
219631859357715,229049687996180,247827894875251,286514957386353,366841071663950,384982520777685,293514711964273,435737612119136
219341338875968,227953724415451,262163050472603,287255107521248,366841071663950,382328826154289,293514711964273,435737612119136
219341338875968,227950560016290,262163050472603,279353943710355,335152184596057,382328826154289,293514711964273,435737612119136
219388178746274,229371533670378,262167787030848,268953180399395,335152184596057,382328826154289,293514711964273,435737612119136
229049687996180,229371533670378,262167787030848,268953180399395,335152184596057,381890102306779,293514711964273,435737612119136
227953724415451,229999910824279,263588760684936,260527117761214,335152184596057,381890102306779,293514711964273,435737612119136
229371533670378,236773417492639,266268413282005,252575022511585,358718615657353,381890102306779,293514711964273,435737612119136
229371533670378,243035609722348,268613021399723,252575022511585,354915965033654,381890102306779,293514711964273,435737612119136
229999910824279,244456583376436,268613021399723,252575022511585,354915965033654,388440816060540,293514711964273,435737612119136
229999910824279,244456583376436,280267752851296,252575022511585,354915965033654,388440816060540,293514711964273,435737612119136
236211998161168,245394235681020,280267752851296,241897781567158,354460612997385,388440816060540,293514711964273,435737612119136
236773417492639,245394235681020,284520309730702,241897781567158,354460612997385,388440816060540,293514711964273,435737612119136
244456583376436,245394235681020,285941272384797,238431354097792,354460612997385,394872521606551,293514711964273,435737612119136
245394235681020,245394235681020,285941272384797,240172726491224,368411444696521,394872521606551,293514711964273,435737612119136
245394235681020,245538440681020,285692701252924,239833579674913,368411444696521,394872521606551,293514711964273,435737612119136
245394235681020,247827894875251,276691303893605,239137251633830,368411444696521,394872521606551,293514711964273,435737612119136
245394235681020,262163050472603,276691303893605,235647984810677,365890840628641,393937776905832,293514711964273,435737612119136
245394235681020,262163050472603,310044503825567,245080681749093,329055392811451,393239621580701,288459795267736,435737612119136
262167787030848,266268413282005,286514957386353,246143363242141,334897396528497,400452894758987,288459795267736,435737612119136
262167787030848,268613021399723,286514957386353,244184093466114,334897396528497,399012724721522,288459795267736,435737612119136
263588760684936,268613021399723,287255107521248,244184093466114,334897396528497,399012724721522,288459795267736,433494880797852
266268413282005,284520309730702,268953180399395,247696615461131,334289849226245,399012724721522,288459795267736,433494880797852
268613021399723,285941272384797,268953180399395,247120840406177,327749498000911,402193445960997,288459795267736,433494880797852
280267752851296,285941272384797,258482323755213,246381851600281,327684742359066,402193445960997,288459795267736,433494880797852
284520309730702,285692701252924,252575022511585,246381851600281,327684742359066,402193445960997,288459795267736,433494880797852
285941272384797,276691303893605,252575022511585,243698622798338,325753902550639,402193445960997,288459795267736,433494880797852
285941272384797,276691303893605,252575022511585,246179732239728,322491872544109,402193445960997,288459795267736,430173782012656
285692701252924,310044503825567,241897781567158,246179732239728,322491872544109,402193445960997,288459795267736,430173782012656
276691303893605,305104607197959,241897781567158,246179732239728,322491872544109,402193445960997,288459795267736,430173782012656
310044503825567,286514957386353,239833579674913,270210235466547,318466966493742,402193445960997,288459795267736,430173782012656
305104607197959,286514957386353,239137251633830,270210235466547,318283630322815,402193445960997,288459795267736,430173782012656
286514957386353,279353943710355,245080681749093,274145922689010,318283630322815,402193445960997,278855305655770,430173782012656
286514957386353,268953180399395,245080681749093,274145922689010,318583630322815,402193445960997,278855305655770,430173782012656
287255107521248,268953180399395,247056838814222,275840179126674,315465772739932,402193445960997,278855305655770,430173782012656
268953180399395,252575022511585,244184093466114,258362809431193,342452736766500,413439045826614,278855305655770,430173782012656
258482323755213,241897781567158,247696615461131,256497249092270,342452736766500,413610032582706,278855305655770,430173782012656
252575022511585,241897781567158,247696615461131,261451588462215,342452736766500,413610032582706,278855305655770,430173782012656
252575022511585,238431354097792,246381851600281,267378237495516,340096742582014,413610032582706,278855305655770,430173782012656
241897781567158,240172726491224,246381851600281,267378237495516,340096742582014,422949933003061,278855305655770,430173782012656
241897781567158,239833579674913,246381851600281,267378237495516,340096742582014,454681438925841,278855305655770,430173782012656
240172726491224,245080681749093,246179732239728,271856467351892,340096742582014,454681438925841,274334269070217,430173782012656
235647984810677,247056838814222,246179732239728,276475635642827,340096742582014,454681438925841,274334269070217,430173782012656
245080681749093,246143363242141,258023807765054,276017645892745,340096742582014,455306052619879,274334269070217,430173782012656
245080681749093,246143363242141,270210235466547,276588775105145,340096742582014,455306052619879,274334269070217,430173782012656
245080681749093,244184093466114,270210235466547,276588775105145,340096742582014,457926078133915,272993113324962,430173782012656
247056838814222,244184093466114,270471344591571,274289439118146,340096742582014,457926078133915,272993113324962,430173782012656
246143363242141,247696615461131,274145922689010,273561719404256,340096742582014,457926078133915,272993113324962,430173782012656
244184093466114,247120840406177,275840179126674,281550170748137,332449079701400,457926078133915,269047235626792,430173782012656
247696615461131,246381851600281,275840179126674,281550170748137,332449079701400,457926078133915,269047235626792,430173782012656
247678000170635,243698622798338,280090891566731,296849706042996,330808521115479,458520372266788,269047235626792,430173782012656
246381851600281,246179732239728,250231946534625,296964776357314,333895595000199,458520372266788,269047235626792,430173782012656
