token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
51005600000,51006600000,54170119440,62794010094,137509086539,130440502374,119887587271,81490
51005600000,51006600000,54170119440,62794010094,137509086539,129004706439,117866747243,81490
51005600000,51007500000,54170119440,62794010094,137509086539,123243134713,117866747243,81490
51006600000,51007500000,54170119440,63694110094,133377859874,123694916069,117866747243,81490
51006600000,51007700000,55223098021,63491612679,137951507803,122912256863,117348756361,81490
51007500000,51007700000,57923098021,63725492652,143721684043,122912256863,117299224473,81490
51007700000,51007700000,59090772700,63725492652,136230387119,126745656863,118307592391,81490
51007700000,51007700000,59090772700,65005206344,136793687119,129721387435,118337556844,81490
51007700000,52808100000,59090772700,65005206344,136793687119,128417524708,118092610274,81490
53839346075,54170119440,62212579558,76182269371,134612184812,129195366874,117134069699,81490
54170119440,55970119440,61523420738,76182269371,136638784812,129195366874,117134069699,81490
54170119440,55223098021,61523420738,76182269371,136638784812,129195366874,117778340765,81490
54170119440,55223098021,61523420738,76182269371,134780280264,129195366874,118293755800,81490
54170119440,57023098021,63467589527,76182269371,134780280264,129539264047,116941702190,81490
55970119440,58034099075,62794010094,77745969371,134780280264,131730712405,116941702190,81490
58034099075,59090772700,63253812679,76341616558,130640398104,131193914974,117667573329,81490
59090772700,59090772700,63491612679,76341616558,130640398104,131193914974,117682847430,81490
59090772700,59417233584,63725492652,78694574210,130640398104,129949364582,117400115704,81490
59090772700,61817233584,63725492652,79846474210,132204598104,125163297954,118341257352,81490
59090772700,61643731869,63725492652,79846474210,129183881969,124508437890,117740208943,81490
59090772700,61643731869,63725492652,79846474210,129410560199,124464285640,117916226470,81490
62212579558,61523420738,65005206344,81589066423,124602273825,123122150810,118616883592,81490
62212579558,63467589527,65005206344,81589066423,124427833457,122488551034,118390267410,81490
62212579558,63467589527,65005206344,81589066423,124546572785,122488551034,118390267410,81490
61523420738,62794010094,65005206344,81589066423,123309875380,121504685373,118390267410,81490
61523420738,62794010094,69851978214,81589066423,120785966800,124463290324,118464919756,81490
62794010094,63253812679,76182269371,83247484206,118064932772,126304537926,118535034258,81490
62794010094,63725492652,76182269371,86399614495,113980989340,125576386890,117199966004,81490
63253812679,63725492652,77745969371,88050333408,115091872224,124986223353,117199966004,81490
63725492652,65005206344,77134574210,90388404575,115942617623,123054179617,116393464487,81490
63725492652,65005206344,76341616558,90754122310,114711785079,123054179617,116404269142,81490
63725492652,65005206344,76341616558,90754122310,114711785079,123054179617,116067145983,81490
63725492652,65005206344,78094574210,90754122310,114711785079,123054179617,116816843170,81490
65005206344,71132991415,80896782750,94694874761,113459652892,122409040775,116335571750,81490
76182269371,75994574210,81589066423,97599200437,118974866915,124233928903,114052746672,81490
76182269371,77134574210,81589066423,97599200437,118974866915,127993716699,114370546672,81490
77745969371,77134574210,82957219821,97599200437,118974866915,127993716699,114370546672,81490
77134574210,79846474210,86399614495,101428376459,119557529081,126858988943,115652360648,81490
78094574210,79846474210,89799540396,104585576458,117471944561,131818354674,121398673245,81490
78694574210,80896782750,89799540396,105946483411,117457556320,125073128772,121398673245,81490
79846474210,82235206483,90754122310,105946483411,115685882684,125073128772,120625133653,81490
79846474210,81589066423,90754122310,106494948974,115229178812,119283555237,121275134872,81490
80896782750,81589066423,90012294349,106494948974,115658943600,119495397845,121275134872,81490
81376917994,81589066423,90012294349,107120164381,115658943600,119329917765,120400940678,81490
81589066423,81589066423,94694874761,109400269174,116115943600,123179371436,115090879513,81490
81589066423,82957219821,94694874761,109400269174,115229508192,120447825166,112594619035,81490
81589066423,83247484206,94724874761,109499269174,114258526256,120447825166,112594619035,81490
81589066423,86399614495,93632055169,109499269174,115770929845,120832587969,113008098735,81490
86399614495,90388404575,97599200437,112728769174,115145329396,121297492592,124072358332,81490
88050333408,90754122310,97599200437,112728769174,115322429396,123970292592,119792021348,81490
88131772594,90754122310,97599200437,112728769174,114548771298,123615638772,120958349904,81490
90754122310,90012294349,102278376459,117316849304,115809350419,123584973426,115601077028,81490
90754122310,90012294349,102278376459,117316849304,114676254091,123632079710,114802035828,81490
90754122310,93218688847,104585576458,117079138371,115349854091,123632079710,113857897504,81490
90012294349,94694874761,105946483411,117816367813,118122831453,122446964700,117144274835,81490
90012294349,94724874761,105946483411,121233534606,118142670145,123903766567,121406159181,81490
94694874761,93632055169,106494948974,121601284056,116247842474,123892747132,114172842934,81490
93632055169,97599200437,109400269174,123667422524,114955950254,122648479399,117322051235,81490
93632055169,97599200437,109400269174,123667422524,114955950254,120190186912,118268471258,81490
96138336516,97599200437,109499269174,123885640584,114955950254,122257435824,117464528986,81490
97799093713,97599200437,109499269174,123514577874,114955950254,122257435824,117464528986,81490
97599200437,101428376459,109499269174,127964239742,115656946650,118897513731,114840113414,81490
97599200437,102278376459,109499269174,127114901092,115656946650,119201888797,115494971002,81490
97599200437,102278376459,110099269174,127353138503,115656946650,119201888797,115586594487,81490
97599200437,104585576458,110999269174,127711219360,115656946650,119221228501,113896063412,81490
105946483411,106494948974,116143385686,130909199088,115815547614,123002260468,114429688731,81490
105946483411,107120164381,117316849304,130909199088,115815547614,124108109272,113119030114,81490
105946483411,107120164381,117316849304,130909199088,115815547614,123142555061,109225787904,81490
106494948974,109400269174,117079138371,130909199088,116149370074,121845241776,112411287904,81490
106494948974,109400269174,117816367813,130909199088,112438950277,121845241776,112411287904,81490
109240164381,109499269174,121233534606,130909199088,112540227752,119114711171,112411287904,81490
109400269174,109499269174,123101284056,130909199088,112640430204,118628510355,113967510590,81490
109499269174,110099269174,123667422524,131120938834,113733135274,118273802215,117426931492,81490
109499269174,110999269174,123667422524,131389369388,114760635273,118273802215,117426931492,81490
109499269174,112728769174,123885640584,131515144533,117053408860,121067691084,113056657179,81490
112728769174,117316849304,127353138503,135970392556,114382626488,123505326570,111019796299,81490
112728769174,117079138371,127711219360,135970392556,114896629372,123772448892,110645305130,81490
116143385686,117816367813,128123265639,140431090194,114896629372,123772448892,111740877135,81490
117816367813,121601284056,130909199088,141083743204,120422076461,122140908036,112426645662,81490
117816367813,123101284056,130909199088,141983743204,120422076461,121593284221,111130627637,81490
121233534606,123667422524,130909199088,143961529283,119532140452,120929518335,110199337716,81490
121601284056,123667422524,130909199088,143961529283,118902562569,120929518335,109626163394,81490
123461284056,123885640584,130909199088,143961529283,119044123971,120929518335,109026430216,81490
123667422524,127320694280,130909199088,144271289946,119044123971,119496876285,108357020267,81490
123667422524,127964239742,130909199088,145227168248,119044123971,118559290696,110782402987,81490
123885640584,127114901092,131120938834,145227168248,122753799376,118559290696,109612982306,81490
123514577874,127353138503,131120938834,145227168248,123165936776,118559290696,109957515907,81490
127114901092,128123265639,131515144533,149660840301,119463327518,123864746616,109701562052,81490
