token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
188999436661474,187471189995519,161453833368883,125260087681118,94176922855303,83454832898699,49826538647315,196632741203731
187481900997833,187471189995519,161453833368883,116288180442560,94670635305609,83674218108122,49826538647315,197373056932420
187471189995519,187471189995519,161453833368883,113864392136458,94670635305609,83674218108122,49847473514650,207733733558001
187471189995519,187471189995519,163153171703374,114600239595461,94670635305609,83674218108122,49776521024758,207733733558001
187471189995519,187471189995519,155359050457714,113535649513814,91577735473378,84560534797465,49867832013843,209285065613578
187471189995519,187471189995519,155359050457714,114744451644319,91577735473378,84412948516331,50665557150566,209285065613578
187471189995519,187471189995519,155359050457714,114948480732918,91577735473378,84264820944019,50665557150566,209285065613578
187471189995519,185649124081029,153214462440461,114948480732918,91577735473378,83061725412794,50665557150566,212988080699883
170712226383094,162123691209828,146046559407522,126538861545423,92823149809301,83695647263390,50838570577927,231938083227656
172215005809939,161965520998048,144749383339783,126538861545423,92565675543698,82665571199154,50838570577927,228385860342332
172036514766751,161453833368883,144749383339783,141362568580513,93774335870134,81086519257076,51946085090189,227964893902880
163585628381693,161453833368883,144384855038916,138986628374144,91451002096755,81615283502059,52049640847210,229733139892337
163071097555649,161453833368883,143088839246671,139813844202282,91815150632052,77846390320988,55562871126852,226452511172788
162123691209828,161453833368883,134172037658333,139813844202282,104835213224770,77774371053117,55749657131688,230983864165471
161965520998048,163153171703374,135000796571893,151571904384585,102833280994800,77763015960135,55749657131688,233630814099211
161453833368883,155359050457714,134455372380643,148562834856477,102833280994800,77763015960135,55366461188291,241770280967351
161453833368883,155359050457714,136103492649757,147237449560126,102643602559190,77763015960135,55087327450726,241770280967351
161453833368883,155359050457714,137153811396419,140350989484325,101409068747720,77763015960135,54739102511214,241812698924231
161453833368883,153214462440461,131351123866650,140350989484325,100657930761905,77656165707343,53890876055124,238702229966383
163153171703374,154173331846244,126316284280283,121786273727474,100657930761905,77656165707343,53702075887057,240646696883332
155359050457714,149968251550558,125260087681118,120024606151546,100657930761905,77656165707343,53374404599812,235489644336606
154173331846244,148279453195388,114600239595461,120397855248150,96013365660857,76896393216696,51309497911436,241633752156361
149968251550558,147574676828090,113535649513814,116709740585833,96013365660857,77077138774271,51692693854833,238528492107095
136705319506763,146046559407522,114948480732918,114387047582568,96249536166330,77258171926660,52240898390266,238091962896498
148279453195388,144749383339783,114946159954568,114228829332231,96249536166330,77258171926660,52399166039000,238257873531856
147574676828090,144749383339783,115855602535392,114228829332231,96084490060638,77258171926660,52486587939135,235974605364159
133895201122080,144384855038916,116983514808322,114149884500738,95675712465551,76731152115510,52467702372238,235974605364159
147340841440341,143088839246671,116983514808322,114150673408909,92959355203795,76731152115510,52475626830031,235976177360994
144749383339783,135000796571893,124970023343821,115205467972341,89697022037892,76731152115510,54070259258333,236398150529666
144749383339783,134455372380643,124970023343821,115205467972341,90494951180107,76731152115510,54058253959061,233455082908972
144384855038916,136103492649757,124970023343821,115205467972341,89779577913144,76731152115510,52496358120728,233360006394853
143088839246671,137153811396419,124875399563594,116643940624852,89635042994836,76731152115510,52780936071688,218347852677153
134172037658333,131351123866650,126538861545423,117455653168993,89376050655303,76487202179745,52780936071688,217084243346023
135000796571893,126316284280283,126538861545423,115131769559843,92443906823127,75819450289036,52780936071688,217084243346023
136103492649757,125260087681118,138986628374144,117382012360562,91584244009454,75477529094544,55460679654789,217084243346023
137153811396419,116288180442560,139813844202282,117382012360562,94205587820711,75477529094544,55634276002394,215822649894696
131351123866650,113864392136458,139813844202282,117382012360562,95330480828574,74305625895573,55590103642528,214110720859656
126316284280283,114600239595461,151571904384585,117920836256504,95330480828574,74305625895573,55590103642528,209202004812467
125260087681118,113535649513814,148562834856477,116630938526110,95553275384137,74305625895573,55590103642528,215046181789878
125260087681118,114744451644319,147237449560126,115270264808111,95444100253034,74339550924723,55590103642528,207823680608977
116288180442560,114948480732918,140350989484325,109199178977760,95444100253034,74339550924723,55590103642528,207823680608977
113864392136458,114948480732918,140350989484325,108938330145939,95878637999898,73768019846456,55611392397714,207823680608977
114600239595461,114946159954568,121786273727474,108938330145939,95878637999898,73969924152417,55564705023323,206120175078022
113535649513814,115855602535392,120024606151546,108224944771864,95480857193802,73969924152417,55537348690948,204375492275542
114948480732918,116983514808322,119314100047528,108249871593513,94814399711796,74076536313207,56626176551808,199543400190021
114948480732918,116983514808322,119314100047528,108648371455628,94239640987736,74076536313207,57048543327343,196379958513226
114946159954568,124970023343821,120397855248150,107587478531538,94239640987736,74539834928639,56954802321395,196812299773507
115855602535392,124970023343821,116709740585833,108051273372179,95816720987736,74539834928639,56917392274977,199877356283184
116983514808322,124970023343821,114664988011462,103300214927494,95816720987736,76178251374152,68135265380380,181197103935344
116983514808322,124875399563594,114664988011462,109808822838848,95816720987736,69851562052574,66478312494563,177854299056665
124970023343821,126538861545423,114228829332231,115781611732694,95597443406656,70021897884152,66472849904895,182499636398742
124970023343821,141362568580513,114228829332231,112627056920734,94582447031297,70130618838126,65682191504975,182499636398742
124970023343821,138986628374144,114149884500738,112489600034568,94540706631626,69984762019452,64711499577765,180743035277883
126538861545423,151571904384585,115205467972341,113373623144306,98398857737898,71265481515877,62355495553437,179265012347900
139813844202282,140350989484325,116643940624852,113666940173651,86666528381040,74709044894553,60292319846725,180688318813967
139813844202282,140350989484325,117455653168993,119993107639836,92877907278109,75249187823466,59793905451492,180337840308922
148562834856477,120024606151546,117184769802845,120462279870623,92877907278109,76502767753844,59793905451492,179992205008597
147237449560126,120199997430351,117382012360562,120637901078599,90393414309013,74842067945235,59773512449005,181237891268502
140350989484325,119314100047528,117382012360562,120637901078599,90393414309013,74563389140874,56717254053948,170032752105311
121786273727474,120397855248150,117920836256504,121471044856510,90734853936797,73770577279571,55075079457176,170032752105311
120024606151546,116709740585833,116630938526110,121471044856510,90611983774347,73770577279571,55264307006680,173953490617631
120199997430351,114664988011462,115270264808111,121471044856510,90611983774347,73641476257177,56099531530190,159311798990203
119314100047528,114664988011462,109199178977760,121471044856510,90611983774347,73321891970906,55772985968543,164756016707704
120397855248150,114228829332231,108938330145939,122707908471293,90611983774347,82649355836871,55191193880428,152676658453214
116709740585833,114228829332231,108224944771864,121690422154425,90611983774347,82649355836871,55300402723175,151311136488084
114664988011462,114149884500738,108203107154435,121690422154425,88176140097412,82649355836871,55300402723175,151311136488084
114664988011462,114150673408909,108249871593513,121511652250711,84097399288029,81257505141915,52631785382988,156079374016074
114228829332231,115205467972341,107587478531538,112925521145885,86732115202142,81851921158071,52646131751554,159485701488676
114228829332231,115205467972341,108051273372179,112925521145885,86732115202142,81753572182345,52715707413930,168618061649748
114149884500738,115205467972341,103300214927494,112925521145885,86732115202142,77627147191214,53646414317265,175052315893126
113797548395736,117455653168993,110287794748875,99177866028615,86732115202142,75598278370883,53693962261441,173508235168317
115205467972341,115131769559843,115781611732694,99177866028615,86732115202142,74155464903737,50595976015830,171922131531913
115205467972341,117382012360562,112489600034568,102432894409799,86732640720307,73705707699418,50623279625754,172701959409784
116643940624852,117382012360562,113373623144306,100988703775077,87275912051900,73705707699418,50782960834388,170973460387954
117455653168993,117382012360562,113373623144306,99114204438789,82999767541588,73705707699418,50782960834388,170973460387954
115131769559843,117920836256504,113373623144306,97082701112345,82390926142212,73705707699418,50376915780711,169417872290413
117382012360562,109199178977760,113666940173651,106052159655835,82875841570871,76116785100794,51117833131499,169917646932051
117382012360562,108938330145939,119993107639836,105490553631081,82875841570871,75966265247576,50969317229660,169580096988695
117920836256504,108938330145939,120770127964635,105423421196258,81045556728523,75088343062196,50872145086502,166577340920044
116630938526110,108224944771864,120462279870623,96775560748706,81045556728523,74954728304845,50872145086502,166643467704240
115270264808111,108203107154435,120637901078599,96775560748706,80207815282515,74954728304845,50872145086502,166643467704240
108938330145939,107587478531538,121471044856510,96589005974706,79450343968066,77409714365859,50831079120732,169829321011057
108224944771864,108051273372179,121471044856510,96410653552193,80242509106953,77409714365859,50737008258303,169829321011057
108203107154435,103300214927494,121471044856510,94395177229395,79859759543889,76711957434911,50667953416445,179352158153571
108249871593513,109808822838848,121471044856510,87660699216451,79783648286143,76819934274015,50701882085795,177642177896433
108648371455628,110287794748875,122707908471293,87807880608566,79783648286143,76819934274015,51452358117163,177642177896433
108051273372179,112627056920734,121690422154425,90254549585010,78670234077396,77865822989657,52002208534372,175305849855076
103300214927494,112489600034568,121690422154425,90270522602081,79054108866571,77865822989657,51451930525255,169266923339789
109808822838848,113373623144306,121511652250711,89274396578593,79115493613553,77865822989657,51773435839069,169266923339789
110287794748875,113373623144306,121422464449511,88034778333902,78929019902503,77918798156732,52029333268374,168501640085025
115781611732694,113373623144306,112925521145885,87731994032901,80407788223396,77918798156732,51936368433362,168501640085025
112627056920734,113373623144306,112925521145885,87851555602282,80383782254820,77918798156732,53156036979302,168501640085025
112489600034568,113373623144306,112925521145885,87019206537835,80383782254820,77810865086751,52738941245514,175345384409062
113373623144306,113666940173651,99177866028615,84794525749554,80383782254820,77838020772392,52730938813249,175345384409062
113373623144306,119993107639836,99177866028615,84794525749554,66264889540854,77910288231546,52682975190521,174844702517637
113373623144306,120770127964635,99177866028615,84794525749554,81603220541557,79429658126700,52108719512490,176394481141156
113373623144306,120462279870623,101548987250259,84759323033016,80935309569268,78687925452481,50169066836062,176394481141156
113373623144306,120637901078599,102432894409799,85413919963738,81073185183163,78610848180629,50169066836062,177280196339391
113666940173651,120637901078599,100988703775077,85666608497935,80686810973431,78647842018311,49831910459760,182195809852478
120637901078599,121471044856510,106052159655835,84723553833490,80686810973431,83769361386557,50117196520832,180747218662333
120637901078599,122707908471293,105490553631081,87019459022369,80795527989982,83769361386557,50117196520832,180747218662333
121471044856510,122707908471293,105423421196258,84730386226973,80699251879761,83769361386557,49897683796768,181118655951432
121471044856510,121690422154425,96775560748706,84865451716264,80699251879761,83802408538084,47985336859765,184744916665131
121471044856510,121690422154425,96775560748706,86087289018581,83077565192309,81222394208732,47985336859765,184423506103734
122707908471293,112925521145885,96589005974706,85070380476705,82637686853577,83477592127576,47887968928341,185191246114174
121422464449511,99177866028615,87807880608566,83854310140376,85967093054446,82831304296289,48094423804720,186956355080232
112925521145885,101548987250259,90254549585010,93522099656641,84625415573809,82831304296289,48805066527909,197210658536327
99177866028615,100988703775077,89274396578593,92153199728320,84728205726309,103676980625485,47895268527624,197210658536327
99177866028615,99114204438789,88034778333902,91145236109872,84495724489170,101549618637584,47895268527624,201562171392767
99177866028615,97082701112345,87731994032901,91145236109872,84487209575752,100163391797606,47895268527624,201562171392767
100988703775077,106052159655835,84794525749554,87638616467994,84656904705038,95915737575081,48411833635209,208400946918393
96867255082491,96775560748706,84759323033016,92591453408559,86502266196851,89940268839017,47043264648392,208416280128249
106680992699447,96775560748706,85413919963738,92620114113470,84263741022256,89480619186672,47036904067247,209843014898349
106052159655835,97515092705387,85666608497935,92620114113470,84221423259113,87237462310264,47949183923784,210134335675647
105490553631081,96950239093404,85666608497935,90111128502436,84221423259113,86788896749961,47963694931097,210134335675647
105423421196258,96589005974706,84683685524591,90111128502436,84314549968393,86731368245331,48345670157301,210134335675647
96775560748706,96410653552193,83626555160786,87747996339632,82186571460144,86731368245331,50457960678520,208142185120854
96775560748706,94395177229395,84502188864151,87993516828697,82352887796113,86731368245331,50464671697158,208486264809546
97515092705387,87660699216451,84723553833490,87970482492269,82352887796113,86731368245331,50465438876019,208486264809546
96950239093404,87807880608566,87019459022369,90864411635776,82870033689863,87641977922304,50450804528847,208486264809546
96589005974706,87462744350100,84730386226973,90789152904665,83284237820378,87641977922304,50407390544174,208486264809546
96410653552193,90254549585010,84865451716264,90789152904665,82402010333919,87641977922304,49694670163711,203698109899916
87660699216451,89274396578593,85696517717838,95706728177320,82447234130640,95595606935401,48802548201837,194270275069514
87807880608566,88034778333902,85696517717838,95706728177320,82447234130640,94566172134986,48306610155740,194270275069514
87462744350100,87731994032901,85070380476705,95050642383075,82023890700712,97351971670576,46990929179786,194270275069514
90254549585010,87851555602282,85070380476705,95165076218862,82023890700712,96964337936477,46425353616509,194270275069514
90270522602081,87019206537835,95083787781923,95299755493947,82235290131384,91692221563458,46480271316205,190297917391603
89274396578593,84794525749554,94812282884929,95283383453738,82235290131384,91692221563458,46489898388703,190297917391603
88034778333902,84794525749554,83854310140376,95328552224399,82235290131384,91446510375551,46489898388703,190390148172502
87731994032901,84794525749554,83358003427536,92676446169746,82235290131384,91431661205326,46489898388703,192732887581037
87851555602282,84759323033016,93522099656641,93471001051548,81444675119214,90706263355437,46489898388703,192732887581037
87019206537835,85413919963738,92365823135535,92396169136949,80972882504116,91059584323913,46489898388703,192339569696872
