token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
5001825053,5455549293,5662349293,5647787849,364473681,45753424,10495568,10602416
5353625053,5554549293,5649017963,5647787849,364473681,45753424,10495568,10602416
5455549293,5554549293,5648907240,5647787849,364473681,45753424,10495568,10602416
5455549293,5561749293,5648780416,5647787849,364473681,45753424,10495568,10602416
5554549293,5555049293,5648540105,5647787849,364473681,45753424,10495568,10602416
5554549293,5555049293,5648415708,5647787849,364473681,45753424,10495568,10602416
5554549293,5555049293,5648915708,5647787849,364473681,45753424,10495568,10602416
5555049293,5562349293,5648466891,5647787849,364473681,45753424,10495568,10602416
5555049293,5662349293,5648340076,5649807449,364473681,45753424,10495568,10602416
5562349293,5662349293,5648100482,5649807449,364473681,45753424,10495568,10602416
5662349293,5560013977,5647986791,318407185,364473681,45753424,10495568,10602416
5662349293,5648907240,5647986791,319007185,364473681,45753424,10495568,10602416
5648540105,5648466891,5647787849,318661136,364473681,45753424,10495568,10602416
5648415708,5648466891,5647787849,318661136,364473681,45753424,10495568,10602416
5648915708,5648466891,5647787849,318661136,364473681,45753424,10495568,10602416
5648988888,5648340076,5647787849,318661136,364473681,45753424,10495568,10602416
5648720533,5648227281,5647787849,318661136,364473681,45753424,10495568,10602416
5648466891,5648100482,5647787849,318661136,364473681,45753424,10495568,10602416
5648466891,5647986791,5647787849,318661136,364473681,45753424,10495568,10602416
5648466891,5647986791,5647787849,318661136,364473681,45753424,10495568,10602416
5648340076,5647986791,5647787849,319670936,364473681,45753424,10495568,10602416
5648227281,5647986791,5647787849,319670936,364473681,45753424,16695568,10602416
5648100482,5647986791,5647787849,319670936,364473681,45753424,16695568,10602416
5647986791,5647986791,5649807449,362797439,364472856,45753424,16695559,10602416
5647986791,5647986791,5649807449,362797439,364472856,45753424,16695559,10602416
5647986791,5647986791,5649807449,362797439,364472856,45753424,16695559,10602416
5647986791,5647787849,5649807449,362797439,364472856,45753424,16695559,10602416
5647787849,5647787849,318661136,359126681,364472856,45753424,16695559,10602416
318407185,319007185,362797439,360136481,364972856,45753424,16695559,10602416
319007185,318661136,362797439,360236481,364972856,45753424,16695559,10602416
318661136,318661136,362797439,360236481,364972856,45753424,16695559,10602416
318661136,318661136,362797439,360236481,364972856,45753424,16695559,10602416
318661136,318661136,359126681,360236481,364972856,45753424,16695559,10602416
318661136,318661136,359126681,360236481,364972856,45753424,16695559,10602416
362797439,362797439,359126681,360434481,364972856,45753424,16695559,10602416
362797439,359126681,360136481,360434481,364972856,45753424,16695559,10602416
359126681,359126681,360236481,360434481,46386008,45753424,16695559,10602416
360236481,360236481,360434481,361444281,46386008,45753424,16695559,10602416
360236481,360236481,360434481,361444281,46386008,45753424,16695559,10602416
360434481,360434481,361444281,361444281,46386008,45753424,16695559,10602416
360434481,360434481,361444281,361444281,46386008,45753424,16695559,10602416
361444281,361444281,361444281,362454081,43896096,45753424,16695559,10602416
362454081,362454081,362454081,363463881,45753424,45753424,16695559,10602416
363463881,363463881,363463881,364473681,45753424,45753424,16695559,10602416
364473681,364473681,364473681,364472856,45753424,17065978,16695559,10602416
364472856,364472856,364972856,364972856,45753424,17065978,16695559,10602416
364972856,364972856,364972856,46386008,45753424,17065978,16695559,10602416
46386008,46386008,46386008,46386008,45753424,17065978,16695559,10602416
43896096,43896096,39553424,45753424,45753424,17065978,10152416,10602416
41660691,39553424,45753424,45753424,45753424,17065978,10152416,10602416
39553424,39553424,45753424,45753424,45753424,17065978,10152416,10602416
45753424,45753424,45753424,45753424,45753424,17065978,10152416,10602416
17065978,17065978,17065978,17065978,10495570,10495570,10152416,10602416
10495570,10495570,10495570,10495570,10495570,10495568,10152416,10602416
10495568,10495568,10495568,10495568,16695559,16695559,10152416,10602416
10495568,10495568,10495568,10495568,16695559,16695559,10602416,10602416
16695559,16695559,16695559,16695559,16695559,10152416,10602416,10602416
16695559,16695559,16695559,16695559,16695559,10152416,10602416,10602416
10152416,10152416,10152416,10152416,10152416,10152416,10602416,10602416
10602416,10602416,10602416,10602416,10602416,10602416,10602416,10602416
10574016,10574016,10574016,10574016,10574016,10574016,10574016,10574016
10774016,10774016,10774016,10774016,10774016,10774016,10774016,10774016
