open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:39,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,206639103134475,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,0,-754789835417,-754789835417,0,0.0,0.0,0.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:42,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,202828274990547,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,0,-11309556714985,-11309556714985,0,0.0,0.0,0.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:43,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,195240945158204,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,0,-11798503990491,-11798503990491,0,0.0,0.0,0.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:44,177405331871320,206639103134475,177405331871320,177405331871320,177405331871320,177405331871320,177405331871320,177405331871320,177405331871320,177405331871320,177405331871320,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,17696164138189,-30280548725328,-30280548725328,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:45,193741629946252,206639103134475,193741629946252,193741629946252,193741629946252,193741629946252,193741629946252,193741629946252,193741629946252,193741629946252,193741629946252,17696164138189,-31325128458389,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,17696164138189,-32079918293806,-32079918293806,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:46,192515567774240,206639103134475,192515567774240,192515567774240,192515567774240,192515567774240,192515567774240,192515567774240,192515567774240,192515567774240,192515567774240,17696164138189,-31438751518613,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,17696164138189,-32193541354030,-32193541354030,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:47,184812817965343,202828274990547,184812817965343,184812817965343,184812817965343,184812817965343,184812817965343,184812817965343,184812817965343,184812817965343,184812817965343,17696164138189,-39029389440551,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,17696164138189,-39784179275968,-39784179275968,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:50,184811568313481,193741629946252,206639103134475,184811568313481,184811568313481,184811568313481,184811568313481,184811568313481,184811568313481,184811568313481,184811568313481,0,-9504047099380,17696164138189,-39029805989291,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,17696164138189,-39784595824708,-39784595824708,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:51,184769922919994,192515567774240,206639103134475,184769922919994,184769922919994,184769922919994,184769922919994,184769922919994,184769922919994,184769922919994,184769922919994,0,-8678405640115,17696164138189,-40003534098504,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,17696164138189,-40758323933921,-40758323933921,1,1.0,1.0,1.0,0.0
2024-06-11 19:09:39,206900000000000,2024-06-11 19:09:53,183714273954629,184812817965343,195240945158204,183714273954629,183714273954629,183714273954629,183714273954629,183714273954629,183714273954629,183714273954629,183714273954629,0,-1097710907592,17696164138189,-29572333468575,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,17696164138189,-40881890183560,-40881890183560,1,1.0,1.0,1.0,0.0
