token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79022200000,79776100000,81098710000,81202651918,9232,9232,9232,9232
79152200000,80286100000,81098710000,81202651918,9232,9232,9232,9232
79439700000,80291300000,81098830000,81202532237,9232,9232,9232,9232
79776100000,80291300000,81098725154,81202532237,9232,9232,9232,9232
80286100000,80291300000,81098725154,81203532237,9232,9232,9232,9232
80291300000,80301300000,80852093502,81203632237,9232,9232,9232,9232
80291300000,80301500000,80852093502,81203632237,9232,9232,9232,9232
80291300000,81093600000,84046178265,81203632237,9232,9232,9232,9232
80291300000,81093600000,81070391826,81203632237,9232,9232,9232,9232
80301300000,81097300000,81070263315,81203632237,9232,9232,9232,9232
81097300000,81098710000,81168944206,81203632237,9232,9232,9232,9232
81098210000,81098710000,81168944206,81203632237,9232,9232,9232,9232
81098710000,81098710000,81168944206,81203632237,9232,9232,9232,9232
81098710000,81098710000,81190839173,81283632237,9232,9232,9232,9232
81098710000,81098830000,81190839173,81283632237,9232,9232,9232,9232
81098710000,81098725154,81190839173,80773706421,9232,9232,9232,9232
81098710000,81098725154,81190839173,80773706421,9232,9232,9232,9232
80852093502,81070263315,81202532237,80773706421,9232,9232,9232,9232
80852093502,81070158564,81202532237,80773706421,9232,9232,9232,9232
81070263315,81168944206,81203632237,81573509278,9232,9232,9232,9232
81070158564,81168944206,81203632237,81573509278,9232,9232,9232,9232
81070158564,81178944206,81203632237,81592309278,9232,9232,9232,9232
81070049211,81190839173,81203632237,81592309278,9232,9232,9232,9232
81168944206,81190839173,81203632237,81592309278,9232,9232,9232,9232
81168944206,81190839173,81203632237,81592309278,9232,9232,9232,9232
81190839173,81192151918,81203632237,80795476114,9232,9232,9232,9232
81190839173,81192151918,81203632237,80795476114,9232,9232,9232,9232
81190839173,81202651918,81203632237,80795476114,9232,9232,9232,9232
81192151918,81202651918,81283632237,80795180181,9232,9232,9232,9232
81202651918,81203632237,80773706421,80795180181,9232,9232,9232,9232
81202532237,81203632237,80773706421,80807180181,9232,9232,9232,9232
81202532237,81203632237,80773706421,80807180181,9232,9232,9232,9232
81203632237,81203632237,80773706421,80807180181,9232,9232,9232,9232
81203632237,81203632237,81512509278,80807180181,9232,9232,9232,9232
81203632237,81203632237,81573509278,80807180181,9232,9232,9232,9232
80773706421,80773706421,80795180181,80728586885,9232,9232,9232,9232
80773706421,80773706421,80795180181,80728586885,9232,9232,9232,9232
81573509278,80795476114,80807180181,80950586885,9232,9232,9232,9232
81592309278,80795476114,80807180181,80950586885,9232,9232,9232,9232
81592309278,80795476114,80807180181,80950586885,9232,9232,9232,9232
80795476114,80795476114,80807180181,80736586885,9232,9232,9232,9232
80795476114,80795180181,80728586885,80736586885,9232,9232,9232,9232
80795180181,80807180181,80728586885,80958586885,9232,9232,9232,9232
80807180181,80807180181,80728586885,81008586885,9232,9232,9232,9232
80728586885,80728586885,80736586885,81058586885,9232,9232,9232,9232
80950586885,80736586885,81008586885,82057571864,9232,9232,9232,9232
80736586885,80736586885,81008586885,82057571864,9232,9232,9232,9232
81008586885,81008586885,82057571864,82057571864,9232,9232,9232,9232
81008586885,81008586885,82057571864,9232,9232,9232,9232,9232
81058586885,82058586885,82057571864,9232,9232,9232,9232,9232
82057571864,82057571864,82057571864,9232,9232,9232,9232,9232
82057571864,82057571864,82057571864,9232,9232,9232,9232,9232
9232,9232,9232,9232,9232,9232,9232,9232
