token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
49685217134,49685217134,51185217134,51185217134,53222244264,53300495400,47628915889,47625762653
51185217134,51185217134,51185217134,51185217134,53222244264,53300495400,47628915889,47625762653
51785217134,51785217134,51785217134,51785217134,53222244264,54300495400,47628915889,47625762653
52222244264,52222244264,52222244264,52222244264,53300495400,54300495400,47628915889,46045905638
53222244264,53222244264,53222244264,53222244264,53300495400,54300495400,47628915889,46045905638
53210495400,53210495400,53210495400,53300495400,54300495400,52041755573,47628915889,46045905638
53300495400,53300495400,53300495400,53300495400,54300495400,52041755573,48223715889,46045905638
54300495400,54300495400,54300495400,54300495400,54300495400,52170755573,48223715889,46045905638
52041755573,52041755573,52041755573,52041755573,52042398182,51498453589,48223715889,46045905638
52170755573,52170755573,52170755573,52170755573,49895450365,49485568901,48223715889,46045905638
52042398182,52042398182,50802698721,50802698721,51498453589,47628915889,48223715889,46045905638
50802698721,50802698721,50802698721,49895450365,51498453589,47628915889,48223715889,46045905638
49895450365,49895450365,49895450365,51498453589,49485568901,47628915889,48223715889,46045905638
51498453589,51498453589,51498453589,51498453589,49485568901,47628915889,48223715889,46045905638
51498453589,51498453589,51498453589,51498453589,49485568901,47628915889,48223715889,46045905638
49485568901,49485568901,49485568901,49485568901,47628915889,47628915889,48223715889,46045905638
47628915889,47628915889,47628915889,47628915889,47628915889,48223715889,47625762653,46045905638
48223715889,48223715889,48223715889,48223715889,48223715889,48223715889,46045905638,46045905638
47625762653,47625762653,47625762653,47625762653,46045905638,46045905638,46045905638,35081015496
47468483264,46604565133,46604565133,46045905638,46045905638,46045905638,46045905638,35081015496
46604565133,46604565133,46604565133,46045905638,46045905638,46045905638,46045905638,35081015496
46045905638,46045905638,46045905638,46045905638,46045905638,46045905638,46045905638,35081015496
35761821048,35761821048,35761821048,35761821048,35761821048,35081015496,35345962390,31386140477
34981015496,34981015496,34981015496,35081015496,35081015496,34555612847,34359012114,31386140477
35081015496,35081015496,35081015496,35081015496,35081015496,34349839791,35359012114,31386140477
34555612847,34555612847,34555612847,34555612847,34349839791,34345962390,31386140477,31081979830
34349839791,34349839791,34349839791,34349839791,34349839791,34345962390,31386140477,31081979830
34345962390,34345962390,34345962390,34345962390,34345962390,34355585948,31386140477,31081979830
35345962390,35345962390,35345962390,35345962390,35055585948,31126140477,31386140477,27242922169
34841284498,34841284498,34841284498,34355585948,34359012114,31386140477,31386140477,27242922169
35841284498,35841284498,34355585948,34355585948,35359012114,31386140477,31386140477,26788001704
34355585948,34355585948,34355585948,35055585948,35359012114,31386140477,31386140477,26788001704
35055585948,35055585948,35055585948,35055585948,30826140477,31386140477,31386140477,26788001704
34359012114,34359012114,34359012114,34359012114,31386140477,31386140477,31386140477,26788001704
35359012114,35359012114,35359012114,35359012114,31386140477,31386140477,31386140477,26790187036
30826140477,30826140477,30826140477,31126140477,31386140477,31386140477,31386140477,26790187036
31126140477,31126140477,31126140477,31386140477,31386140477,31386140477,31386140477,26790187036
31386140477,31386140477,31386140477,31386140477,31386140477,31386140477,31386140477,26790187036
31081979830,31081979830,31081979830,31081979830,31081979830,31081979830,29290187036,29010699806
27242922169,27242922169,27242922169,27242922169,26788001704,26790187036,29290187036,29010699806
26788001704,26788001704,26788001704,26788001704,26790187036,29290187036,29290187036,29010699806
26790187036,26790187036,26790187036,26790187036,26790187036,29290187036,29290187036,29010699806
29290187036,29290187036,29290187036,29290187036,29290187036,29290187036,29290187036,29010699806
29010699806,29010699806,29010699806,29010699806,29010699806,29010699806,29010699806,29010699806
29002326084,29002326084,29002326084,29002326084,29002326084,29002326084,29002262406,29002262406
29002262406,29002262406,29002262406,29002262406,29002262406,29002262406,29002262406,29002262406
28994826745,28994826745,28994826745,28994826745,28994826745,28994826745,28738352167,28738352167
28738352167,28738352167,28738352167,28738352167,28738352167,28738352167,28738352167,28738352167
28728174009,28728174009,28728174009,28728174009,28728174009,28728174009,28728174009,28728174009
28727571923,28727571923,28727571923,28727571923,28727571923,28727571923,28727571923,28727571923
27567577091,27567577091,27567577091,27567577091,27567577091,27567577091,27567577091,27567577091
26567577091,26567577091,26567577091,26567577091,26567577091,26567577091,26567577091,26567577091
26537650710,26537650710,26537650710,26537650710,26537650710,26537650710,26537650710,26537650710
