token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
2687683974454,2688158804201,2488970187665,2489038754872,1006545919479,1423028,1423028,1423028
2687708504201,2688214404201,2488970187665,2489038754872,1006546919479,1423028,1423028,1423028
2687718504201,2688214604201,2488970287665,2490937136008,1006546919479,1423028,1423028,1423028
2688013504201,2688215004201,2488970287665,2490937136008,1006546919479,1423028,1423028,1423028
2688088704201,2688269504201,2488970287665,2490937136008,1006546919479,1423028,1423028,1423028
2688158804201,2688269504201,2488970287665,2490937136008,1006546919479,1423028,1423028,1423028
2688214404201,2688282504201,2488970502384,2490195272555,1006546919479,1423028,1423028,1423028
2688214604201,2688282504201,2488970502384,2490195272555,1006546919479,1423028,1423028,1423028
2688215004201,2688272549612,2488970417106,2489071161839,1006546919479,1423028,1423028,1423028
2688269504201,2688272749612,2488970417106,2489071161839,1006546919479,1423028,1423028,1423028
2688269504201,2688272749612,2488970132817,2489071161839,1006546919479,1423028,1423028,1423028
2688282504201,2688272849612,2488970132817,2489071161839,1006546919479,1423028,1423028,1423028
2688282504201,2688272849612,2490848032817,2489071161839,1423028,1423028,1423028,1423028
2688272549612,2688272849612,2488979548156,2489071161839,1423028,1423028,1423028,1423028
2688272749612,2488968847152,2488979448656,2489171161839,1423028,1423028,1423028,1423028
2688272849612,2488971647152,2490761563341,2489171161839,1423028,1423028,1423028,1423028
2688272849612,2488969187665,2488988854373,2489170962810,1423028,1423028,1423028,1423028
2488968847152,2488970187665,2488988754872,2489170962810,1423028,1423028,1423028,1423028
2488971647152,2488970187665,2488988754872,2489170962810,1423028,1423028,1423028,1423028
2488970187665,2488970287665,2489038754872,2489170962810,1423028,1423028,1423028,1423028
2488970187665,2488970287665,2489038754872,2489170962810,1423028,1423028,1423028,1423028
2488970187665,2488970502384,2489038754872,2489170962810,1423028,1423028,1423028,1423028
2488970287665,2488970502384,2489038754872,2489170962810,1423028,1423028,1423028,1423028
2488970287665,2488970417106,2489038754872,2489170962810,1423028,1423028,1423028,1423028
2488970502384,2490848032817,2490937136008,2490735724504,1423028,1423028,1423028,1423028
2488970132817,2490761563341,2490195272555,2489060622415,1423028,1423028,1423028,1423028
2488979548156,2488988854373,2489071161839,2489060622415,1423028,1423028,1423028,1423028
2488979948656,2488988754872,2489071161839,2489060622415,1423028,1423028,1423028,1423028
2488988854373,2488988754872,2489071161839,2490947222415,1423028,1423028,1423028,1423028
2488988854373,2489038754872,2489071161839,2489096031538,1423028,1423028,1423028,1423028
2488988754872,2489038754872,2489171161839,2489096031538,1423028,1423028,1423028,1423028
2488988754872,2489038754872,2489171161839,2489096231538,1423028,1423028,1423028,1423028
2488988754872,2489038754872,2489171161839,2489096231538,1423028,1423028,1423028,1423028
2488988754872,2489038754872,2489171161839,2489096231538,1423028,1423028,1423028,1423028
2489038754872,2489038754872,2489170962810,2489096231538,1423028,1423028,1423028,1423028
2489038754872,2490937136008,2489170962810,2489096231538,1423028,1423028,1423028,1423028
2490195272555,2489071161839,2490735724504,2256422494562,1423028,1423028,1423028,1423028
2489071161839,2489171161839,2489060622415,2256422494562,1423028,1423028,1423028,1423028
2489071161839,2489170962810,2489060622415,2256422494562,1423028,1423028,1423028,1423028
2489170962810,2489170962810,2489096031538,2142456549750,1423028,1423028,1423028,1423028
2489170962810,2489170962810,2489096231538,2142458596532,1423028,1423028,1423028,1423028
2489060622415,2490947222415,2256422494562,2143473739906,1423028,1423028,1423028,1423028
2489060622415,2489096031538,2256422494562,2143473739906,1423028,1423028,1423028,1423028
2490947222415,2489096231538,2256422494562,2143503739906,1423028,1423028,1423028,1423028
2489096231538,2489096231538,2256422494562,2143504739906,1423028,1423028,1423028,1423028
2489096231538,2489096231538,2142456549750,2143504739906,1423028,1423028,1423028,1423028
2489096231538,2256207305716,2142456549750,2143504739906,1423028,1423028,1423028,1423028
2256422494562,2256422494562,2142473739906,1820054285316,1423028,1423028,1423028,1423028
2256422494562,2256422494562,2142473739906,1820054285316,1423028,1423028,1423028,1423028
2256422494562,2256422494562,2142473739906,1820054285316,1423028,1423028,1423028,1423028
2142531549750,2142458596532,2143504739906,1820065285316,1423028,1423028,1423028,1423028
2142458596532,2142473739906,2143504739906,1820065285316,1423028,1423028,1423028,1423028
2142458596532,2142473739906,1820053285316,1820065285316,1423028,1423028,1423028,1423028
2142518596532,2142473739906,1820053285316,1820065285316,1423028,1423028,1423028,1423028
2142473739906,2143473739906,1820054285316,1820065285316,1423028,1423028,1423028,1423028
2143473739906,2143503739906,1820054285316,1820065285316,1423028,1423028,1423028,1423028
2143503739906,2143504739906,1820054285316,1820065285316,1423028,1423028,1423028,1423028
2143504739906,2143504739906,1820054285316,1820065285316,1423028,1423028,1423028,1423028
2143504739906,1820053285316,1820054285316,1820065285316,1423028,1423028,1423028,1423028
1820054285316,1820054285316,1820065285316,1820065285316,1423028,1423028,1423028,1423028
1820054285316,1820054285316,1820065285316,1820065285316,1423028,1423028,1423028,1423028
1820065285316,1820065285316,1820065285316,1111024245404,1423028,1423028,1423028,1423028
1820043813888,1223599401427,1111024245404,1005985919479,1423028,1423028,1423028,1423028
1223599401427,1111024245404,1111224245404,1006546919479,1423028,1423028,1423028,1423028
1111024245404,1111024245404,1111224245404,1006546919479,1423028,1423028,1423028,1423028
1111224245404,1111224245404,1006045919479,1423028,1423028,1423028,1423028,1423028
1005985919479,1005985919479,1006546919479,1423028,1423028,1423028,1423028,1423028
1005985919479,1005985919479,1423028,1423028,1423028,1423028,1423028,1423028
1006546919479,1006546919479,1423028,1423028,1423028,1423028,1423028,1423028
1006546919479,1006546919479,1423028,1423028,1423028,1423028,1423028,1423028
1006546919479,1006546919479,1423028,1423028,1423028,1423028,1423028,1423028
1423028,1423028,1423028,1423028,1423028,1423028,1423028,1423028
