token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
500008292739,500019192739,500282792739,501180205424,242787,242787,242787,242787
500008292739,500029892739,500282593537,501180205424,242787,242787,242787,242787
500008292739,500029892739,500282593537,501180205424,242787,242787,242787,242787
500008692739,500029892739,500281398412,501180205424,242787,242787,242787,242787
500008892739,500029892739,500281398412,501180205424,242787,242787,242787,242787
500029892739,500131292739,500280900454,501030418962,242787,242787,242787,242787
500029892739,500131392739,500280502110,501030418962,242787,242787,242787,242787
500031092739,500131892739,500280502110,501030418962,242787,242787,242787,242787
500031092739,500131892739,500280203353,501030418962,242787,242787,242787,242787
500131892739,500132592739,500280404596,502130418962,242787,242787,242787,242787
500132392739,500132592739,501180205424,502130418962,242787,242787,242787,242787
500132592739,500132592739,501180205424,502130418962,242787,242787,242787,242787
500132592739,500282792739,501180205424,502130418962,242787,242787,242787,242787
500132592739,500282792739,501180205424,502130418962,242787,242787,242787,242787
500132592739,500282593537,501180205424,502130418962,242787,242787,242787,242787
500132592739,500281398412,501180205424,502131618962,242787,242787,242787,242787
500281398412,500280502110,501180205424,502141618962,242787,242787,242787,242787
500280900454,500280203353,501180205424,502141618962,242787,242787,242787,242787
500280900454,500280504182,501180205424,502241618962,242787,242787,242787,242787
500280203353,500280305010,501180205424,502241618962,242787,242787,242787,242787
500280504182,501180205424,501030418962,502241618962,242787,242787,242787,242787
500280305010,501180205424,501030418962,502241618962,242787,242787,242787,242787
501180205424,501180205424,501030418962,502241618962,242787,242787,242787,242787
501180205424,501180205424,502130418962,502241618962,242787,242787,242787,242787
501180205424,501180205424,502130418962,502241618962,242787,242787,242787,242787
501180205424,501180205424,502130418962,502241618962,242787,242787,242787,242787
501180205424,501180205424,502130418962,502241618962,242787,242787,242787,242787
501030418962,502130418962,502241618962,503241618962,242787,242787,242787,242787
502130418962,502131618962,502241618962,503275618962,242787,242787,242787,242787
502131618962,502241618962,502241618962,503335618962,242787,242787,242787,242787
502241618962,502241618962,503241618962,503335618962,242787,242787,242787,242787
502241618962,502241618962,503241618962,503335618962,242787,242787,242787,242787
503241618962,503241618962,503335618962,503353977395,242787,242787,242787,242787
503275618962,503335618962,503353977395,242787,242787,242787,242787,242787
503335618962,503335618962,503353977395,242787,242787,242787,242787,242787
503353977395,503353977395,242787,242787,242787,242787,242787,242787
503353977395,503353977395,242787,242787,242787,242787,242787,242787
503452719424,503452719424,242787,242787,242787,242787,242787,242787
503452719424,242787,242787,242787,242787,242787,242787,242787
242787,242787,242787,242787,242787,242787,242787,242787
