token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11363066256,10594032541,11687214103,11903970323,536509875,523268711,408182298,408145294
11363066256,10744332541,11707214103,11903970323,536509875,523268711,408182298,408145294
11363066256,10744832541,11707214103,11903970323,536509875,523268711,408182298,408145294
10527314373,11686104050,11706996151,11903970323,536509875,523268711,408182298,408145294
10548314373,11591002103,11706896295,11903970323,536509875,523268711,408182298,408145294
10594032541,11591702103,11706778207,11903970323,536509875,523268711,408182298,408145294
11686104050,11596702103,11707660099,11904390323,536509875,523268711,408182298,408145294
11591002103,11586366910,11707438766,11904390323,536509875,523268711,408182298,408145294
11591702103,11685366910,11707220814,11904390323,536509875,523268711,408182298,408145294
11596702103,11685366910,11707002873,13213873258,536509875,523268711,408182298,408145294
11596702103,11685366910,11707002873,13182712273,536509875,523268711,408182298,408145294
11596702103,11685235505,11707502873,11952919048,536509875,523268711,408182298,408145294
11586366910,11685235505,11707403844,10876351073,536509875,523268711,408182298,408145294
11685366910,11685204103,11707403844,10881301073,536509875,523268711,408182298,408145294
11685366910,11685704103,11707285737,10881021840,536509875,523268711,408182298,408145294
11685235505,11685714103,11707046167,10778195901,536509875,523268711,408182298,408145294
11685204103,11687214103,11707046167,10778195901,536509875,523268711,408182298,408145294
11685714103,11706996151,11707136167,10778195901,536509875,523268711,408182298,408145294
11687214103,11706778207,13322724871,13770033473,536509875,523268711,408182298,408145294
11707214103,11706778207,13322724871,13770033473,536509875,523268711,408182298,408145294
11706996151,11707660099,11841927785,13769893329,536509875,523268711,408182298,408145294
11706778207,11707220814,11903970323,13769893329,536509875,523268711,408182298,408145294
11706778207,11707002873,11903970323,13769893329,536509875,523268711,408182298,408145294
11707660099,11707502873,11903970323,13769893329,536509875,523268711,408182298,408145294
11707438766,11707403844,11903970323,13769893329,536509875,523268711,408182298,408145294
11707220814,11707403844,11903970323,368683052,536509875,523268711,408182298,408145294
11707502873,11707046167,11904390323,368683052,536509875,523268711,408182298,408145294
11707403844,11707046167,11904390323,368883052,536509875,523268711,408182298,408145294
11707403844,11707046167,11904390323,369283052,536509875,523268711,408182298,408145294
11707285737,11707046167,13213873258,369283052,536509875,523268711,408182298,408145294
11707046167,11707136167,11952919048,401794944,536509875,523268711,408182298,408145294
11707046167,13322724871,10876351073,401794944,536509875,523268711,408182298,408145294
11707046167,13322724871,10881021840,420694944,536509875,523268711,408182298,408145294
11707136167,13322724871,10881021840,420694944,536509875,523268711,408182298,408145294
13322724871,11903970323,10778195901,470694944,536509875,523268711,408182298,408145294
11841927785,11903970323,13770033473,470694944,536509875,523268711,408182298,408145294
11903970323,11904390323,13769893329,458390166,536509875,523268711,408182298,408145294
