token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79530520108,79522453597,79843152829,80211927955,83777573050,9460,9460,9460
79531120108,79522453597,79843152829,80211927955,83777573050,9460,9460,9460
79532020108,79522453597,79843052547,80211927955,83777573050,9460,9460,9460
79522353597,79522653597,79842953035,80211927955,83777573050,9460,9460,9460
79522453597,79727853597,79843082010,80211927955,83777573050,9460,9460,9460
79522453597,79727853597,79842981729,80211927955,83777573050,9460,9460,9460
79522453597,79727853597,80062779125,80213427955,83777573050,9460,9460,9460
79522653597,79727953597,80062678291,80213427955,84107573050,9460,9460,9460
79727853597,79732753544,80062576709,80213427955,84107573050,9460,9460,9460
79727953597,79838052829,80062271968,80213427955,84107573050,9460,9460,9460
79732753544,79838152829,80062170387,80213427955,84102038936,9460,9460,9460
79838052829,79843152829,80157352299,80213427955,84102038936,9460,9460,9460
79838152829,79843152829,80157352299,80213427955,84102038936,9460,9460,9460
79843152829,79843152829,80157150114,80213427955,84102038936,9460,9460,9460
79843152829,79842953035,80157029774,80323427955,84079804988,9460,9460,9460
79843152829,79843082010,80157029774,80323427955,84079804988,9460,9460,9460
79843152829,79842981729,80157029774,80323427955,84079804988,9460,9460,9460
80062779125,80062576709,80211927955,80323927955,84079804988,9460,9460,9460
80062678291,80062576709,80211927955,80323927955,84079804988,9460,9460,9460
80062576709,80062170387,80211927955,80499927955,84079804988,9460,9460,9460
80062576709,80062367140,80211927955,80499927955,84079804988,9460,9460,9460
80062576709,80062367140,80213427955,80399588565,84079804988,9460,9460,9460
80062576709,80162367140,80213427955,80399588565,84079804988,9460,9460,9460
80062170387,80157352299,80213427955,80399588565,84079804988,9460,9460,9460
80157352299,80157029774,80213427955,80537477586,84079804988,9460,9460,9460
80157352299,80157029774,80213427955,80537477586,84079804988,9460,9460,9460
80157150114,80157029774,80213427955,80537477586,84079804988,9460,9460,9460
80157029774,80157029774,80213427955,80537477586,84079804988,9460,9460,9460
80157029774,80211927955,80213427955,80537477586,9460,9460,9460,9460
80157029774,80211927955,80213427955,80537477586,9460,9460,9460,9460
80157029774,80211927955,80213427955,80537477586,9460,9460,9460,9460
80211927955,80213427955,80323427955,80647477586,9460,9460,9460,9460
80213427955,80213427955,80399588565,80647375278,9460,9460,9460,9460
80323427955,80422927955,80647477586,80812375278,9460,9460,9460,9460
80499927955,80399477586,80647375278,81059875278,9460,9460,9460,9460
80399588565,80537477586,80647375278,81059875278,9460,9460,9460,9460
80399588565,80537477586,80647375278,81059875278,9460,9460,9460,9460
80399477586,80537477586,80647375278,81059875278,9460,9460,9460,9460
80537477586,80537477586,80647375278,84161222872,9460,9460,9460,9460
80537477586,80537477586,80735375278,84161222872,9460,9460,9460,9460
80537477586,80647477586,80735375278,84161222872,9460,9460,9460,9460
80647477586,80647375278,80812375278,84161222872,9460,9460,9460,9460
80647375278,80647375278,81059875278,84161222872,9460,9460,9460,9460
80735375278,80735375278,84161222872,81998954419,9460,9460,9460,9460
81059875278,81059875278,84161222872,82048954419,9460,9460,9460,9460
81059875278,84161222872,84161222872,82048954419,9460,9460,9460,9460
84161222872,84161222872,81998954419,82213954419,9460,9460,9460,9460
81998954419,81998954419,82048954419,82435204419,9460,9460,9460,9460
82048954419,82048954419,82312954419,82457204419,9460,9460,9460,9460
82213954419,82213954419,82435204419,82845573050,9460,9460,9460,9460
82312954419,82313004419,82457204419,83697573050,9460,9460,9460,9460
82435204419,82435204419,82457204419,83777573050,9460,9460,9460,9460
82435204419,82435204419,82845573050,83777573050,9460,9460,9460,9460
82457204419,82457204419,82845573050,84107573050,9460,9460,9460,9460
82845573050,82845573050,83777573050,84079804988,9460,9460,9460,9460
82845573050,82845573050,83777573050,84079804988,9460,9460,9460,9460
83777573050,83777573050,84102038936,84079804988,9460,9460,9460,9460
83777573050,83777573050,84102038936,84079804988,9460,9460,9460,9460
83777573050,83777573050,84102038936,9460,9460,9460,9460,9460
84107573050,84102038936,84079804988,9460,9460,9460,9460,9460
84102038936,84079804988,84079804988,9460,9460,9460,9460,9460
84079804988,84079804988,9460,9460,9460,9460,9460,9460
9460,9460,9460,9460,9460,9460,9460,9460
