token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
40488560000,40570360000,40323113650,40324002089,40768327327,40767822537,45330359291,51009551227
40499260000,40570360000,40323514882,40324502089,40768327327,40767822537,45330359291,51009551227
40549360000,40570360000,40323514882,40324502089,40768327327,40767822537,45330359291,51009551227
40570360000,40570360000,40323416246,40324502089,40768327327,40767822537,45330359291,51009551227
40570360000,40570460000,40323317508,40324412536,40768327327,40767822537,45330359291,51009551227
40570360000,40570460000,40323218872,40324293132,40768327327,40767822537,45330359291,51009551227
40570360000,40521375020,40323021336,40324293132,40768327327,40767822537,45330359291,51009551227
40570360000,40531375020,40322922702,40324293132,40768327327,40767822537,45330359291,51009551227
40570360000,40531375020,40322922702,40324293132,40768327327,40767822537,45330359291,51009551227
40531375020,40323013650,40324082945,40324094129,40768327327,40767822537,45330359291,49918980679
40332866388,40323113650,40324082945,40323835428,40768327327,40767822537,45330359291,49918980679
40332866388,40323113650,40323816926,40323835428,40768327327,40767822537,45330359291,49918980679
40323113650,40323113650,40323719545,40323835428,40768327327,40767822537,45330359291,49918980679
40323113650,40323514882,40323842089,40323835428,40768327327,40767822537,45330359291,49918980679
40323113650,40323317508,40323842089,40323835428,40768327327,41717822537,45330359291,49918980679
40323113650,40323218872,40323842089,40323835428,40768327327,41717822537,45330359291,49918980679
40323021336,40323822945,40324502089,40422835428,40768327327,41717822537,45330359291,49918980679
40322922702,40324082945,40324502089,40472335428,40768327327,41717611130,45330359291,49918980679
40322822945,40324082945,40324412536,40472335428,40768327327,41717611130,45330359291,49918980679
40322822945,40324082945,40324293132,40472335428,40768327327,41717611130,45330359291,49918980679
40323822945,40324082945,40324293132,40452531798,40768327327,41717611130,45330359291,49918980679
40324022945,40323816926,40324293132,40452531798,40768327327,41717611130,45330359291,49918980679
40324082945,40323719545,40324094129,40452531798,40768327327,41717611130,45330359291,49918980679
40324082945,40323842089,40324094129,40452531798,40768327327,41717611130,45330359291,49918980679
40323816926,40323842089,40324094129,40452531798,40768327327,41717611130,45330359291,49918980679
40323718235,40323842089,40324094129,40452531798,40768327327,41717611130,45330359291,49918980679
40323842089,40323842089,40323835428,40452431663,40768327327,41717611130,45330359291,49918980679
40323842089,40323942089,40323835428,40452431663,40768327327,41717611130,45330359291,49918980679
40323842089,40324002089,40323835428,40452431663,40768327327,41717611130,45330359291,49918980679
40323842089,40324502089,40323835428,40452431663,40768327327,41717611130,45330359291,49918980679
40324502089,40324293132,40422835428,40452431663,40768327327,41717611130,45330359291,49918980679
40324412536,40324094129,40422835428,40452431663,40768327327,41717611130,45330359291,49918980679
40324293132,40324094129,40422835428,40452431663,40768327327,41717611130,45330359291,49918980679
