token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
102860854707,151105721552,288844424456,361696331123,651985078766,111978252627,3539,3539
104081415702,151168279749,288362208359,378158418878,653816582356,111978252627,3539,3539
118540416150,159080833145,290271966420,378158418878,653816582356,111960753921,3539,3539
151105721552,173093354908,295534656003,378158418878,654753753990,111960753921,3539,3539
151168279749,184607304338,299015337950,378158418878,660108230183,111960753921,3539,3539
159080833145,200467907245,280029047668,394174031730,660108230183,111960753921,3539,3539
167185643738,226922119032,287136578382,416302516083,660108230183,111960753921,3539,3539
173093354908,248860363250,298377822686,434562053183,652949014623,111960753921,3539,3539
184607304338,234984224479,298656840147,434612053183,650465239576,111960753921,3539,3539
200467907245,239597714724,298656840147,434612053183,651753712601,111960753921,3539,3539
226922119032,249686323353,298656840147,438206863648,651753712601,111960753921,3539,3539
249855234892,247484054147,299646840147,447404069381,660299337292,111960753921,3539,3539
248860363250,254344253058,290216421067,450849737601,670728059806,111960753921,3539,3539
234984224479,269692991801,288872741630,450849737601,653971449411,111960753921,3539,3539
239597714724,276574142626,294464902819,450849737601,651917625766,111960753921,3539,3539
249686323353,276574142626,278559511356,451047737601,640290555404,111960753921,3539,3539
247484054147,278411950112,285750918609,458662549111,596133012540,111960753921,3539,3539
254344253058,288844424456,298991894553,452378223087,561373523780,111960753921,3539,3539
269692991801,288362208359,298991894553,454307953174,552039527546,111960753921,3539,3539
276574142626,290271966420,298991894553,457166324828,550179366959,111960753921,3539,3539
276574142626,282156661382,295134690135,457186124828,551038427927,111960753921,3539,3539
278411950112,291650518907,299145349226,454062346036,550444798983,111960753921,3539,3539
288844424456,295534656003,310786629243,466390460951,552758388263,111960753921,3539,3539
288362208359,299015337950,328688713231,458876298794,551353055794,111960753921,3539,3539
290271966420,280029047668,338455631192,454982297372,553713753351,111960753921,3539,3539
291650518907,274400800203,356127010569,463827505154,559162218484,111960753921,3539,3539
295534656003,298377822686,361696331123,462714229749,550105125742,111960753921,3539,3539
299015337950,298656840147,378158418878,466477488730,554086408963,111960753921,3539,3539
280029047668,298656840147,378158418878,461067976123,556227704083,111960753921,3539,3539
287136578382,298656840147,378158418878,450190357498,554543215926,111960753921,3539,3539
