open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 00:04:57,5000000000,2024-06-09 00:04:57,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,11500000000,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,10500000000,0,0,2,0.6190476190476191,1.0,1.0,0.6645284386549151
2024-06-09 00:04:57,5000000000,2024-06-09 00:04:58,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,19500000000,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,15300600000,0,0,8,0.4248199417016326,0.9998954289374273,0.9999999999999999,1.2324018383648339
2024-06-09 00:04:57,5000000000,2024-06-09 00:04:59,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,20300700000,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,16300800000,0,0,11,0.3987534354142128,0.996883588535532,0.999993865331763,1.387598697442305
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:00,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,21301100000,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,16302200000,-57863736,-57863736,16,0.39871919127479727,0.9967979781869932,0.9999447927273619,1.3884977836121324
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:01,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,20428387073,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,16302600000,-873812927,-873812927,19,0.39870940831523805,0.9967735207880952,0.999920258118337,1.3887742200415187
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:03,14033501698,19500000000,14033501698,14033501698,14033501698,14033501698,14033501698,14033501698,14033501698,14033501698,14033501698,5802600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,16302600000,-8186183375,-8186183375,19,0.39870940831523805,0.9967735207880952,0.999920258118337,1.3887742200415187
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:05,19511574298,21301100000,19511574298,19511574298,19511574298,19511574298,19511574298,19511574298,19511574298,19511574298,19511574298,1800000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,16302600000,-8186311077,-8186311077,19,0.39870940831523805,0.9967735207880952,0.999920258118337,1.3887742200415187
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:06,19511674298,20428387073,19511674298,19511674298,19511674298,19511674298,19511674298,19511674298,19511674298,19511674298,19511674298,700000,-8128447341,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,16302900000,-8186311077,-8186311077,22,0.39870207141060793,0.9967551785265197,0.9999018579516528,1.3889879163769652
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:07,19511974298,20428387073,11500000000,19511974298,19511974298,19511974298,19511974298,19511974298,19511974298,19511974298,19511974298,911000,-7312498150,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,16303511000,-8186311077,-8186311077,28,0.39868712941647966,0.9967178235411992,0.999864385039517,1.3894161075171687
2024-06-09 00:04:57,5000000000,2024-06-09 00:05:08,13595662497,14033501698,19500000000,13595662497,13595662497,13595662497,13595662497,13595662497,13595662497,13595662497,13595662497,1511000,-9374572256,5804111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,16304111000,-10248385183,-10248385183,32,0.3986724575170029,0.9966811437925074,0.9998275894956801,1.3898232324565503
