token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
20428387073,19511974298,7300,7300,7300,7300,7300,7300
14033501698,13595662497,7300,7300,7300,7300,7300,7300
14033501698,11544088391,7300,7300,7300,7300,7300,7300
19511574298,11544088391,7300,7300,7300,7300,7300,7300
19511674298,11544188391,7300,7300,7300,7300,7300,7300
13595662497,7300,7300,7300,7300,7300,7300,7300
11544088391,7300,7300,7300,7300,7300,7300,7300
11544188391,7300,7300,7300,7300,7300,7300,7300
7300,7300,7300,7300,7300,7300,7300,7300
7300,7300,7300,7300,7300,7300,7300,7300
7300,7300,7300,7300,7300,7300,7300,7300
7300,7300,7300,7300,7300,7300,7300,7300
7300,7300,7300,7300,7300,7300,7300,7300
