token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11409500000,11732600000,12509989279,12054888285,12812601164,227732,227732,227732
11459500000,11733200000,12509989279,12054666592,12812601164,227732,227732,227732
11500000000,11753181773,12510279279,12074466592,12803917095,227732,227732,227732
11732600000,11753981773,12510501728,12124096336,12803917095,227732,227732,227732
11733200000,11754481773,12510388624,12124096336,13363917095,227732,227732,227732
11753181773,11754481773,12510275528,12113862568,13363917095,227732,227732,227732
11753181773,11754481773,12510275528,12113862568,13363917095,227732,227732,227732
11753181773,11754781773,12453621152,12113862568,13363917095,227732,227732,227732
11753981773,11754781773,12453397010,12113862568,13363917095,227732,227732,227732
11754481773,11754781773,12453283939,12113862568,13363917095,227732,227732,227732
11754481773,11754781773,11944522941,12113862568,13363917095,227732,227732,227732
11754781773,12489582725,11944608721,12113862568,13363917095,227732,227732,227732
11754781773,12509989279,11944705623,12113862568,13363917095,227732,227732,227732
12489582725,12509989279,11944602521,12113862568,13363927095,227732,227732,227732
12509989279,12510459279,12054702521,12111749269,13459582703,227732,227732,227732
12509989279,12510388624,12055097517,12111749269,13351970696,227732,227732,227732
12510275528,11944522941,12074466592,12111749269,13351970696,227732,227732,227732
12510275528,11944918925,12074197833,12111749269,13351970696,227732,227732,227732
12453621152,11944608721,12124096336,12111749269,13351970696,227732,227732,227732
12453397010,11944608721,12124096336,12311646972,13351970696,227732,227732,227732
12453283939,11944705623,12124096336,12311646972,13351970696,227732,227732,227732
11944522941,11944602521,12113862568,12311646972,13351970696,227732,227732,227732
11944608721,11944602521,12113862568,12311541273,13351970696,227732,227732,227732
11944608721,11954702521,12113862568,12208806179,13351970696,227732,227732,227732
11944705623,11954702521,12113862568,12368806179,13446650326,227732,227732,227732
11944602521,12054702521,12113862568,12368806179,13449626700,227732,227732,227732
11944602521,12054702521,12113862568,12368806179,13449626700,227732,227732,227732
11944602521,12054702521,12113862568,12368806179,13449626700,227732,227732,227732
11954702521,12055097517,12113862568,12368806179,13608766019,227732,227732,227732
12054702521,12055097517,12113862568,12368806179,13608766019,227732,227732,227732
12055097517,12054888285,12113862568,12403057036,13608766019,227732,227732,227732
12055097517,12074466592,12111749269,12403057036,13608766019,227732,227732,227732
12054888285,12124096336,12111749269,12403067036,13608766019,227732,227732,227732
12124096336,12113862568,12111749269,12403067036,13608766019,227732,227732,227732
12124096336,12113862568,12111749269,12403067036,13608766019,227732,227732,227732
12113862568,12113862568,12111749269,12403067036,13608766019,227732,227732,227732
12113862568,12113862568,12111749269,12403067036,13608766019,227732,227732,227732
12113862568,12113862568,12111749269,12403067036,13608766019,227732,227732,227732
12113862568,12113862568,12311646972,12753107036,13608766019,227732,227732,227732
12111749269,12111749269,12403057036,12756591033,13856623013,227732,227732,227732
12208806179,12368806179,12503097036,13651621033,13856623013,227732,227732,227732
12368806179,12368806179,12753107036,13701621033,13856623013,227732,227732,227732
12368806179,12403057036,12753107036,14444121033,13856623013,227732,227732,227732
12368806179,12403057036,12753107036,14444121033,13856623013,227732,227732,227732
12403067036,12403067036,12756591033,14189500062,13856623013,227732,227732,227732
12403067036,12403067036,12756591033,13658148010,13856623013,227732,227732,227732
12403067036,12403067036,12756591033,13667148010,13856623013,227732,227732,227732
12753107036,12756591033,13651621033,13667148010,13630116594,227732,227732,227732
12753107036,12756591033,13651621033,13667148010,13858623013,227732,227732,227732
12756581033,12756591033,13651621033,13667148010,13858623013,227732,227732,227732
12756591033,12756591033,14189500062,13679148010,13858623013,227732,227732,227732
12756591033,12756591033,14189500062,13679148010,13858633013,227732,227732,227732
12956621033,13701621033,13667148010,13702874851,227732,227732,227732,227732
13701621033,14189500062,13667148010,13702874851,227732,227732,227732,227732
14189500062,14189500062,13672148010,13702874851,227732,227732,227732,227732
14189500062,13658148010,13679148010,13722874851,227732,227732,227732,227732
14189500062,13658148010,13679148010,13722874851,227732,227732,227732,227732
13667148010,13667148010,13778652500,13788038970,227732,227732,227732,227732
13667148010,13667148010,13692874851,13788038970,227732,227732,227732,227732
13679148010,13679148010,13702874851,13788048970,227732,227732,227732,227732
13679148010,13778652500,13722874851,13788048970,227732,227732,227732,227732
13692874851,13702874851,13788038970,13069341978,227732,227732,227732,227732
13702874851,13702874851,13788038970,13069341978,227732,227732,227732,227732
13702874851,13702874851,13788038970,13069341978,227732,227732,227732,227732
13788038970,13788038970,13788048970,12909541485,227732,227732,227732,227732
13788038970,13788038970,13788048970,12720341118,227732,227732,227732,227732
13788048970,13788048970,13069341978,12812601164,227732,227732,227732,227732
13069341978,13069341978,12720341118,13363917095,227732,227732,227732,227732
13069341978,13069341978,12720341118,13363917095,227732,227732,227732,227732
13069341978,13069341978,12720341118,13363927095,227732,227732,227732,227732
12909541485,12720341118,12803917095,13351970696,227732,227732,227732,227732
12909541485,12720341118,13363917095,13351970696,227732,227732,227732,227732
12909541485,12720341118,13363917095,13351970696,227732,227732,227732,227732
12720341118,12720341118,13363917095,13351970696,227732,227732,227732,227732
12720341118,12812601164,13363917095,13449626700,227732,227732,227732,227732
12812601164,12812601164,13459582703,13608766019,227732,227732,227732,227732
12812601164,12803917095,13351970696,13608766019,227732,227732,227732,227732
13363917095,13363917095,13351970696,13608766019,227732,227732,227732,227732
13363917095,13363917095,13351970696,13608766019,227732,227732,227732,227732
13351970696,13351970696,13608766019,13856623013,227732,227732,227732,227732
13351970696,13351970696,13608766019,13856623013,227732,227732,227732,227732
13351970696,13351970696,13608766019,13856623013,227732,227732,227732,227732
13608766019,13608766019,13608766019,13856623013,227732,227732,227732,227732
13608766019,13608766019,13608766019,13856623013,227732,227732,227732,227732
13608766019,13608766019,13856623013,13856623013,227732,227732,227732,227732
13856623013,13856623013,13856623013,13858623013,227732,227732,227732,227732
13858623013,13858623013,227732,227732,227732,227732,227732,227732
13858623013,13858633013,227732,227732,227732,227732,227732,227732
13858633013,13858633013,227732,227732,227732,227732,227732,227732
227732,227732,227732,227732,227732,227732,227732,227732
