token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
15006268316,15006718316,15109859332,269729,269729,269729,269729,269729
15006518316,15106368316,15109759823,269729,269729,269729,269729,269729
15006718316,15106568316,19069858944,269729,269729,269729,269729,269729
15006718316,15106568316,19070358944,269729,269729,269729,269729,269729
15006718316,15136368316,19070358944,269729,269729,269729,269729,269729
15106368316,15116568316,19070439905,269729,269729,269729,269729,269729
15106568316,15116568316,19070880293,269729,269729,269729,269729,269729
15116568316,15108609569,19067000752,269729,269729,269729,269729,269729
15116568316,15108709569,19066199999,269729,269729,269729,269729,269729
15138468316,15108959569,269729,269729,269729,269729,269729,269729
15138468316,15109059332,269729,269729,269729,269729,269729,269729
15108609569,15109159332,269729,269729,269729,269729,269729,269729
15108709569,15109559332,269729,269729,269729,269729,269729,269729
15109159332,15109759823,269729,269729,269729,269729,269729,269729
15109459332,19069858944,269729,269729,269729,269729,269729,269729
15109759332,19070358944,269729,269729,269729,269729,269729,269729
15109859332,19070439905,269729,269729,269729,269729,269729,269729
15109759823,19070439905,269729,269729,269729,269729,269729,269729
19069858944,19070880293,269729,269729,269729,269729,269729,269729
19070358944,19067867752,269729,269729,269729,269729,269729,269729
19070358944,19067917752,269729,269729,269729,269729,269729,269729
19070439905,19067319110,269729,269729,269729,269729,269729,269729
19070439905,19067000752,269729,269729,269729,269729,269729,269729
19070880293,19066199999,269729,269729,269729,269729,269729,269729
19067867752,19076099999,269729,269729,269729,269729,269729,269729
19067319110,269729,269729,269729,269729,269729,269729,269729
19066199999,269729,269729,269729,269729,269729,269729,269729
19076099999,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
269729,269729,269729,269729,269729,269729,269729,269729
