token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
865284850000,865283396320,865236029195,868333422472,885650999826,898745823688,960242213479,1043196076991
865282696320,865283396320,865236029195,868333422472,885650999826,898745823688,960242213479,1043196076991
865283196320,865283396320,865235929706,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865283396320,865236530217,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865235129195,865236530217,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865235229195,865236530217,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865235229195,865236530217,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865235229195,868336430014,868333422472,885650999826,898745823688,960242213479,1043196076991
865283396320,865235229195,868336229596,868333422472,885650999826,898745823688,960242213479,1044996076991
865235229195,865235229195,868335427928,868333422472,885650999826,901645823688,963642213479,1044996076991
865235229195,865235229195,868335427928,868333422472,885650999826,901645823688,963642213479,1044996076991
865236029195,865236530217,868335727523,870333222556,885650999826,901645823688,963642213479,1044996076991
865235929706,868336430014,868335927523,870333222556,885650999826,901645823688,963642213479,1044996076991
865236530217,868336229596,868335927523,870333222556,885650999826,901645823688,963642213479,1044996076991
868336430014,868335628334,868333422472,870333222556,885650999826,901645823688,963642213479,1044996076991
868336229596,868335528131,868333422472,870333222556,885650999826,901645823688,963642213479,1044996076991
868335628334,868335227523,868333422472,870332014329,885650999826,901645823688,963642213479,1044996076991
868335528131,868335227523,868333422472,870332014329,885650999826,901645823688,963642213479,1044996076991
868335227523,868335227523,868333422472,870332014329,885660999826,901645823688,963642213479,1046796076991
868335227523,868335227523,868333422472,870532014329,885660999826,901645823688,963642213479,1046796076991
868335227523,868335227523,868333422472,870532014329,887750999826,901645823688,963642213479,1046796076991
868335227523,868335227523,868333422472,870532014329,887750999826,901645823688,963642213479,1046796076991
868335227523,868335727523,868333422472,870532014329,887750999826,901645823688,963642213479,1046796076991
868333422472,868333422472,870333222556,870532014329,887750999826,901645823688,963642213479,1046796076991
