token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
25053700000,25134141771,25166210851,25177806836,278019,278019,278019,278019
25113241771,25164141771,25167110446,25177806836,278019,278019,278019,278019
25113841771,25164141771,25167010032,25177806836,278019,278019,278019,278019
25113941771,25164741771,25178659910,25177806836,278019,278019,278019,278019
25134141771,25164741771,25178659910,25177806836,278019,278019,278019,278019
25134141771,25164941771,25178259702,25180806836,278019,278019,278019,278019
25164141771,25164941362,25178250888,25180806836,278019,278019,278019,278019
25164141771,25164941362,25178350888,25180806836,278019,278019,278019,278019
25164741771,25164941362,25178250384,25180806836,278019,278019,278019,278019
25164741771,25164941362,25178049376,25180806836,278019,278019,278019,278019
25164941362,25165010362,25177848380,25180607795,278019,278019,278019,278019
25164941362,25165010362,25177647016,25180607795,278019,278019,278019,278019
25165010362,25165010362,25177387328,25180607795,278019,278019,278019,278019
25165010362,25165210362,25177186836,25180607795,278019,278019,278019,278019
25165010362,25166110446,25177686836,25180607795,278019,278019,278019,278019
25167110446,25178250888,25177686836,25111549283,278019,278019,278019,278019
25167010032,25178350888,25177806836,25111549283,278019,278019,278019,278019
25178659910,25178049376,25177806836,25111549283,278019,278019,278019,278019
25178259702,25177848380,25177806836,25111549283,278019,278019,278019,278019
25178250888,25177848380,25177806836,25111549283,278019,278019,278019,278019
25178350888,25177848380,25177806836,25111549283,278019,278019,278019,278019
25178250384,25177647016,25177806836,25111549283,278019,278019,278019,278019
25177848380,25177387328,25180806836,25111549283,278019,278019,278019,278019
25177848380,25177186836,25180806836,25111549283,278019,278019,278019,278019
25177848380,25177686836,25180806836,25111549283,278019,278019,278019,278019
25177647016,25177686836,25180806836,25111549283,278019,278019,278019,278019
25177546519,25177686836,25180806836,25111549283,278019,278019,278019,278019
25177387328,25177686836,25180806836,25342915916,278019,278019,278019,278019
25177686836,25177686836,25180607795,25442915916,278019,278019,278019,278019
25177686836,25177686836,25180607795,25442915916,278019,278019,278019,278019
25177686836,25177686836,25180607795,25591898980,278019,278019,278019,278019
25177686836,25177686836,25180607795,25591898980,278019,278019,278019,278019
25177686836,25177806836,25180607795,25591898980,278019,278019,278019,278019
25177806836,25180806836,25111549283,25839273234,278019,278019,278019,278019
25180806836,25180607795,25111549283,25839273234,278019,278019,278019,278019
25180607795,25180607795,25342915916,25879273234,278019,278019,278019,278019
25111549283,25111549283,25839398980,26108273234,278019,278019,278019,278019
25111549283,25111549283,25839273234,26118273234,278019,278019,278019,278019
25591898980,25839398980,25879273234,26228273234,278019,278019,278019,278019
25591898980,25839398980,25919273234,26228273234,278019,278019,278019,278019
25839398980,25839398980,25919273234,26815237247,278019,278019,278019,278019
25839398980,25839273234,26108273234,26535368767,278019,278019,278019,278019
25839273234,25839273234,26118273234,26535368767,278019,278019,278019,278019
25919273234,26009273234,26128273234,26735368767,278019,278019,278019,278019
25919273234,26009273234,26128273234,26735368767,278019,278019,278019,278019
26009273234,26108273234,26228273234,26745368767,278019,278019,278019,278019
26108273234,26118273234,26815237247,26758368767,278019,278019,278019,278019
26108273234,26118273234,26815237247,26758368767,278019,278019,278019,278019
26118273234,26128273234,26535368767,26825444475,278019,278019,278019,278019
26128273234,26228273234,26735368767,26897273990,278019,278019,278019,278019
26815237247,26535368767,26745368767,27074491293,278019,278019,278019,278019
26815237247,26535368767,26758368767,27124491293,278019,278019,278019,278019
26535368767,26535368767,26758368767,27124491293,278019,278019,278019,278019
26535368767,26735368767,26758368767,27124491293,278019,278019,278019,278019
26735368767,26745368767,26897273990,27187681293,278019,278019,278019,278019
26758368767,26758368767,27074491293,27317192720,278019,278019,278019,278019
26758368767,26825444475,27074491293,27317192720,278019,278019,278019,278019
26897273990,26897273990,27124491293,27695899720,278019,278019,278019,278019
26897273990,26874491293,27187681293,27695899720,278019,278019,278019,278019
27074491293,27124491293,27317192720,27815899720,278019,278019,278019,278019
27074491293,27124491293,27317192720,27816599720,278019,278019,278019,278019
27124491293,27124491293,27317192720,28016599720,278019,278019,278019,278019
27187681293,27317192720,27695899720,278019,278019,278019,278019,278019
27317192720,27317192720,27695899720,278019,278019,278019,278019,278019
27317192720,27317192720,27695899720,278019,278019,278019,278019,278019
27695899720,27695899720,28066599720,278019,278019,278019,278019,278019
27695899720,27695899720,30423939350,278019,278019,278019,278019,278019
27695899720,27695899720,30423939350,278019,278019,278019,278019,278019
28016599720,28066599720,278019,278019,278019,278019,278019,278019
28016599720,30423939350,278019,278019,278019,278019,278019,278019
28066599720,30423939350,278019,278019,278019,278019,278019,278019
30423939350,278019,278019,278019,278019,278019,278019,278019
30423939350,278019,278019,278019,278019,278019,278019,278019
278019,278019,278019,278019,278019,278019,278019,278019
