token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
7332609904,8681032645,8866487716,8837397267,9430567231,9275529252,9206157770,5185740443
7432759904,8681032645,8866487716,8837397267,9430567231,9139855767,9206157770,5185740443
8383032645,9332032645,8896987716,8837397267,9430567231,9139855767,9206157770,5185740443
8384032645,9332032645,8896987716,8837397267,9430567231,9139855767,9206157770,5185740443
8681032645,9332032645,9491487716,9057397267,9430567231,9639855767,9206157770,5185740443
8681032645,9332032645,7637873002,9057397267,9430567231,9639855767,9206157770,5185740443
8681032645,9532132645,8132873002,8048113497,9430567231,9639855767,9206157770,5185740443
9332032645,9631132645,8132873002,8048113497,9430567231,9639855767,9206157770,5185740443
9332032645,9631132645,8132873002,8048113497,9349088371,9639855767,9206157770,5185740443
9332032645,9631132645,8132873002,8048113497,9349088371,9639855767,9206157770,5185740443
9631132645,9631132645,9012790915,8310212039,9349088371,9639855767,9206157770,5185740443
9631132645,8864987716,9260860124,8310212039,9349088371,9160580187,9206157770,5185740443
9631132645,8864987716,9260860124,8310212039,9349088371,9280580187,9206157770,5185740443
8866487716,9491487716,8480691268,8425212039,9349088371,9289801556,9406157770,5185740443
8866487716,7637873002,8480691268,8425212039,9349088371,9289801556,9406157770,5185740443
8896987716,8132873002,8480691268,8425212039,9349088371,9289801556,9406157770,5185740443
8896987716,8132873002,8980691268,8425212039,9242203015,10289801556,9406157770,5185740443
9491487716,8132873002,8837397267,8425212039,9310455859,10289801556,9406157770,5185740443
8132873002,9278179116,8837397267,8425212039,9310455859,10289801556,9406157770,5185740443
8132873002,9062860124,9057397267,8425212039,9195713191,10147169048,9406157770,5185740443
9282361920,9062860124,9057397267,8425212039,8704776484,10147169048,9211879376,5185740443
9278179116,9260860124,8048113497,7968887511,8704776484,10147169048,9211879376,5185740443
9062860124,9281945963,8048113497,7080485674,8600993091,9850680829,9211879376,5185740443
9260860124,9050899674,8048113497,7080485674,8600993091,10219680829,9211879376,5185740443
9260860124,8378669826,8310212039,7080485674,8600993091,9975926515,9211879376,5185740443
9260860124,7985691268,8310212039,7080485674,8600993091,9975926515,9211879376,5185740443
9046079831,8480691268,8310212039,7129985674,8600993091,10075926515,9211879376,5185740443
9050899674,8480691268,8310212039,7329985674,8600993091,9975810929,9095161395,5185740443
8480691268,8837397267,8310212039,8858239330,8600993091,10475810929,9095161395,5185740443
8480691268,8837397267,8310212039,8858239330,8600993091,10475810929,9095161395,5185740443
8480691268,8837397267,8410212039,8858239330,8600993091,10475810929,9095161395,5185740443
8980691268,8837397267,8410212039,8858239330,8600993091,10475810929,9095161395,5185740443
8980691268,8837397267,8415212039,7404391753,8600993091,10114615718,9095161395,5185740443
8837397267,9057397267,8425212039,7404391753,8600993091,10114615718,9095161395,5185740443
8837397267,8048113497,8425212039,7365476718,8600993091,9232192378,9095161395,5185740443
9057397267,8048113497,8425212039,7365476718,8600993091,9522192378,9095161395,5185740443
8048113497,8310212039,8425212039,7208031406,8610993091,9522192378,9095161395,5185740443
8048113497,8310212039,7968887511,7208031406,8610993091,9522192378,9095161395,5185740443
