open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:48,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,173955317958718,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,0,-40027483950597,-40027483950597,0,0.0,0.0,0.0,0.0
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:49,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,161928193394949,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,0,-44971806605051,-44971806605051,0,0.0,0.0,0.0,0.0
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:50,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,157268769426661,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,29127561235379,-66398272239873,-66398272239873,7,0.4951751211537477,0.9239030134980623,1.0,1.4989509625700996
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:51,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,169611755843292,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,29127561235379,-66415805392087,-66415805392087,7,0.4951751211537477,0.9239030134980623,1.0,1.4989509625700996
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:53,169227407434283,173955317958718,169227407434283,169227407434283,169227407434283,169227407434283,169227407434283,169227407434283,169227407434283,169227407434283,169227407434283,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,33979774439214,-72239017987255,-72239017987255,8,0.42446555051280765,0.8926197372517226,1.0,1.694913832894551
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:54,168467649946463,161928193394949,168467649946463,168467649946463,168467649946463,168467649946463,168467649946463,168467649946463,168467649946463,168467649946463,168467649946463,45347742510625,-40433679725171,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,45347742510625,-80461163675768,-80461163675768,10,0.3180586919020859,0.7948914075532708,1.0000000000000002,1.9929454802093198
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:55,172068154602734,157268769426661,172068154602734,172068154602734,172068154602734,172068154602734,172068154602734,172068154602734,172068154602734,172068154602734,172068154602734,45629318278502,-40821285319081,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,45629318278502,-85793091924132,-85793091924132,11,0.31609597091958813,0.7899861806749175,0.9938290603826605,2.0181961434516023
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:56,161854323076644,169611755843292,161854323076644,161854323076644,161854323076644,161854323076644,161854323076644,161854323076644,161854323076644,161854323076644,161854323076644,16501757043123,-27635831254161,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,45629318278502,-94034103494034,-94034103494034,11,0.31609597091958813,0.7899861806749175,0.9938290603826605,2.0181961434516023
2024-06-09 17:32:48,206900000000000,2024-06-09 17:32:57,163735322580772,169611755843292,163735322580772,163735322580772,163735322580772,163735322580772,163735322580772,163735322580772,163735322580772,163735322580772,163735322580772,26288088791851,-36796087398394,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,55415650027230,-103211892790481,-103211892790481,13,0.2602738334126685,0.667656979911175,0.9549207597346149,2.2499464899143637
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:01,159088346801035,161854323076644,169611755843292,159088346801035,159088346801035,159088346801035,159088346801035,159088346801035,159088346801035,159088346801035,159088346801035,12811755539230,-18074689071458,29313512582353,-37469508755717,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,58441073817732,-103867780995590,-103867780995590,14,0.2467997714865011,0.6330931846390713,0.9327470797756889,2.3371602500924977
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:02,161457420877509,163735322580772,169611755843292,161457420877509,161457420877509,161457420877509,161457420877509,161457420877509,161457420877509,161457420877509,161457420877509,12811755539230,-9849549446189,29313512582353,-37467847548136,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,58441073817732,-103883652940223,-103883652940223,14,0.2467997714865011,0.6330931846390713,0.9327470797756889,2.3371602500924977
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:03,167168050840587,163735322580772,169227407434283,167168050840587,167168050840587,167168050840587,167168050840587,167168050840587,167168050840587,167168050840587,167168050840587,20258683131561,-12131007870465,46546771923412,-48927095268859,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,75674333158791,-115342900660946,-115342900660946,18,0.19059624395205482,0.5505717354768647,0.8288175292148693,2.5886998956853478
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:04,167214415790242,163735322580772,168467649946463,167214415790242,167214415790242,167214415790242,167214415790242,167214415790242,167214415790242,167214415790242,167214415790242,25805311787166,-12148024578068,47241187375182,-43120899381294,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,81220961814396,-115359917368549,-115359917368549,20,0.17758031106060546,0.5129728583305848,0.787292124518084,2.686310250664209
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:05,172760862835744,163735322580772,172068154602734,172760862835744,172760862835744,172760862835744,172760862835744,172760862835744,172760862835744,172760862835744,172760862835744,25805311787166,-12148206188171,35873219303771,-34898935302884,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,81220961814396,-115360098978652,-115360098978652,20,0.17758031106060546,0.5129728583305848,0.787292124518084,2.686310250664209
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:07,172671012683120,161457420877509,163735322580772,172671012683120,172671012683120,172671012683120,172671012683120,172671012683120,172671012683120,172671012683120,172671012683120,22857865348005,-11618477399554,35669620887235,-21452154901110,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,81298939165737,-115486258395144,-115486258395144,21,0.17740998605453634,0.5124808437334337,0.7865369983721401,2.6913579159866803
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:08,172789024279469,167168050840587,163735322580772,172789024279469,172789024279469,172789024279469,172789024279469,172789024279469,172789024279469,172789024279469,172789024279469,29132216915550,-18606190993738,32157640706052,-19277951143480,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,87573290733282,-122489843933961,-122489843933961,24,0.16469911708091706,0.48264393804843786,0.7508062716329976,2.785438852002539
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:09,170202641829822,167214415790242,163735322580772,170202641829822,170202641829822,170202641829822,170202641829822,170202641829822,170202641829822,170202641829822,170202641829822,40075146159449,-33104279287283,60333829291010,-45235287157748,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,115749479318240,-148447179948229,-148447179948229,30,0.19505974881165716,0.5149455083775171,0.7260563730656691,2.859512213409949
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:10,176479384913878,172760862835744,163735322580772,176479384913878,176479384913878,176479384913878,176479384913878,176479384913878,176479384913878,176479384913878,176479384913878,39907336732156,-33087262579680,65712648519322,-45235287157748,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,121128298546552,-148447179948229,-148447179948229,33,0.18639793204243518,0.4920788551244839,0.6938151377214509,2.957050815192962
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:11,179764749150042,172760862835744,159088346801035,179764749150042,179764749150042,179764749150042,179764749150042,179764749150042,179764749150042,179764749150042,179764749150042,40090967283875,-33087080969577,65896279071041,-45235287157748,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,121311929098271,-148447179948229,-148447179948229,34,0.1861157804407365,0.4913339925843576,0.6927649058318271,2.9639160553578368
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:12,179372759705931,172671012683120,161457420877509,179372759705931,179372759705931,179372759705931,179372759705931,179372759705931,179372759705931,179372759705931,179372759705931,40090967283875,-33479070413688,62870855280539,-44971388396750,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,121311929098271,-148839169392340,-148839169392340,34,0.1861157804407365,0.4913339925843576,0.6927649058318271,2.9639160553578368
2024-06-09 17:32:48,206900000000000,2024-06-09 17:33:13,177438189181006,172789024279469,167168050840587,177438189181006,177438189181006,177438189181006,177438189181006,177438189181006,177438189181006,177438189181006,177438189181006,46489276474635,-41444883681470,69347141822640,-53047489136391,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,127788215640372,-156931142076614,-156931142076614,37,0.17668346214674693,0.46643326360942755,0.6612571704781417,3.0345465851536035
