token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
169227407434283,163735322580772,165518653039864,192065271289524,496299825923197,558818888499879,869502678987510,889596402994357
168467649946463,163735322580772,156419635545103,191370085448629,497566167690403,558818888499879,869502678987510,889596402994357
172068154602734,163735322580772,156087221048666,189178938301798,497566167690403,558818888499879,869502678987510,889596402994357
161854323076644,159088346801035,159452670724893,188852301557666,496164485023741,558818888499879,869502678987510,889596402994357
163735322580772,167168050840587,160097937608607,183465892519124,496164485023741,618130515540118,869502678987510,889596402994357
163735322580772,167214415790242,162423465281790,178461941591303,496164485023741,618130515540118,869502678987510,889596402994357
163735322580772,172760862835744,164822919850300,176965926379914,499123537398869,618130515540118,869502678987510,889596402994357
159088346801035,172760862835744,159556013825875,176965926379914,503325669361711,618130515540118,869502678987510,889596402994357
161457420877509,172671012683120,164365661407491,172353084671558,517196270432280,618130515540118,869502678987510,889596402994357
172760862835744,179764749150042,167579152605025,163597952974317,514751958366816,618130515540118,869502678987510,889596402994357
172671012683120,179372759705931,167896271274576,165979931461590,514751958366816,627009557089616,869502678987510,889596402994357
172789024279469,177438189181006,167556810820870,165979931461590,518229027383235,627009557089616,869502678987510,889596402994357
170202641829822,177932220470595,161373899139989,164734913796120,518248377745612,627009557089616,869502678987510,889596402994357
176479384913878,165487361840793,184720773164081,154485203162081,518248377745612,627009557089616,869502678987510,889596402994357
179372759705931,166355132632777,184672466930452,165261745284102,505413429186128,627009557089616,869502678987510,889596402994357
177438189181006,165518653039864,175044071157387,127598614309535,472185374647172,627009557089616,869502678987510,889596402994357
177932220470595,156419635545103,175044071157387,144897032696129,474966218576720,627009557089616,869502678987510,889596402994357
165487361840793,156087221048666,172128797017391,144897032696129,476889174396599,627009557089616,869502678987510,889596402994357
165487361840793,159452670724893,172458381903862,144584392800154,476889174396599,627009557089616,869502678987510,889596402994357
166355132632777,160494787724120,177059539183172,143081732114579,476889174396599,627009557089616,869502678987510,889596402994357
165518653039864,160097937608607,174312013476966,142938677595411,476889174396599,627009557089616,869502678987510,889596402994357
156419635545103,162423465281790,176201933186049,134662738321387,483881945124263,627009557089616,869502678987510,889596402994357
156087221048666,164822919850300,176201933186049,138081404853589,489299589433845,627009557089616,869502678987510,889596402994357
160494787724120,164365661407491,181199868486390,141771949408676,485407384827744,627009557089616,869502678987510,889596402994357
160097937608607,159829228962701,192065271289524,136665732950382,500811571743610,627417418590633,869502678987510,889596402994357
162423465281790,160725438833453,191370085448629,135219190705950,500811571743610,631775213909577,869502678987510,889596402994357
164822919850300,167917120157809,189178938301798,135538374936075,501654736743610,631775213909577,869502678987510,889596402994357
159556013825875,167579152605025,188852301557666,134987182123765,501654736743610,631775213909577,869502678987510,889596402994357
164365661407491,167896271274576,188852301557666,135119559980918,501654736743610,665887582954075,869502678987510,889596402994357
159829228962701,167556810820870,183465892519124,134241132869835,501654736743610,693343652870236,869502678987510,889596402994357
160725438833453,161373899139989,178461941591303,134241132869835,501921373047857,693343652870236,869502678987510,889596402994357
167917120157809,184720773164081,176965926379914,133700439328014,501036090995326,694022091769625,869502678987510,889596402994357
167579152605025,184431715361413,176965926379914,131690203599805,501587283807636,694022091769625,869502678987510,889596402994357
167896271274576,184672466930452,172353084671558,131690203599805,498177264343381,695122818020101,869502678987510,889596402994357
167556810820870,175044071157387,164139188200077,130653718025844,494229088216390,708781288118235,869502678987510,889596402994357
161373899139989,175044071157387,167067819380145,129099577376999,494557847669532,708781288118235,869502678987510,889596402994357
184720773164081,172128797017391,167067819380145,134068775744193,494557847669532,708781288118235,869502678987510,889596402994357
184431715361413,172458381903862,163597952974317,132753485573198,494557847669532,708781288118235,869502678987510,889596402994357
184672466930452,177059539183172,165979931461590,137493108096267,494557847669532,708781288118235,869502678987510,889596402994357
175044071157387,174312013476966,165979931461590,152731638509198,493147898232347,708781288118235,869502678987510,889596402994357
175044071157387,176201933186049,164734913796120,153533760659630,493147898232347,708781288118235,869502678987510,889596402994357
172128797017391,176201933186049,154485203162081,150748214566687,508820939343282,708781288118235,869502678987510,889596402994357
172458381903862,180347049293910,152946815504107,151012518669003,508820939343282,708781288118235,869502678987510,889596402994357
177059539183172,181199868486390,165261745284102,143002145273094,508820939343282,708781288118235,869502678987510,889596402994357
174312013476966,192065271289524,127598614309535,145841736954216,508820939343282,708781288118235,869502678987510,889596402994357
176201933186049,189178938301798,144897032696129,141289609031153,508820939343282,708781288118235,869502678987510,889596402994357
180347049293910,188852301557666,144584392800154,141820326492748,508820939343282,708781288118235,869502678987510,889596402994357
181199868486390,188852301557666,143081732114579,139185055006390,508820939343282,708781288118235,869502678987510,889596402994357
192065271289524,183465892519124,142938677595411,132326573780588,507077587081563,708781288118235,869502678987510,890048760977820
191370085448629,178461941591303,134662738321387,131899984684877,510554656097982,708781288118235,869502678987510,890048760977820
188852301557666,176965926379914,137395296980749,131503922878315,511590271983741,708781288118235,869502678987510,890048760977820
188852301557666,172353084671558,141771949408676,131144637312009,510193392558424,708781288118235,869502678987510,890048760977820
183465892519124,164139188200077,136665732950382,128511116638249,510193392558424,708781288118235,869502678987510,890048760977820
178461941591303,167067819380145,135219190705950,128511116638249,510193392558424,708781288118235,869502678987510,890048760977820
176965926379914,167067819380145,135538374936075,129186854990475,510193392558424,708781288118235,869502678987510,890048760977820
176965926379914,163597952974317,134987182123765,134003939703756,533261670967732,709922038332121,869502678987510,890048760977820
164139188200077,165979931461590,134241132869835,197659189836052,533261670967732,709922038332121,869502678987510,890048760977820
167067819380145,164734913796120,134241132869835,177216649582003,534334990988324,709922038332121,869502678987510,890048760977820
167067819380145,154485203162081,133700439328014,170743813801806,534390413144062,759509538141794,869502678987510,890048760977820
165979931461590,165261745284102,131690203599805,162928631869296,534617773415776,783886991156389,869502678987510,890048760977820
165979931461590,127598614309535,130653718025844,150143224119643,535795095560127,783886991156389,869502678987510,890048760977820
164734913796120,144897032696129,129099577376999,149279115763735,535795095560127,783886991156389,869502678987510,890048760977820
152946815504107,144584392800154,132753485573198,159161293672837,557767793560127,784489189170286,869502678987510,890048760977820
165261745284102,143081732114579,137493108096267,157147244289768,557767793560127,784489189170286,869502678987510,890048760977820
144897032696129,134662738321387,153533760659630,157589549103277,605496525856771,784489189170286,869502678987510,890048760977820
144897032696129,138081404853589,150748214566687,157589549103277,605826482336801,784489189170286,869502678987510,890048760977820
144584392800154,137395296980749,151012518669003,174054739488680,605826482336801,784489189170286,869502678987510,890048760977820
143081732114579,141771949408676,143002145273094,164181760765308,605826482336801,784489189170286,869502678987510,890048760977820
142938677595411,136665732950382,145841736954216,167575205736905,605826482336801,784489189170286,869502678987510,890048760977820
134662738321387,135219190705950,143332576881927,164970027339234,604386999469383,784489189170286,869502678987510,890048760977820
137395296980749,134987182123765,141820326492748,168118566178978,628068178618441,784489189170286,869502678987510,890048760977820
141771949408676,135119559980918,139185055006390,181194773595622,628678337727607,784489189170286,869502678987510,890048760977820
136665732950382,134241132869835,132326573780588,180817283180476,628990883903453,784489189170286,869502678987510,890048760977820
135219190705950,134241132869835,131899984684877,180640838975082,628044826602992,784134897596661,869502678987510,890048760977820
135538374936075,133700439328014,131281556837921,194647108943025,628044826602992,794367158612878,869502678987510,890048760977820
134987182123765,131690203599805,131503922878315,184676724504915,628044826602992,793278387077237,869502678987510,890048760977820
135119559980918,131690203599805,131144637312009,180049774539751,629912280067083,793278387077237,869502678987510,890048760977820
134241132869835,130653718025844,128511116638249,176421403698621,634571798473680,793097215877401,869502678987510,890048760977820
134241132869835,129099577376999,128511116638249,184294151873788,634571798473680,793097215877401,869502678987510,890048760977820
133700439328014,134068775744193,129186854990475,182487959301410,629953035893075,793097215877401,869502678987510,890048760977820
131690203599805,132753485573198,134003939703756,177646589835231,633284771985042,793097215877401,869502678987510,890048760977820
131690203599805,137493108096267,197659189836052,180779341895619,633284771985042,793097215877401,869502678987510,890048760977820
130653718025844,152731638509198,197659189836052,190979132043976,635090963985042,793097215877401,869502678987510,890048760977820
134068775744193,150748214566687,170743813801806,211452112165459,641988100765174,793097215877401,876732591244906,890048760977820
132753485573198,151012518669003,167850513238414,210554393508910,641988100765174,794055644877401,876732591244906,890048760977820
152731638509198,145841736954216,150143224119643,217283643938159,674638259850910,804470014843560,876732591244906,890048760977820
153533760659630,143332576881927,149279115763735,229080645230157,674638259850910,804470014843560,876732591244906,890048760977820
150748214566687,141289609031153,148549863978663,189641590284774,678895358971878,804470014843560,876732591244906,890048760977820
151012518669003,141820326492748,159161293672837,226599524619570,678895358971878,804470014843560,876732591244906,890048760977820
143002145273094,139185055006390,157147244289768,226599524619570,679589419571949,804470014843560,876732591244906,890048760977820
145841736954216,132326573780588,157147244289768,215771835993056,667883599487442,804470014843560,876732591244906,890048760977820
143332576881927,131899984684877,157589549103277,238702622155247,667883599487442,804470014843560,876732591244906,890048760977820
141289609031153,131281556837921,157589549103277,248819239904314,667883599487442,804470014843560,876732591244906,890048760977820
141820326492748,131503922878315,174054739488680,248904291483101,664608404276864,804470014843560,876732591244906,890048760977820
139185055006390,131144637312009,164181760765308,249341786293870,679459022131696,804470014843560,876732591244906,890048760977820
132326573780588,128511116638249,167575205736905,244203751240911,679459022131696,804470014843560,876732591244906,890048760977820
131899984684877,128511116638249,164970027339234,244478957316972,679620453948366,804798774296703,876732591244906,890048760977820
131281556837921,129186854990475,166158561340459,238890052606831,656952264948299,804798774296703,876732591244906,890048760977820
131503922878315,134003939703756,168118566178978,240650948963057,657845323948299,804798774296703,876732591244906,890048760977820
131144637312009,197659189836052,181194773595622,221947987239989,682494441100935,804798774296703,876732591244906,890048760977820
128511116638249,197659189836052,180817283180476,233020376866361,682494441100935,803368978610655,876732591244906,890048760977820
128511116638249,177216649582003,180640838975082,233020376866361,682491751622769,806388896497919,876732591244906,890048760977820
129186854990475,170743813801806,194647108943025,251431942260349,682491751622769,806829437049822,876732591244906,890048760977820
134003939703756,167850513238414,184676724504915,246314938198776,682491751622769,806829437049822,876732591244906,890048760977820
197659189836052,162928631869296,180049774539751,245587094402479,682491751622769,806829437049822,876732591244906,890048760977820
197659189836052,150143224119643,176421403698621,235321840646254,668193437721790,806829437049822,876732591244906,890048760977820
170743813801806,148549863978663,182487959301410,255640544873980,668193437721790,806080346226453,876732591244906,890048760977820
167850513238414,159161293672837,177646589835231,253527884462354,668193437721790,806080346226453,876732591244906,890048760977820
162928631869296,157147244289768,180779341895619,287005871001343,694300596302508,806764829943592,876732591244906,890048760977820
149279115763735,157589549103277,187419073957576,278086824012246,698943109135918,806764829943592,876732591244906,890048760977820
148549863978663,157589549103277,211452112165459,304381666005742,701053520123401,806764829943592,876732591244906,890048760977820
159161293672837,174054739488680,210554393508910,304723528655601,701053520123401,806764829943592,876732591244906,890048760977820
157147244289768,164181760765308,203451773340778,310279830139272,701053520123401,806764829943592,876732591244906,890048760977820
157147244289768,167575205736905,217283643938159,299493476394121,701053520123401,806764829943592,876732591244906,890048760977820
157589549103277,164970027339234,229080645230157,309431954704819,701053520123401,806764829943592,876732591244906,890048760977820
157589549103277,166158561340459,189641590284774,310741134044667,701053520123401,806764829943592,876732591244906,890048760977820
174054739488680,168118566178978,226599524619570,318735223241412,701053520123401,806764829943592,876732591244906,890048760977820
164181760765308,181194773595622,226599524619570,325610843614954,706565829200152,806764829943592,876732591244906,890048760977820
164970027339234,180640838975082,238702622155247,328255970777479,705995653822056,806764829943592,876732591244906,890048760977820
168118566178978,184676724504915,248904291483101,344018957967379,705995653822056,806764829943592,876732591244906,890048760977820
181194773595622,180049774539751,249341786293870,335536902445348,705995653822056,806764829943592,876732591244906,890048760977820
180817283180476,176421403698621,244203751240911,341174199955438,705995653822056,806764829943592,876732591244906,890048760977820
180640838975082,184294151873788,244478957316972,341174199955438,715473952304389,806764829943592,876732591244906,890048760977820
194647108943025,182487959301410,238890052606831,332474433447358,724516324592832,806764829943592,876732591244906,890048760977820
184676724504915,177646589835231,240650948963057,320925368525031,725419193944139,806764829943592,876732591244906,890048760977820
180049774539751,180779341895619,221947987239989,326996713179485,725419193944139,806764829943592,876732591244906,890048760977820
176421403698621,190979132043976,233020376866361,327348930134683,725419193944139,806764829943592,876732591244906,890048760977820
184294151873788,187419073957576,233020376866361,327831114695313,721792256246131,806764829943592,876732591244906,890048760977820
182487959301410,211452112165459,251431942260349,328199875778998,721792256246131,806764829943592,876732591244906,890048760977820
177646589835231,210554393508910,246314938198776,329212452257659,725142035468597,806764829943592,876732591244906,890048760977820
180779341895619,203451773340778,245587094402479,320752702516547,728743553907070,807680917931310,876732591244906,890048760977820
190979132043976,217283643938159,235321840646254,322117134421239,728743553907070,807680917931310,876732591244906,890048760977820
187419073957576,229080645230157,255351316240777,322121689334553,728743553907070,807680917931310,876732591244906,890048760977820
211452112165459,189641590284774,255640544873980,327683224298178,688660194943300,807680917931310,876732591244906,890048760977820
210554393508910,226599524619570,253527884462354,322198578106104,716778118194415,807305410154283,876732591244906,890048760977820
203451773340778,226599524619570,287005871001343,319077852385384,710955890710449,807305410154283,876732591244906,890048760977820
217283643938159,215771835993056,267403703650804,331393683934084,710955890710449,807305410154283,876732591244906,890048760977820
229080645230157,238702622155247,278086824012246,328009699234664,710955890710449,807305410154283,876732591244906,890048760977820
189641590284774,248819239904314,304381666005742,297713761273211,710955890710449,807305410154283,876732591244906,890048760977820
226599524619570,248904291483101,304723528655601,296740937167652,710955890710449,807305410154283,876732591244906,890048760977820
226599524619570,249341786293870,310279830139272,292669554184194,710955890710449,807305410154283,876732591244906,890048760977820
215771835993056,244203751240911,299493476394121,291918601452831,712987819657554,807305410154283,876732591244906,890048760977820
238702622155247,244478957316972,309431954704819,293853171977756,712987819657554,807305410154283,876732591244906,890048760977820
248819239904314,238890052606831,310741134044667,256425669688174,713104480400242,807305410154283,876732591244906,890048760977820
248904291483101,240650948963057,318735223241412,272290865790713,713104480400242,809856484390033,876732591244906,890048760977820
