token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
198989960112206,200190862355480,197585547953936,208317528334443,192286235548395,221063988328607,215782046086928,155371896728627
198328622788389,200190862355480,197585310283396,208317528334443,192065047251710,235723583969299,215782046086928,155371896728627
198304657162461,200190862355480,196874864676932,208317528334443,193336887704166,235723583969299,215782046086928,156424979452683
195309730934012,198256369088227,196874864676932,212821073407239,193336887704166,235723583969299,215782046086928,156424979452683
198054434334400,193352017851868,204950802004402,212821073407239,198266554572599,235494935610205,215782046086928,156463989452683
200190862355480,193352017851868,204950802004402,212821073407239,198147730730473,237720821255008,215782046086928,156463989452683
200190862355480,192670710201087,204950802004402,212821073407239,198147730730473,237720821255008,215782046086928,156463989452683
200190862355480,176154406031742,204950802004402,212821073407239,198112111399305,237720821255008,215782046086928,156463989452683
198256369088227,176154406031742,203670184216519,212821073407239,198112111399305,237800451832086,215782046086928,153860537379667
193352017851868,190629468046125,196366835791551,212821073407239,198112111399305,237800451832086,209310903577096,153860537379667
193352017851868,189524194581322,195747197542052,216549454149448,198112111399305,237800451832086,208737905973600,153860537379667
176154406031742,190877161571575,194429966443807,216549454149448,197484943034513,238037587061264,208737905973600,153860537379667
190629468046125,190877159354178,210456788373663,216549454149448,198717519602958,238280325570664,208737905973600,156419278170089
188393635231568,201118441446422,210623415303684,221331039236065,197530319512100,237799929639782,208737905973600,156419278170089
189699770361041,201118441446422,210934171080766,220303536937416,197459539500249,237799929639782,209564410762304,156419278170089
190877159354178,199799548928647,210934171080766,220303536937416,197223972245040,242563233105180,209564410762304,156419278170089
201118441446422,197585547953936,210934171080766,222238030204669,196677276605109,242563233105180,209564410762304,158023666284605
201118441446422,197585310283396,210500655004372,228331714961615,196677276605109,244320313311514,209564410762304,157758547296131
201118441446422,196874864676932,209962859540802,228331714961615,196978933881440,244320313311514,209564410762304,157758547296131
199799548928647,196874864676932,209433146302733,231819589329510,196978933881440,244405248274979,214618007832306,157758547296131
