token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
20003600000,20003900000,20641227286,22290991949,103222145622,240944857330,518065994238,573455346553
20003900000,20003900000,20790215154,21750922321,103222145622,240944857330,520476030117,572553821076
20003900000,20003900000,20790215154,21750922321,103222145622,240944857330,520476030117,572553821076
20003900000,20004400000,20990215154,26413649478,103222145622,240944857330,520476030117,573511155731
20003900000,20004400000,20990215154,26413649478,103222145622,240944857330,520476030117,573511155731
20004400000,20249546142,20990215154,26613649478,106009594067,249624175433,521210322636,574981512537
20249546142,20790215154,21790991949,27488545654,109885628585,251411008654,519238731138,575535869623
20990215154,20990215154,22290991949,27411289754,121986257608,252352709878,522771226194,577261904353
20990215154,20990215154,21750922321,27661668479,121986257608,251980408689,522771226194,577261904353
20990215154,20990215154,22413649478,28092596985,124188491354,251980408689,522771226194,577094237077
21790991949,22090991949,26613649478,28497130471,137050699409,250432853305,531942776228,574639235049
22090991949,22290991949,27488545654,28747030471,137050699409,253375189544,536301702709,574639235049
22090991949,21750922321,27488545654,28747030471,137050699409,253375189544,529448319372,574639235049
22290991949,22413649478,27488545654,28747030471,137050699409,253375189544,529448319372,574639235049
21750922321,26613649478,26645210791,29081362296,145434839014,256856480696,529448319372,579838235049
26413649478,26613649478,27661668479,28619456950,141803441471,248320513620,536298727207,579838235049
26613649478,26613649478,28092596985,29077565174,144495456441,244263525336,534323932038,579838235049
26613649478,26613649478,28092596985,28802754066,144495456441,244263525336,537699757287,579838235049
26613649478,26613649478,28092596985,29213948178,154541044536,245546173283,537699757287,573730792345
27488545654,27045210791,28497130471,29572377223,156199460694,234608021127,534118123939,576984768482
27488545654,27661668479,28747030471,29944473701,157787357106,234608021127,534867443512,570847680341
27661668479,28092596985,28747030471,30125820374,159769263843,232796008991,534867443512,568860097409
28092596985,28292596985,29081362296,30297089641,163967263843,229396351202,538464943512,574663267569
28092596985,28292596985,29081362296,30297089641,163967263843,229396351202,538464943512,574663267569
28092596985,28455641414,28619456950,30297089641,163967263843,229396351202,538464943512,574663267569
28092596985,28097830471,28619456950,30031117497,164387229454,230946351202,538464943512,583225523563
28292596985,28097830471,29077565174,30031117497,162360023223,230946351202,538464943512,583225523563
28097830471,28497130471,29213948178,28929720050,170931720081,230647141927,546842690137,575186852426
28297330471,28747030471,29213948178,30748768299,173881720081,230647141927,547954368077,568621734301
28497130471,28747030471,29572377223,30095763449,173881720081,230647141927,547954368077,568621734301
28497130471,28747030471,29572377223,30095763449,172196381222,230647141927,547954368077,566756961829
28747030471,28747030471,29572377223,30095763449,177194382980,230647141927,547954368077,564015008629
28747030471,28619456950,29944473701,30095763449,179964640759,228329169076,548369873451,561366550148
28619456950,29213948178,30297089641,34354348870,190407140759,234093196370,553903593661,571146938797
28802754066,29213948178,30297089641,36854148870,193006640759,228957450349,551589906159,568869162296
29213948178,29572377223,30031117497,36854148870,189592787105,225585975539,554621885515,567969730887
29213948178,29572377223,30031117497,41104048870,189592787105,227809966251,554621885515,573369530887
29572377223,29572377223,29244754259,42504048870,194430513236,230685975539,548849166848,575324012243
29572377223,30344373701,30095763449,42199870067,199785700975,232459966251,551843914122,577131452116
30125820374,30297089641,30095763449,51818654694,205863694642,239611990090,545818770843,573471283217
30297089641,30031117497,30095763449,54116654694,205863694642,239611990090,545818770843,573471283217
30297089641,30031117497,33004348870,57966654694,205520585036,242571562332,545818770843,573471283217
30031117497,29244754259,34354348870,61166654694,205520585036,242571562332,545818770843,573471283217
29045254259,30095763449,36854148870,61166654694,210820085036,248583499776,540514454956,573471283217
30095763449,30095763449,42504048870,61921585935,214320085036,255246177892,536196147649,573471283217
30095763449,30095763449,42504048870,64321023941,212367415345,255246177892,536196147649,573471283217
30095763449,30095763449,42504048870,64321023941,212367415345,252175589233,536196147649,573471283217
30095763449,30095763449,42199870067,61446173810,212149250703,252175589233,536196147649,573471283217
30095763449,30095763449,42199870067,61446173810,212149250703,257637268716,540456599451,573471283217
37004248870,41104048870,57966654694,66742561726,219422559659,254018909721,545509918609,573471283217
36854148870,41104048870,59216654694,63907376527,219422559659,254018909721,545509918609,573471283217
41104048870,42199870067,61166654694,63907376527,226765592583,249981265097,545509918609,573471283217
41104048870,42199870067,61166654694,63907376527,225015613997,254156016544,545509918609,573471283217
42199870067,42199870067,61921585935,76225408755,223777410694,252313916186,545509918609,382083612103
42199870067,49223654694,61921585935,76225408755,220506848274,252313916186,547966392065,108592056950
42199870067,51818654694,61446173810,79040476686,222005848274,250047234082,543314935535,82781913082
51818654694,59216654694,60176026980,79040476686,224651280736,244966491564,543314935535,25851385187
54116654694,59216654694,60176026980,79040476686,228081738960,241966332988,543314935535,25851385187
57966654694,61166654694,60054579023,88381428953,228081738960,241966332988,543314935535,25851385187
59216654694,61166654694,60054579023,88381428953,225981884569,247366332988,543314935535,25851385187
61166654694,61921585935,66742561726,91677684044,227016391646,247366332988,541463052176,25851385187
61166654694,61921585935,63907376527,91677684044,228603431429,244247369612,541463052176,25851385187
64961654694,64321023941,63907376527,91677684044,226155401064,252541103187,541463052176,25851385187
64321023941,61446173810,74495873537,91677684044,228259655848,259111672051,541463052176,25851385187
64321023941,61446173810,76225408755,95026707655,229191879245,259111672051,548291978948,25851385187
61446173810,60054579023,76225408755,104998479472,228984892335,262611672051,547755422735,25851385187
61446173810,60054579023,79040476686,104998479472,228984892335,262611672051,547755422735,25851385187
60054579023,63907376527,79040476686,111769785875,239640561304,264521973703,539329669181,25851385187
66742561726,63907376527,88381428953,110267100611,239640561304,264521973703,543509537580,25851385187
63907376527,74495873537,91677684044,108352134722,241627841736,272021973703,540532685475,25851385187
63907376527,76225408755,91677684044,103995894881,241627841736,264629245485,540532685475,25851385187
76225408755,79040476686,91677684044,103222145622,243509579681,267834789670,540532685475,25851385187
76225408755,79040476686,95026707655,103222145622,243509579681,267834789670,540532685475,25851385187
79040476686,88381428953,104998479472,101559754443,241828488517,275334789670,543277135590,25851385187
91677684044,91677684044,110267100611,107137630984,236928605766,275534329197,540096716406,25851385187
91677684044,91677684044,108352134722,109885628585,235972110377,280380914989,548440951736,25851385187
104998479472,108219785875,103222145622,124188491354,242019510377,288767142183,541203524245,5470
104998479472,108219785875,103222145622,124188491354,242019510377,288767142183,541203524245,5470
102628941209,111769785875,103222145622,124188491354,242019510377,290796040625,541203524245,5470
111769785875,110267100611,101559754443,131631645486,249371238981,294056412141,543541877284,5470
110267100611,108352134722,106009594067,132129167605,249350647614,294056412141,543541877284,5470
