token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11593726692,10550817441,10245108309,10186075658,10236873354,10120819618,10352149350,148319
12042116101,10551117441,10245608309,10186075658,10236873354,10120819618,10352149350,148319
10460358508,10561017441,10245708309,10186075658,10236873354,10120819618,10351451454,148319
10550817441,10568617441,10185422503,10186075658,10236873354,10120819618,10351451454,148319
10551117441,10568617441,10185422503,10185806071,10236873354,10120819618,10351451454,148319
10561017441,10568617441,10185158136,10185806071,10236873354,10120819618,10351451454,148319
10568417441,10568617441,10185015849,10185806071,10236873354,10120819618,10351451454,148319
10568617441,10558460089,10185015849,10185806071,10236873354,10120819618,10351451454,148319
10568617441,10558660089,10184945316,10185806071,10236873354,10120819618,10351451454,148319
10568617441,10558860089,10184945316,10185806071,10236873354,10120819618,10351451454,148319
10568617441,10559360089,10184945316,10115771126,10236873354,10120819618,10351451454,148319
10568617441,10483522908,10184827235,10115771126,10236873354,10120819618,10351451454,148319
10558460089,10483522908,10184700201,10115574826,10236873354,10120819618,10351451454,148319
10483522908,10245108309,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10477169008,10245108309,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10477169008,10245608309,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10244918309,10245708309,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10245018309,10245708309,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10245108309,10185422503,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10245708309,10185158136,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10245708309,10185015849,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10245708309,10185015849,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10185422503,10184945316,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10185158136,10184945316,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10184945316,10184700201,10186075658,10115437455,10236873354,10120819618,10351451454,148319
10184945316,10186258513,10185806071,10115437455,10236873354,10120819618,10351451454,148319
10184827235,10186075658,10185806071,10115437455,10236873354,10120819618,10351451454,148319
10184700201,10186075658,10185806071,10115437455,10236873354,10120819618,10351451454,148319
10186075658,10186075658,10115771126,10115437455,10236873354,10120819618,10351451454,148319
10186075658,10186075658,10115574826,10115437455,10236873354,10120819618,10351451454,148319
10186075658,10186075658,10115437455,10115437455,10236873354,10120819618,10351451454,148319
10186075658,10186075658,10115437455,10115437455,10236873354,10120819618,10351451454,148319
10186075658,10186075658,10115437455,10332263297,10236873354,10120819618,10351451454,148319
10185806071,10115437455,10115437455,10832263297,10236873354,10120819618,10351451454,148319
10115437455,10115437455,10115437455,10832263297,10236873354,10120819618,10351451454,148319
10115437455,10115437455,10115437455,10831138271,10236873354,10120819618,10351451454,148319
10115437455,10115437455,10115437455,10831138271,10236873354,10120819618,10351451454,148319
10332263297,10332263297,10831138271,10831138271,10236873354,10120819618,10351451454,148319
10832263297,10831138271,10831138271,10831138271,10236873354,10120819618,10351451454,148319
10831138271,10831138271,10831138271,10831138271,10336873354,10120819618,10351451454,148319
10319835600,10319835600,10246141720,10246141720,10336873354,10120819618,10351451454,148319
10319835600,10319835600,10246141720,10246141720,10336873354,10120819618,10351451454,148319
10246141720,10246141720,10246141720,10246141720,10336873354,10120819618,148319,148319
10236873354,10236873354,10236873354,10236873354,10120819618,10341749350,148319,148319
10336873354,10336873354,10336873354,10336873354,10120819618,10341749350,148319,148319
10120819618,10120819618,10120819618,10120819618,10120819618,10351749350,148319,148319
10341749350,10341749350,10341749350,10341749350,10351749350,10352049350,148319,148319
10341749350,10341749350,10341749350,10341749350,10351749350,10352049350,148319,148319
10351749350,10351749350,10351749350,10351749350,10352049350,10352049350,148319,148319
10351849350,10351849350,10351849350,10351949350,10352049350,10352149350,148319,148319
10351949350,10351949350,10351949350,10352049350,10352049350,10351451454,148319,148319
10352049350,10352049350,10352049350,10352049350,10352049350,10351451454,148319,148319
10352149350,10352149350,10352149350,10352149350,10351451454,148319,148319,148319
10351451454,10351451454,10351451454,10351451454,148319,148319,148319,148319
148319,148319,148319,148319,148319,148319,148319,148319
