open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:01,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,3250100000,-746593624,-746593624,3,0.7692071013199594,1.0,1.0,0.5405379415522832
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:02,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,8503506376,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,4250700000,-746593624,-746593624,6,0.5881384242595338,0.9999764744630297,1.0000000000000002,0.960264385246888
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:03,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,8504206376,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,4250900000,-746593624,-746593624,8,0.5881107530170082,0.999929426709638,1.0,0.9607676755236365
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:04,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,5438577485,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,4350500000,-3812322515,-3812322515,15,0.5746465923457074,0.9997701413630616,0.9998850706815309,1.0489590774751782
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:05,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,5538277485,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,4351000000,-4252287562,-4252287562,20,0.5745805561939784,0.9996552516662837,0.9997701677775226,1.0501808344894255
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:06,5099712438,7500000000,5099712438,5099712438,5099712438,5099712438,5099712438,5099712438,5099712438,5099712438,5099712438,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,4852000000,-4252287562,-4252287562,22,0.5152514427040396,0.9993816982687551,0.999752679307502,1.275409733756174
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:07,5600712438,8503506376,5600712438,5600712438,5600712438,5600712438,5600712438,5600712438,5600712438,5600712438,5600712438,1602900000,-3505693938,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,4853000000,-4252287562,-4252287562,23,0.5151452709664125,0.9991757675664537,0.9997321244590974,1.277101849886303
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:08,5600912438,8504206376,5600912438,5600912438,5600912438,5600912438,5600912438,5600912438,5600912438,5600912438,5600912438,602600000,-3505693938,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,4853300000,-4252287562,-4252287562,25,0.5151134279768405,0.9991140049038798,0.9996909319432137,1.2777231241767997
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:09,5997012438,5438577485,5997012438,5997012438,5997012438,5997012438,5997012438,5997012438,5997012438,5997012438,5997012438,998700000,-3505693938,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,5249600000,-4252287562,-4252287562,27,0.4762267601341055,0.9802651630600426,0.9996571167327035,1.4493511648186599
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:11,6005312438,5099712438,7500000000,6005312438,6005312438,6005312438,6005312438,6005312438,6005312438,6005312438,6005312438,1154200000,0,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,5505200000,-4252287562,-4252287562,30,0.4541161084065974,0.9347525975441401,0.9995095546029208,1.5765465850270006
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:12,6260912438,5600712438,8503506376,6260912438,6260912438,6260912438,6260912438,6260912438,6260912438,6260912438,6260912438,661200000,0,2263100000,-3505693938,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,5513200000,-4252287562,-4252287562,31,0.45345715736777187,0.9333962127258216,0.9993288834070957,1.58519228841012
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:13,6261012438,5600912438,8504206376,6261012438,6261012438,6261012438,6261012438,6261012438,6261012438,6261012438,6261012438,870300000,0,1472600000,-3505693938,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,5723300000,-4252287562,-4252287562,34,0.4368109307567313,0.8991316198696556,0.9977635280345254,1.6915183633590625
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:14,6471212438,5997012438,5438577485,6471212438,6471212438,6471212438,6471212438,6471212438,6471212438,6471212438,6471212438,919300000,0,1521700000,-3505693938,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,5772600000,-4252287562,-4252287562,37,0.4330804143713405,0.8914527249419673,0.9963448013027059,1.7266032910340363
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:15,6520512438,5997012438,5538277485,6520512438,6520512438,6520512438,6520512438,6520512438,6520512438,6520512438,6520512438,523400000,0,1422500000,-439965047,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,5773000000,-4252287562,-4252287562,39,0.4330504070673826,0.8913909579075004,0.9962757664992204,1.7272645588068847
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:18,6520812438,6261012438,5600912438,6520812438,6520812438,6520812438,6520812438,6520812438,6520812438,6520812438,6520812438,259900000,-48764576,920100000,-48764576,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,5773100000,-4301052138,-4301052138,40,0.4330429058911157,0.8913755174862725,0.9962585092931007,1.7274418686811326
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:19,6472547862,6471212438,5997012438,6472547862,6472547862,6472547862,6472547862,6472547862,6472547862,6472547862,6472547862,50300000,-48764576,920300000,-48764576,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,5773600000,-4301052138,-4301052138,41,0.43300540390744074,0.8912983234030761,0.9961722322294583,1.728188951358478
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:20,6492347862,6520512438,5997012438,6492347862,6492347862,6492347862,6492347862,6492347862,6492347862,6492347862,6492347862,520800000,-48764576,1043800000,-48764576,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,6293400000,-4301052138,-4301052138,43,0.39724155464454824,0.8342072647535513,0.9917532653255792,1.8838771167044934
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:21,6992447862,6520512438,6005312438,6992447862,6992447862,6992447862,6992447862,6992447862,6992447862,6992447862,6992447862,521000000,-48764576,1044400000,-48764576,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,6294000000,-4301052138,-4301052138,45,0.39720368605020656,0.8341277407054338,0.9916587225929457,1.8847183763925386
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:22,7303615908,6520512438,6260912438,7303615908,7303615908,7303615908,7303615908,7303615908,7303615908,7303615908,7303615908,1331668046,-400654914,1599468046,-400654914,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,7104668046,-4652942476,-4652942476,47,0.3518813241960721,0.7389507808117515,0.971779117799475,2.100624747933861
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:23,7584737742,6520812438,6261012438,7584737742,7584737742,7584737742,7584737742,7584737742,7584737742,7584737742,7584737742,1856680218,-546827275,2116480218,-546827275,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,7629680218,-4799114837,-4799114837,49,0.3276677303069637,0.6881022336446238,0.9472454954205789,2.2117104241017134
2024-06-08 12:05:01,5000000000,2024-06-08 12:05:26,7830440673,6992447862,6520512438,7830440673,7830440673,7830440673,7830440673,7830440673,7830440673,7830440673,7830440673,1336280218,-498187407,1856680218,-546951983,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,7629680218,-4799239545,-4799239545,49,0.3276677303069637,0.6881022336446238,0.9472454954205789,2.2117104241017134
