token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
50003500000,50005200000,138770622265,204355527886,222808660737,82625929874,81168521265,11446
50003600000,50005200000,151824475874,204603027886,267158508193,82625929874,81168521265,11446
50005200000,61641400173,197811687396,230480545371,313938529827,82625929874,81168521265,11446
50005200000,68533198101,221886578275,241208963415,337375453717,82625929874,81168521265,11446
74978951142,104298453083,229957597124,248382818835,345827808962,82625929874,81168521265,11446
96273745373,104298453083,213025977770,275263244673,365872848058,82625929874,81168521265,11446
104298453083,138770622265,214015977770,225262924787,337479594788,82625929874,81168521265,11446
104298453083,140520279381,214580979015,243008913311,341433505848,82625929874,81168521265,11446
104298453083,148762432974,231997150948,236911214717,335390892657,82625929874,81168521265,11446
138770622265,193014079554,251525983066,237109214717,311962478361,82625929874,81168521265,11446
138770622265,193014079554,263433308507,242067601611,311962478361,82411408299,81168521265,11446
151824475874,197811687396,206578686895,294080905861,315419409079,82406372202,81168521265,11446
193014079554,221886578275,209443422867,297562766138,313415825366,82406372202,81168521265,11446
193014079554,233738678705,204355527886,283715724250,312885541717,82406372202,81168521265,11446
196504465407,233738678705,204085339695,282199448646,322059589681,82406372202,81168521265,11446
197811687396,233738678705,204603027886,282199448646,337676860558,82406372202,81168521265,11446
221886578275,239385143437,204603027886,282199448646,341655713819,82406372202,81168521265,11446
233738678705,213025977770,223150947194,278599991670,341853713819,82406372202,81168521265,11446
233738678705,213223977770,230480545371,272800244079,341952713819,82406372202,81168521265,11446
239385143437,213520977770,230480545371,272800244079,344048804732,82406372202,81168521265,11446
229957597124,214580979015,244901567919,272321947663,355303907877,82406372202,81168521265,11446
213520977770,251525983066,248391824622,266627674336,376436689581,82406372202,81168521265,11446
214015977770,263433308507,248497153520,265565234367,379542269356,82406372202,81168521265,11446
214580979015,253814600940,248382818835,256530121655,379542269356,82406372202,81168521265,11446
231997150948,261541310094,275263244673,256530121655,379542269356,82406372202,81168521265,11446
248031883232,206578686895,219356092486,256530121655,379542269356,82406372202,81168521265,11446
251525983066,209443422867,219356092486,230580688733,379542269356,82406372202,81168521265,11446
263433308507,204355527886,225262924787,229706627069,380220579042,82406372202,81168521265,11446
253814600940,204355527886,243008913311,218021506660,387154760136,82406372202,81168521265,11446
261541310094,204085339695,236911214717,219430675308,398187162553,82406372202,81168521265,11446
206578686895,204603027886,237109214717,219430675308,401699013159,82406372202,81168521265,11446
209443422867,204603027886,237109214717,219430675308,401699013159,82406372202,81168521265,11446
204355527886,219160018619,242067601611,236123495435,404222999521,82406372202,81168521265,11446
204355527886,219160018619,242067601611,238202690556,405303050095,82406372202,81168521265,11446
204085339695,223150947194,294080905861,250246793853,405303050095,82406372202,81168521265,11446
204603027886,230480545371,294080905861,279299531027,401455415827,82406372202,81168521265,11446
204603027886,230480545371,297562766138,285258447420,401184042945,82406372202,81168521265,11446
219160018619,241208963415,272203423529,285258447420,400938720245,82406372202,81168521265,11446
223150947194,257644108404,282199448646,285258447420,387362966505,82402969146,81168521265,11446
230480545371,257352465491,282199448646,299760564730,387362966505,82402969146,81168521265,11446
241208963415,248497153520,282199448646,306622589021,395671401393,82402969146,81168521265,11446
257644108404,275263244673,278599991670,310386134363,382180380265,82402969146,81168521265,11446
257352465491,219356092486,272800244079,309572861748,383228916961,82402969146,81168521265,11446
248497153520,225262924787,272321947663,315760769171,395609663539,82267301968,81168521265,11446
248382818835,243008913311,272321947663,304079292029,383912836265,82267301968,81168521265,11446
275263244673,236911214717,271284551647,313467311765,386673371392,82267301968,81168521265,11446
219356092486,237109214717,271284551647,311051400946,386971371392,82267301968,81168521265,11446
219356092486,237109214717,266627674336,311051400946,387668408703,82267301968,81168521265,11446
225262924787,242067601611,265565234367,311051400946,390142055150,82267301968,81168521265,11446
243008913311,242067601611,256530121655,311051400946,394694391900,82267301968,81168521265,11446
236911214717,294080905861,256530121655,311051400946,368654584452,82267301968,81168521265,11446
237109214717,294080905861,256530121655,311051400946,318554286683,82267301968,81168521265,11446
242067601611,272203423529,229706627069,311051400946,316606843925,82267301968,81168521265,11446
242067601611,283715724250,218021506660,311051400946,306432365634,82267301968,81168521265,11446
294080905861,282199448646,219430675308,311051400946,317578465442,82267301968,81168521265,11446
294080905861,282199448646,219430675308,311051400946,317578465442,82267301968,81168521265,11446
272203423529,282199448646,236123495435,300672911915,354334199309,82317301968,81168521265,11446
282199448646,278599991670,250246793853,304874701149,301855497594,82317301968,81168521265,11446
282199448646,272800244079,285258447420,309582233127,302486988311,82317301968,81168521265,11446
282199448646,272321947663,285258447420,314322635079,332432033820,82317301968,81168521265,11446
278399991670,272321947663,285258447420,314322635079,332432033820,82317301968,81168521265,11446
278599991670,271284551647,285258447420,315146937010,347855015499,82317301968,81168521265,11446
272321947663,256530121655,306822589021,315146937010,324945602216,82317301968,81168521265,11446
271284551647,256530121655,310386134363,315146937010,324945602216,82317301968,81168521265,11446
271284551647,256530121655,309572861748,316285906418,324686105227,82317301968,81168521265,11446
265565234367,229706627069,315760769171,350099423085,306566829475,82317301968,81168531265,11446
256530121655,219430675308,313467311765,356534609402,287881328326,82317301968,81168531265,11446
230580688733,219430675308,311051400946,356121365769,277089991251,82317301968,81168531265,11446
229706627069,236123495435,311051400946,356220365769,273351699137,82317301968,81168531265,11446
218021506660,238202690556,311051400946,356220365769,273351699137,82317301968,81168531265,11446
219430675308,285258447420,311051400946,349018741798,283567977461,82317301968,81168531265,11446
236123495435,285258447420,311051400946,350747150404,288348173044,82317301968,81168531265,11446
238202690556,285258447420,311051400946,350747150404,279299727542,82317301968,81168531265,11446
250246793853,285258447420,311051400946,350747150404,281012215948,82317301968,81168531265,11446
285258447420,306622589021,300672911915,366108642747,272487162540,82317301968,81168531265,11446
285258447420,306822589021,300672911915,372413959142,272487162540,82317301968,81168531265,11446
285258447420,310386134363,304874701149,380278915907,272487162540,82317301968,81168531265,11446
299760564730,309572861748,301077043433,375125535660,272487162540,82317301968,81168531265,11446
306373075616,309144622791,309582233127,387791288576,271916321428,82317301968,81168531265,11446
309572861748,311051400946,315146937010,386192807377,251224222851,82317301968,81168531265,11446
309144622791,311051400946,315146937010,386192807377,251224222851,82317301968,81168531265,11446
315760769171,311051400946,315146937010,386440307377,244083455613,82317301968,81168531265,11446
304079292029,311051400946,315146937010,386440307377,255639708335,82317301968,81168531265,11446
313467311765,311051400946,315146937010,386440307377,261064656954,82317301968,81168531265,11446
311051400946,311051400946,316285906418,386440307377,267761210812,82317301968,81168531265,11446
311051400946,311051400946,316984683346,386533843194,277817285100,81481775889,81168531265,11446
311051400946,311051400946,350099423085,386781343194,278769220524,81481775889,81168531265,11446
311051400946,311051400946,355557535801,386781343194,279961016607,81481775889,81168531265,11446
311051400946,311051400946,356534609402,386781343194,279961016607,81481775889,81168531265,11446
311051400946,311051400946,357547262040,386781343194,279961016607,81481775889,81168531265,11446
