token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
22299409394,22115532404,22745801073,22075015897,35699,35699,35699,35699
22399409394,22126532404,21807315195,22075015897,35699,35699,35699,35699
22399609394,22127532404,21807315195,22147278897,35699,35699,35699,35699
22114542404,21344607247,22467315195,22147278897,35699,35699,35699,35699
22115532404,21684852302,22786355431,22347278897,35699,35699,35699,35699
22127532404,21786252302,23206745668,22347278897,35699,35699,35699,35699
21344607247,21786700967,21769776109,21041703278,35699,35699,35699,35699
23723737599,21786700967,21779590389,21041703278,35699,35699,35699,35699
21685852302,21786611540,21929123506,19325709341,35699,35699,35699,35699
21786252302,21786611540,21928515049,19445709341,35699,35699,35699,35699
21786700967,21786611540,21928515049,22838179851,35699,35699,35699,35699
21786700967,21786911540,21928515049,23597822847,35699,35699,35699,35699
21786700967,21786911540,21928515049,23597822847,35699,35699,35699,35699
21786611540,20804126801,21929515049,23597822847,35699,35699,35699,35699
21786611540,22325801073,22577666111,23923002847,35699,35699,35699,35699
21786611540,22325801073,22877444995,23923002847,35699,35699,35699,35699
20804126801,21807315195,22877444995,23932324905,35699,35699,35699,35699
22745801073,22786355431,22877444995,23818736718,35699,35699,35699,35699
21807315195,22786745668,23019380802,21771549933,35699,35699,35699,35699
21807315195,23206745668,23019380802,21771549933,35699,35699,35699,35699
22786355431,21779590389,22075015897,22142194864,35699,35699,35699,35699
22786355431,21819123506,22075015897,21420923703,35699,35699,35699,35699
22786745668,21929123506,22075015897,21482969199,35699,35699,35699,35699
21769776109,21928515049,22147278897,21453531514,35699,35699,35699,35699
21779590389,21928515049,22147278897,21453531514,35699,35699,35699,35699
21929123506,21929515049,22347278897,21453531514,35699,35699,35699,35699
21928515049,22577666111,22347278897,23030337528,35699,35699,35699,35699
21928515049,22877444995,21041703278,22841713475,35699,35699,35699,35699
21928515049,22877444995,21041703278,22187792874,35699,35699,35699,35699
21928515049,22877444995,21041703278,22187792874,35699,35699,35699,35699
21929515049,22877444995,19325709341,22187792874,35699,35699,35699,35699
22577666111,22877444995,19445709341,22682792874,35699,35699,35699,35699
22877444995,23019380802,23597822847,22742292874,35699,35699,35699,35699
22877444995,23019380802,23923002847,22742292874,35699,35699,35699,35699
22877444995,22243594529,23923002847,22742292874,35699,35699,35699,35699
22075015897,22347278897,23783435684,21409263200,35699,35699,35699,35699
22075015897,22347278897,21771549933,21409263200,35699,35699,35699,35699
22147278897,21041703278,21739319068,19958921065,35699,35699,35699,35699
22147278897,21041703278,22142194864,19958921065,35699,35699,35699,35699
22347278897,19445709341,21193531514,19958921065,35699,35699,35699,35699
