token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
192889924122274,195874392674861,184684592798400,161261988181168,126165085020628,116236207973256,189739832928028,384231565396670
192855450464101,184796843229330,182327801753258,161214569463260,126165085020628,111525394979590,189739832928028,384231565396670
192855450464101,182504778098405,181520805170326,161214569463260,125211461376155,111525394979590,189739832928028,384231565396670
194315381741237,183736224699545,181520805170326,153682891369327,124053048020380,111685012035057,189739832928028,384231565396670
195874392674861,185196155976681,181520805170326,153682891369327,127326906383986,112680835306324,189739832928028,384231565396670
184796843229330,185190658902566,180897230700407,153682891369327,127326906383986,112776516313291,185606079246374,389918630361810
183736224699545,186650590179702,185876220274216,156157640701634,141045202751103,112776516313291,184705744851201,389918630361810
185196155976681,186420232598367,185899885707002,156142818624425,141045202751103,112776516313291,184705744851201,389918630361810
185190658902566,182267855437600,184211620057071,156698525700922,140889896810296,114115615119488,184844605660324,389918630361810
185190658902566,182172023332187,184211620057071,162523182386580,138631996068330,113729063248061,184844605660324,389918630361810
186650590179702,182163933642353,182981378102192,157740942275560,138631996068330,113192273963285,185045505341466,389918630361810
186420232598367,184271498383742,179937162904126,157740942275560,138400463720732,113056583431741,184845887301803,389918630361810
182168775781112,172291283693250,180135322217102,166348916876586,137710486665425,111554056281813,184845887301803,389918630361810
182267855437600,180871585971439,179741440501110,165186810228476,126205824397019,114718902304401,187946163745415,389918630361810
182163933642353,182523000523549,179741440501110,157292506116884,133417897963994,106348056763868,187699533889383,389918630361810
184271498383742,183224866023898,170248797448055,157292506116884,136185698348168,106348056763868,187699533889383,389918630361810
172291283693250,184684592798400,170248797448055,157292506116884,115352917805275,106348056763868,181151513235453,389918630361810
180871585971439,182327801753258,170248797448055,157262447327013,115312842737466,106348056763868,181151513235453,389918630361810
180871486326498,181520805170326,174751046831483,157260944689811,115112884525562,106348056763868,180769349781343,389918630361810
182523000523549,181520805170326,173827393927955,157260944689811,114074641869361,107902152056541,180829770360284,389918630361810
183224866023898,181520805170326,163559129383943,157439319070962,109484357420299,107556608225393,179880753287500,389918630361810
184684592798400,179457233333909,163559129383943,157061806374299,109825481695787,107837002131496,179880753287500,389918630361810
182327801753258,180897230700407,163559129383943,157061806374299,110842351903131,107148966645618,179880753287500,389918630361810
181520805170326,185045201174318,163559129383943,157061806374299,110954264810226,99473465888091,184631159003084,389918630361810
181520805170326,185876220274216,164980757748291,158674460650940,111276797344022,107733401010334,180365684329359,389918630361810
181520805170326,185899885707002,164560762075901,157115577597221,111127807485020,108781124115975,180365684329359,379142175866406
179457233333909,184211620057071,161261988181168,157115577597221,114285935931751,108970342568436,180365684329359,379142175866406
180897230700407,184211620057071,161214569463260,157402170107281,114246610474480,108970342568436,180365684329359,379142175866406
185045201174318,184211620057071,161214569463260,157402170107281,114052347495163,109727416748637,180365684329359,379142175866406
184211620057071,180135322217102,153682891369327,153684004257757,113762439389948,109268557081446,180578671160982,379188118156459
184211620057071,179741440501110,153682891369327,153526338868323,116395744839414,109268557081446,179641874667401,379188118156459
184211620057071,179741440501110,153682891369327,151358456671443,116216495237450,109268557081446,179641874667401,379188118156459
182981378102192,179741440501110,156157640701634,151358456671443,115231051881692,109644009847887,179641874667401,379197933114009
179937162904126,170248797448055,156142818624425,153536594296011,115231051881692,109644009847887,175989956540333,379197933114009
180135322217102,170248797448055,156698525700922,151418394279942,111450308449706,109672973375450,175989956540333,375106408593495
179741440501110,173827393927955,157740942275560,151042998455638,88804093376188,108961755353814,177103994835412,375106408593495
170248797448055,163559129383943,157740942275560,151015566710480,89756302823695,108259713587638,177103994835412,375106408593495
170248797448055,163559129383943,166348916876586,150739036120224,91687633933260,107912079853395,177103994835412,375106408593495
170248797448055,163559129383943,165186810228476,150739036120224,91687634929709,107912079853395,177103994835412,375106408593495
163559129383943,164560762075901,157292506116884,149439107036615,99018268408079,110196654261717,168811096132107,375106408593495
163559129383943,161214569463260,157260944689811,152280578555476,102178279104075,109378891213237,166217630226620,375106408593495
164980757748291,153682891369327,157260944689811,152069659113311,101763323410800,109258436208307,166217630226620,375106408593495
164560762075901,153682891369327,157439319070962,152069659113311,101803398478609,109258436208307,166217630226620,375106408593495
153682891369327,156157640701634,158674460650940,155758709431565,97228738389910,108789248109816,165030718299288,375106408593495
153682891369327,156142818624425,157115577597221,155969370827381,97225896148882,108754044930539,165030718299288,375106408593495
153682891369327,156698525700922,157115577597221,155969370827381,94312013741240,110877595534279,166249327117540,375106408593495
153682891369327,156698525700922,157402170107281,154506249860626,94312014687866,112898551015559,165407279429301,375106408593495
156157640701634,157740942275560,155176372626340,153784952157348,99325863551269,110156862537265,165465253647658,375106408593495
157740942275560,157292506116884,151358456671443,153703751805136,99776961958990,111101629383286,175737716444485,374702118033821
157740942275560,157292506116884,153536594296011,153703751805136,94189610478885,111101629383286,175737716444485,374702118033821
166348916876586,157292506116884,151418394279942,153703751805136,98785078457304,111101629383286,175289062525568,374702118033821
157292506116884,157260944689811,151180307118194,152919503276193,99232091640377,111006977027395,173396757518189,374702118033821
157292506116884,157260944689811,151042998455638,151667648804265,98103158541791,111006977027395,174112706637247,374702118033821
157292506116884,157061806374299,150739036120224,157005766774526,99889585079143,112177667376490,174150304830196,374702118033821
