token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
79068295742,79250532924,79435318960,79918380356,87359758083,87742945149,10029,10029
79169295742,79250732924,79435318960,79918380356,87359758083,87742945149,10029,10029
79259795742,79250832924,79435318960,79918380356,87359151525,87742945149,10029,10029
79260195742,79250932164,79435938960,79918380356,87359151525,87742945149,10029,10029
79260295742,79231135527,79435938960,79918380356,87359151525,87742945149,10029,10029
79250532924,79231135527,79439938960,80028380356,87359151525,87742945149,10029,10029
79250732924,79231535527,79389962442,80028380356,87359151525,87742945149,10029,10029
79250832924,79231535527,79389563060,80028380356,87359151525,87742945149,10029,10029
79250932164,79234659332,79499563060,80028380356,87359151525,87742945149,10029,10029
79231135527,79234659332,79499563060,80028380356,87359151525,87742945149,10029,10029
79231135527,79234659332,79599363299,80028380356,87359151525,87742945149,10029,10029
79231535527,79434659332,79598962239,80028380356,87359151525,87742945149,10029,10029
79231535527,79434659332,79598962239,80028380356,87359151525,87742945149,10029,10029
79234659332,79434859332,79599361815,80028380356,87359151525,87742945149,10029,10029
79234659332,79435299332,79599361815,80028380356,87359151525,87742945149,10029,10029
79434659332,79435619332,79599061569,80028880356,87359151525,87742945149,10029,10029
79434859332,79435419146,79598961660,80028880356,87359151525,87742945149,10029,10029
79435619332,79435318960,79598501634,80028880356,87359151525,87742945149,10029,10029
79435419146,79435938960,79918501211,80028880356,87359151525,87742945149,10029,10029
79435318960,79435938960,79918501211,80028880356,87359151525,87742945149,10029,10029
79435318960,79439938960,79918501211,80028880356,87359151525,87742945149,10029,10029
79435318960,79389962442,79918501211,98497797972,87359151525,87742945149,10029,10029
79435318960,79389563060,79918501211,98497797972,87359151525,87742945149,10029,10029
79435938960,79499563060,79918380356,87234341636,87359151525,87742945149,10029,10029
79499563060,79599361815,79918380356,87234341636,87359151525,87742945149,10029,10029
79599363299,79599261390,80028380356,87234341636,87359151525,87742945149,10029,10029
79598962239,79599061569,80028380356,87234341636,87359151525,87742945149,10029,10029
79598962239,79598961660,80028380356,87234341636,87359151525,87742945149,10029,10029
79599361815,79598961660,80028380356,87234341636,87359151525,87742945149,10029,10029
79599261390,79598721434,80028380356,87234341636,87359151525,87742945149,10029,10029
79599061569,79598501634,80028380356,87234341636,87381151525,87742945149,10029,10029
79598961660,79918501211,80028380356,87234341636,87381151525,87742945149,10029,10029
79598721434,79918501211,80028880356,87234341636,87381151525,87742945149,10029,10029
79598501634,79918501211,80028880356,87234341636,87381151525,87742945149,10029,10029
79818501211,79918501211,80028880356,87234341636,87381151525,87742945149,10029,10029
79918501211,79918380356,80028880356,87234341636,87381151525,87742945149,10029,10029
79918501211,79918380356,80028880356,87234341636,87381151525,87742945149,10029,10029
79918501211,79918380356,80028880356,87234341636,87381151525,87742945149,10029,10029
79918380356,79918380356,80028880356,87234341636,87381151525,87742945149,10029,10029
79918380356,80028380356,87234341636,87234341636,87424073853,87742945149,10029,10029
80028380356,80028880356,87234341636,87234341636,87424073853,87742945149,10029,10029
80028880356,80028880356,87234341636,87234341636,87446073853,87742945149,10029,10029
87234341636,87234341636,87234341636,87234341636,87446073853,87742945149,10029,10029
87234341636,87234341636,87234341636,87234341636,87446073853,87742945149,10029,10029
87256341636,87256222219,87556222219,87315758083,87556245149,87764945149,10029,10029
87256222219,87256222219,87436955990,87315758083,87586245149,87764945149,10029,10029
87556222219,87556222219,87315758083,87315758083,87606245149,87764945149,10029,10029
87436955990,87315758083,87315758083,87315758083,87626245149,87764945149,10029,10029
87315758083,87315758083,87315758083,87337758083,87626245149,87764945149,10029,10029
87337758083,87337758083,87359758083,87359151525,87742945149,87764945149,10029,10029
87359758083,87359758083,87359151525,87359151525,87742945149,87786945149,10029,10029
87359151525,87359151525,87359151525,87424073853,87742945149,87809145149,10029,10029
87381151525,87381151525,87424073853,87501073853,87742945149,87864145149,10029,10029
87424073853,87424073853,87446073853,87521073853,87742945149,87864145149,10029,10029
87446073853,87446073853,87521073853,87541073853,87742945149,87864145149,10029,10029
87501073853,87501073853,87521073853,87556245149,87742945149,87864145149,10029,10029
87521073853,87521073853,87541073853,87586245149,87742945149,87854131923,10029,10029
87541073853,87541073853,87556245149,87606245149,87742945149,87854131923,10029,10029
87556245149,87556245149,87586245149,87626245149,87764945149,87876131923,10029,10029
87556245149,87556245149,87586245149,87626245149,87764945149,87876131923,10029,10029
87586245149,87586245149,87606245149,87648245149,87764945149,87876131923,10029,10029
87586245149,87586245149,87606245149,87670245149,87764945149,87876131923,10029,10029
87606245149,87606245149,87648245149,87692445149,87764945149,87876131923,10029,10029
87626245149,87626245149,87670245149,87720945149,87764945149,87876131923,10029,10029
87648245149,87648245149,87692445149,87742945149,87764945149,87876131923,10029,10029
87670245149,87670245149,87698945149,87742945149,87764945149,87876131923,10029,10029
87692445149,87698945149,87742945149,87742945149,87764945149,87898131923,10029,10029
87698945149,87720945149,87742945149,87742945149,87764945149,87920131923,10029,10029
87720945149,87742945149,87742945149,87742945149,87764945149,87920131923,10029,10029
87742945149,87742945149,87742945149,87742945149,87764945149,87975131923,10029,10029
87764945149,87764945149,87764945149,87764945149,87876131923,10029,10029,10029
87786945149,87786945149,87809145149,87864145149,88052060065,10029,10029,10029
87809145149,87809145149,87809145149,87864145149,88052060065,10029,10029,10029
87864145149,87864145149,87864145149,87864145149,88107060065,10029,10029,10029
87854131923,87854131923,87854131923,87876131923,90136054031,10029,10029,10029
87876131923,87876131923,87876131923,87876131923,10029,10029,10029,10029
87898131923,87898131923,87920131923,88052060065,10029,10029,10029,10029
87920131923,87920131923,87997060065,88074060065,10029,10029,10029,10029
87975131923,88052060065,88052060065,88107060065,10029,10029,10029,10029
88052060065,88052060065,88074060065,88129060065,10029,10029,10029,10029
88052060065,88052060065,88074060065,88129060065,10029,10029,10029,10029
88074060065,88074060065,88129060065,89136054031,10029,10029,10029,10029
88107060065,88107060065,88991237803,90136054031,10029,10029,10029,10029
88129060065,88129060065,89136054031,90136054031,10029,10029,10029,10029
