open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:34,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,211543651889274,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,4643651889274,-3596872122479,-3596872122479,1,1.0,1.0,1.0,0.0
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:35,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,207814938180723,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,4643651889274,-15601290695033,-15601290695033,1,1.0,1.0,1.0,0.0
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:36,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,194778160419772,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,4643651889274,-17702967783128,-17702967783128,1,1.0,1.0,1.0,0.0
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:37,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,193771940130858,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,4643651889274,-17771711758416,-17771711758416,1,1.0,1.0,1.0,0.0
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:38,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,193769649506779,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,4643651889274,-17774002382495,-17774002382495,1,1.0,1.0,1.0,0.0
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:39,201385856280166,211543651889274,201385856280166,201385856280166,201385856280166,201385856280166,201385856280166,201385856280166,201385856280166,201385856280166,201385856280166,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,12387665101800,-17971976092249,-17971976092249,3,0.6148218175740253,0.9999999999999999,0.9999999999999999,0.7140673527478644
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:40,201241549300913,207814938180723,201241549300913,201241549300913,201241549300913,201241549300913,201241549300913,201241549300913,201241549300913,201241549300913,201241549300913,7744013212526,-15310184498232,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,12387665101800,-18907056620711,-18907056620711,3,0.6148218175740253,0.9999999999999999,0.9999999999999999,0.7140673527478644
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:41,193292643684221,194778160419772,193292643684221,193292643684221,193292643684221,193292643684221,193292643684221,193292643684221,193292643684221,193292643684221,193292643684221,7744013212526,-10393730722546,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,12387665101800,-25995021417579,-25995021417579,3,0.6148218175740253,0.9999999999999999,0.9999999999999999,0.7140673527478644
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:42,194552748801627,193771940130858,194552748801627,194552748801627,194552748801627,194552748801627,194552748801627,194552748801627,194552748801627,194552748801627,194552748801627,9122360521036,-9229445075214,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,13766012410310,-26932412858342,-26932412858342,5,0.5532616524217916,1.0000000000000002,1.0000000000000002,0.9972364437322598
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:43,193710710045893,193769649506779,193710710045893,193710710045893,193710710045893,193710710045893,193710710045893,193710710045893,193710710045893,193710710045893,193710710045893,9819819983040,-16875875365406,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,14463471872314,-34647587123822,-34647587123822,6,0.52658219552153,0.9918247712480197,1.0,1.1423943453524692
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:44,186503512034612,201385856280166,211543651889274,186503512034612,186503512034612,186503512034612,186503512034612,186503512034612,186503512034612,186503512034612,186503512034612,15849499725993,-17108559892333,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,20493151615267,-34882562274828,-34882562274828,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:45,191834975438975,201241549300913,207814938180723,191834975438975,191834975438975,191834975438975,191834975438975,191834975438975,191834975438975,191834975438975,191834975438975,8105486513467,-17698340645255,15849499725993,-32073444615025,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,20493151615267,-35670316737504,-35670316737504,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:47,191610825511498,194552748801627,193771940130858,191610825511498,191610825511498,191610825511498,191610825511498,191610825511498,191610825511498,191610825511498,191610825511498,8105486513467,-9787752984514,15849499725993,-18079806618965,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,20493151615267,-35782774402093,-35782774402093,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:49,191721938283214,186503512034612,201385856280166,191721938283214,191721938283214,191721938283214,191721938283214,191721938283214,191721938283214,191721938283214,191721938283214,6029679742953,-1136083868622,15849499725993,-18009668609949,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,20493151615267,-35783670992444,-35783670992444,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:50,191606347865591,191834975438975,201241549300913,191606347865591,191606347865591,191606347865591,191606347865591,191606347865591,191606347865591,191606347865591,191606347865591,0,-1174020964222,8105486513467,-18084607146801,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,20493151615267,-36056583239050,-36056583239050,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:51,191360399284358,191834975438975,193292643684221,191360399284358,191360399284358,191360399284358,191360399284358,191360399284358,191360399284358,191360399284358,191360399284358,0,-648024350589,8105486513467,-17411284467382,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,20493151615267,-36318341088093,-36318341088093,8,0.3716464366424281,0.9539598344871414,1.0,1.550948672754968
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:53,191077225648906,191610825511498,193710710045893,191077225648906,191077225648906,191077225648906,191077225648906,191077225648906,191077225648906,191077225648906,191077225648906,919098259895,-912362788846,7646237464852,-9762724332597,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,21412249875162,-36695137190939,-36695137190939,9,0.35569390502124326,0.913012113953396,0.9999999999999999,1.661503628536707
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:54,191636668899461,191721938283214,186503512034612,191636668899461,191636668899461,191636668899461,191636668899461,191636668899461,191636668899461,191636668899461,191636668899461,1549150818598,-1361456646759,7578830561551,-2496643925030,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,22042302433865,-37144231048852,-37144231048852,9,0.34552682489673736,0.9154985574791698,1.0,1.6892138785691682
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:55,191815607941238,191606347865591,191834975438975,191815607941238,191815607941238,191815607941238,191815607941238,191815607941238,191815607941238,191815607941238,191815607941238,8676502677408,-1362803661458,8676502677408,-2263912379074,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,29169654292675,-37146474653902,-37146474653902,10,0.2611003441099938,0.8988973684718787,1.0,1.8325017548016351
2024-06-11 09:37:34,206900000000000,2024-06-11 09:37:56,198323758682288,191360399284358,191834975438975,198323758682288,198323758682288,198323758682288,198323758682288,198323758682288,198323758682288,198323758682288,198323758682288,8676502677408,-1090850725069,8676502677408,-1477117226615,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,29169654292675,-37147433964119,-37147433964119,10,0.2611003441099938,0.8988973684718787,1.0,1.8325017548016351
