token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
191079300791828,197298605851261,208175812700953,216251103077669,173022406509104,219509237191009,312139760956733,635933050026853
191079300791828,196712834285565,209414274312001,216109047590627,173022406509104,214452965924102,312139760956733,635933050026853
191605039687104,196665689503854,209989341430787,216109047590627,172753470051518,214686337741523,312139760956733,635933050026853
195692828145719,194359937356075,209989341430787,220846729590627,172753470051518,214675416771835,312139760956733,635933050026853
196665689503854,202997430386151,210844869157677,215602287224786,172379038920260,198299232778094,287614964838191,635933050026853
194359937356075,200744802291941,210844869157677,215602287224786,172379038920260,197372021532883,287614964838191,635933050026853
192156784123934,200502209340844,210922286136408,215038707731195,166908928681949,197073327857487,287614964838191,635933050026853
191567675851041,200001731435046,210922286136408,216459681387840,166892277451624,197073327857487,287614964838191,635933050026853
202997430386151,201794421507015,216644823245801,215757155012509,166892277451624,197073327857487,287614964838191,635933050026853
202997430386151,198356620801648,215240103594588,215057446807857,168156172293143,196910824917112,287614964838191,635933050026853
200744802291941,198312777151409,215240103594588,218522837720297,166860551170521,202454459021385,287614964838191,635933050026853
200502209340844,198183583359044,215240103594588,218522837720297,165696606543796,201304261338037,287614964838191,635933050026853
200001731435046,198313579664081,216235144009120,223370962757972,165696606543796,204185236732881,289304505769618,635933050026853
201794421507015,204000916944650,216235144009120,223370962757972,165532707685815,204185236732881,289304505769618,635933050026853
198312777151409,207987821216815,208628755056826,229812212803829,163879279852317,204245066691885,275166121432341,635933050026853
198183583359044,208439947685195,208628755056826,230528679458554,164371164917282,204245066691885,275166121432341,635933050026853
198313579664081,208175812700953,214261362113679,234152954413493,164371164917282,204245066691885,275166121432341,635933050026853
204000916944650,209414274312001,215399825342543,234152954413493,164371164917282,204245066691885,270756023155084,635933050026853
205396562194588,209989341430787,216554378228924,235264573727698,161204543096005,204245066691885,270756023155084,635933050026853
207987821216815,209989341430787,211011013056832,236609006662448,161204543096005,201294182041250,262551056177988,635933050026853
208439947685195,209694807336986,211661542068191,236609006662448,161204543096005,204991709726724,262551056177988,635933050026853
208175812700953,210844869157677,211661542068191,237003107484766,161204543096005,204991709726724,262551056177988,635933050026853
209414274312001,210844869157677,219093879605298,237637609393834,161204543096005,204891230867115,262551056177988,635933050026853
209989341430787,210844869157677,217932704305876,236987311170278,161204543096005,204891230867115,262551056177988,635933050026853
209989341430787,210844869157677,217932704305876,236987311170278,161376246332506,204364779948782,262551056177988,635933050026853
