token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
6640715633,7410715633,7276754119,7406813784,6863648432,6833363305,6881785589,6872112130
7360715633,7366927992,7276754119,7407013784,6863648432,6833363305,6881785589,6872112130
7360715633,7366927992,7286654119,7407013784,6863648432,6833363305,6881785589,6872112130
7360715633,7366927992,7286854119,7407013784,6863648432,6833363305,6881785589,6872112130
7410715633,7366927992,7318216060,7407013784,6863648432,6833363305,6881785589,6872112130
7410815633,7368027992,7318416060,7410013784,6863648432,6833363305,6881785589,6872112130
7366927992,7266354119,7302642652,7403830156,6863648432,6833363305,6881785589,6872112130
7368027992,7266354119,7306842652,7403830156,6863648432,6833363305,6881785589,6872112130
7368027992,7276254119,7307092652,7403830156,6863648432,6833363305,6881785589,6872112130
7266354119,7276754119,7406792652,7404330156,6863648432,6833363305,6881785589,6872112130
7276754119,7276754119,7407092652,7651830156,6861084779,6833363305,6881785589,6872112130
7276754119,7276754119,7407292652,7651830156,6860866586,6833363305,6881785589,6872112130
7276754119,7276754119,7407392652,7651830156,6860866586,6833363305,6881785589,6872112130
7276754119,7286654119,7407392652,7651830156,6860866586,6833363305,6881785589,6872112130
7322279707,7406092652,7407013784,7648610653,6802264241,6833363305,6881785589,6872112130
7302442652,7406292652,7407013784,7648610653,6802264241,6833363305,6881785589,6872112130
7302642652,7406292652,7407013784,7648610653,6798816446,6833363305,6881785589,6872112130
7306842652,7406792652,7410013784,7648610653,6798816446,6833363305,6881785589,6872112130
7307092652,7406992652,7410013784,7648610653,6798816446,6833363305,6881785589,6872112130
7406092652,7406992652,7410013784,7648610653,6798816446,6833363305,6881785589,6872112130
7406292652,7407092652,7403730156,7648610653,6798816446,6833363305,6881785589,6872112130
7406292652,7407292652,7403830156,7648610653,6798816446,6833363305,6881785589,6872112130
7406792652,7407392652,7403830156,7648610653,6798816446,6833363305,6881785589,6872112130
7406992652,7407392652,7403830156,7648610653,6798816446,6833363305,6881785589,6872112130
7406992652,7407392652,7403830156,7648610653,6798816446,6833363305,6881785589,6872112130
7407092652,7407392652,7403830156,7648610653,6798816446,6833363305,6881785589,6872112130
7407392652,7400613784,7404330156,7648517958,6798816446,6833363305,6881785589,6872112130
7407392652,7400613784,7404330156,7640544075,6798816446,6833363305,6881785589,6872112130
7407392652,7404813784,7651830156,7640451573,6798816446,6833363305,6881785589,6872112130
7400613784,7406813784,7651830156,7640451573,6798816446,6833363305,6881785589,6872112130
7400613784,7406913784,7651830156,7640345724,6798816446,6833363305,6881785589,6872112130
7406813784,7407013784,7655957374,7110714522,6798816446,6833363305,6881785589,6872112130
7407013784,7410013784,7655957374,7110539513,6798816446,6833363305,6881785589,6872112130
7407013784,7403730156,7655957374,7110539513,6798816446,6833363305,6881785589,6872112130
7407013784,7403830156,7655850991,7110445633,6798816446,6833363305,6881785589,6872112130
7410013784,7403830156,7648610653,7109587516,6798816446,6833363305,6881785589,6872112130
7410013784,7403830156,7648610653,7109587516,6798816446,6833363305,6881785589,6872112130
7403830156,7404330156,7648610653,7109587516,6798816446,6833363305,6881785589,6872112130
7403830156,7651830156,7648610653,7109587516,6798816446,6833363305,6881785589,6872112130
7404330156,7651830156,7648610653,7109587516,6798816446,6833363305,6881785589,6872112130
7651830156,7655957374,7648610653,7109587516,6798816446,6833363305,6881566093,6872112130
7654597374,7655957374,7640451573,7103344251,6798816446,6833363305,6881566093,6872112130
7655957374,7648610653,7153108932,7167465898,6798816446,6833363305,6881566093,6871893251
7655850991,7648610653,7110714522,7075323408,6798816446,6833363305,6881566093,6871893251
7648610653,7648610653,7110445633,7667465898,6798816446,6833363305,6881566093,6871893251
7648610653,7648610653,7109587516,7667465898,6798816446,6833363305,6881566093,6871893251
7640345724,7110814522,7103344251,7094469930,6798816446,6833363305,6881566093,6871893251
7153202680,7110722850,7103344251,7094469930,6798816446,6833363305,6881566093,6871893251
7153108932,7110539513,7103344251,7094469930,6798816446,6833363305,6881566093,6871893251
7110814522,7109587516,7167605444,7094469930,6798816446,6833363305,6881566093,6871893251
7110722850,7109587516,7167605444,7094469930,6798816446,6833363305,6881566093,6871893251
7110539513,7109587516,7167465898,7094469930,6798816446,6833363305,6881566093,6871893251
7110445633,7109587516,7075323408,7094469930,6798816446,6833363305,6881566093,6871893251
7109587516,7109587516,7075323408,7094469930,6798816446,6833363305,6881566093,6871893251
7109587516,7109587516,7075323408,7094469930,6798816446,6833363305,6881566093,6871893251
7109587516,7109587516,7075323408,7094469930,6798816446,6833363305,6881566093,6871893251
7109587516,7109587516,7667465898,7094469930,6798816446,6833363305,6881566093,6871893251
7109587516,7109587516,7667465898,7094469930,6798816446,6833363305,6881566093,6871893251
7167605444,7075323408,7094469930,7094469930,6798816446,6833363305,6881465167,6871893251
7075323408,7667465898,7094469930,7094469930,6798816446,6833363305,6881465167,6871893251
7075323408,7667465898,7094469930,7094333223,6798816446,6833363305,6881465167,6871893251
7667465898,7667465898,7094469930,7094333223,6798816446,6833363305,6881465167,6871893251
7667465898,7075653412,7094469930,7093976584,6798816446,6833363305,6881465167,6871893251
7069469930,7094469930,7094469930,7094076584,6798816446,6833363305,6881465167,6871893251
7094469930,7094469930,7094469930,7094076584,6798816446,6833363305,6881465167,6871893251
7094469930,7094469930,7094469930,7094076584,6798816446,6833363305,6881465167,6871893251
7094469930,7094469930,7094469930,7094076584,6798816446,6833363305,6881465167,6871893251
7093976584,7094076584,7094076584,7094977056,6833579741,6833363305,6881465167,6871893251
7094076584,7094076584,7094076584,7094977056,6833579741,6833363305,6881465167,6871893251
7094076584,7094076584,7095076584,7094977056,6833579741,6833363305,6881465167,6871893251
7094076584,7094076584,7095076584,7094977056,6833579741,6833363305,6881465167,6871893251
7094977056,7094977056,7094977056,6863648432,6833579741,6833363305,6881465167,6871893251
7094977056,7094977056,7094977056,6863648432,6833579741,6833363305,6881465167,6871893251
6863648432,6863648432,6863648432,6798816446,6833363305,6833363305,6881245692,6871893251
6802264241,6802264241,6798816446,6798816446,6833363305,6833363305,6881245692,6871893251
6802264241,6802264241,6798816446,6798816446,6833363305,6833363305,6881245692,6871893251
6802264241,6802264241,6798816446,6798816446,6833363305,6833363305,6881245692,6871893251
6798816446,6798816446,6798816446,6798816446,6833363305,6833363305,6881245692,6870181113
6856816446,6856816446,6833579741,6833579741,6833363305,6833363305,6881026231,6870181113
6833579741,6833579741,6833579741,6833579741,6833363305,6833363305,6881026231,6870181113
6833363305,6833363305,6833363305,6833363305,6833363305,6833146883,6881026231,9832
6833146883,6833146883,6833146883,6833146883,6832930475,6832721786,6880806784,9832
6832930475,6832930475,6832930475,6832930475,6832930475,6881566093,6880367932,9832
