open_time,open_token0,current_time,current_token0,token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_120s,token0_value_300s,token0_value_600s,token0_value_1200s,token0_value_1800s,token0_value_3600s,inflow_5s,outflow_5s,inflow_10s,outflow_10s,inflow_30s,outflow_30s,inflow_60s,outflow_60s,inflow_120s,outflow_120s,inflow_300s,outflow_300s,inflow_600s,outflow_600s,inflow_1200s,outflow_1200s,inflow_1800s,outflow_1800s,inflow_3600s,outflow_3600s,negative_holdings,num_addresses,max_address_holding,top_5_address_holding,top_10_address_holding,holding_entropy
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:41,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,7500000000,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,3707000000,0,0,3,0.674399784192069,1.0,1.0,0.7802271655654076
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:42,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,8957000000,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,4007500000,0,0,9,0.6238303181534622,0.9996257018091079,1.0,1.0240742290308051
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:43,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,9007800000,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,4038900000,-3828729228,-3828729228,13,0.6189804154596549,0.9918542177325509,0.9999009631335264,1.0632963615415665
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:44,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,5290170772,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,4118900000,-3828729228,-3828729228,14,0.6069581684430309,0.9801160504018063,0.9998543300395737,1.1384279471281127
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:45,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,5790170772,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,6208200000,-3828729228,-3828729228,30,0.4026932122032151,0.8440449727779389,0.9706517186946297,1.8946377634361264
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:46,7379770772,7500000000,7379770772,7379770772,7379770772,7379770772,7379770772,7379770772,7379770772,7379770772,7379770772,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,6208500000,-3828729228,-3828729228,31,0.40267375372473224,0.8440041878070388,0.9706048159780944,1.8950747281850968
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:47,7499770772,8957000000,7499770772,7499770772,7499770772,7499770772,7499770772,7499770772,7499770772,7499770772,7499770772,3021900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,6728900000,-3880819732,-3880819732,35,0.3715317511034493,0.8010224553790367,0.9462170637102646,2.0630057980811864
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:48,7848180268,9007800000,7848180268,7848180268,7848180268,7848180268,7848180268,7848180268,7848180268,7848180268,7848180268,2721500000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,6729000000,-3880819732,-3880819732,36,0.3715262297518205,0.801010551344925,0.9462030019319363,2.0631552074092814
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:49,8145180268,5290170772,8145180268,8145180268,8145180268,8145180268,8145180268,8145180268,8145180268,8145180268,8145180268,2987200000,-91903885,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,7026100000,-3920633113,-3920633113,38,0.3558161711333457,0.7671396649634933,0.9313844095586455,2.151182160392901
2024-06-09 06:34:41,5000000000,2024-06-09 06:34:50,8352966887,5790170772,8352966887,8352966887,8352966887,8352966887,8352966887,8352966887,8352966887,8352966887,8352966887,3154700000,-213613970,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,7273600000,-4042343198,-4042343198,39,0.34370875494940606,0.7410360756709194,0.9062225032996041,2.2264571941317994
