token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
69100500000,69133933050,69139633308,69359409562,247110,247110,247110,247110
69055120684,69137133308,69139633308,69659409562,247110,247110,247110,247110
69085120684,69137333308,69139564296,69659549562,247110,247110,247110,247110
69133933050,69137333308,69139484801,69659549562,247110,247110,247110,247110
69133933050,69137533308,69139385043,69659549562,247110,247110,247110,247110
69137133308,69137533308,69139385043,69659549562,247110,247110,247110,247110
69137333308,69137833308,69139524987,69659549562,247110,247110,247110,247110
69137333308,69138333308,69139126238,69659549562,247110,247110,247110,247110
69137533308,69138733308,69138788107,69659549562,247110,247110,247110,247110
69137833308,69138733308,69158908107,69659387958,247110,247110,247110,247110
69137833308,69139233308,69158908107,69659266756,247110,247110,247110,247110
69138533308,69139433308,69158908107,69659266756,247110,247110,247110,247110
69138733308,69139633308,69159308305,69659266756,247110,247110,247110,247110
69139433308,69139633308,69159308305,69659266756,247110,247110,247110,247110
69139433308,69139633308,69159608683,69659266756,247110,247110,247110,247110
69139633308,69139633308,69159608683,69659266756,247110,247110,247110,247110
69139633308,69139564296,69159608683,69659014258,247110,247110,247110,247110
69139633308,69139484801,69159608683,69659014258,247110,247110,247110,247110
69139633308,69139385043,69159608683,69659014258,247110,247110,247110,247110
69139285529,69158908107,69659549562,60536901535,247110,247110,247110,247110
69139524987,69158908107,69659549562,60536901535,247110,247110,247110,247110
69139126238,69158908107,69659549562,60536901535,247110,247110,247110,247110
69138727864,69158908107,69659549562,60636901535,247110,247110,247110,247110
69158908107,69159308305,69659549562,60636901535,247110,247110,247110,247110
69158908107,69159308305,69659549562,60636519003,247110,247110,247110,247110
69158908107,69159308305,69659549562,60636413488,247110,247110,247110,247110
69158908107,69159608683,69659549562,60636413488,247110,247110,247110,247110
69159308305,69159608683,69659549562,60736413488,247110,247110,247110,247110
69159308305,69159608683,69659387958,60736413488,247110,247110,247110,247110
69159608683,69159608683,69659266756,60736413488,247110,247110,247110,247110
69159608683,69659409562,69659266756,60836413488,247110,247110,247110,247110
69659549562,69659549562,60536901535,60531852819,247110,247110,247110,247110
69659549562,69659549562,60536901535,60531852819,247110,247110,247110,247110
69659549562,69659387958,60536901535,60531852819,247110,247110,247110,247110
69659266756,69659014258,60736413488,247110,247110,247110,247110,247110
69659266756,69659014258,60736413488,247110,247110,247110,247110,247110
69659014258,60536901535,60836413488,247110,247110,247110,247110,247110
60536901535,60636413488,60531852819,247110,247110,247110,247110,247110
60636413488,60736413488,247110,247110,247110,247110,247110,247110
60736413488,60736413488,247110,247110,247110,247110,247110,247110
60736413488,60836413488,247110,247110,247110,247110,247110,247110
60736413488,60836413488,247110,247110,247110,247110,247110,247110
60836413488,60531852819,247110,247110,247110,247110,247110,247110
60531852819,247110,247110,247110,247110,247110,247110,247110
247110,247110,247110,247110,247110,247110,247110,247110
247110,247110,247110,247110,247110,247110,247110,247110
