token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
159056701023427,211405374766256,210085298194673,241695856238171,349121003294749,516842008624621,772958770705660,831091081937918
190322402491747,199964248865148,264634027366096,260749363572433,349121003294749,501727558098347,772958770705660,831091081937918
200832177466596,201845091681624,261475215850934,260350176418267,349121003294749,501727558098347,772958770705660,831091081937918
214050270094920,174744620419877,261475215850934,260350176418267,348852871503877,501727558098347,772958770705660,831091081937918
187960741569662,223186363280904,283660821701251,260350176418267,346316079658174,501727558098347,772958770705660,831091081937918
211405374766256,228167929494600,284837544870873,260350176418267,354005345028640,501727558098347,772958770705660,831091081937918
199964248865148,215359602219759,283389228828248,260350176418267,355226470154794,501727558098347,772958770705660,831091081937918
201845091681624,189611848075567,283389228828248,260350176418267,355226470154794,501727558098347,772958770705660,831091081937918
174744620419877,215933898861845,274097958108737,260350176418267,362593418364399,474268107742603,772958770705660,831091081937918
223186363280904,266203961991917,285270891101313,260350176418267,383820166761036,474268107742603,772958770705660,831091081937918
228167929494600,259095315002794,278954657925777,260350176418267,394265888508715,474268107742603,772958770705660,831091081937918
215359602219759,236878474675267,244310840113851,259948197525496,394265888508715,474268107742603,772958770705660,831091081937918
189611848075567,272709860639872,255201518437555,245101948147118,394265888508715,474268107742603,772958770705660,831091081937918
215933898861845,261313093854284,256907158407349,216462244751101,396927438494152,474268107742603,772958770705660,831091081937918
266203961991917,249952669402769,282957726815461,216050124713195,416523497430986,474268107742603,772958770705660,831091081937918
259095315002794,234231670469633,278098027223029,216050124713195,418798439579723,467803640658618,772958770705660,831091081937918
236878474675267,253040841643828,276960164202147,216357893289714,418798439579723,467803640658618,772958770705660,831091081937918
272709860639872,256619261888536,276503062997945,212233893415655,419374574996884,455510645997751,772958770705660,831091081937918
261313093854284,228996210328186,275730777253559,212233893415655,435649477654248,456182630037553,772958770705660,831091081937918
249952669402769,228306730607245,307741107501935,212100345712258,450041585490809,456182630037553,772958770705660,831091081937918
234231670469633,210085298194673,306834967744978,210587821438215,450344220194180,454973272272021,772958770705660,831091081937918
253040841643828,264634027366096,304518673197008,211992631086080,457817004794483,454973272272021,772958770705660,831091081937918
256619261888536,261475215850934,252740333114884,210666468857269,463024106470053,454973272272021,772958770705660,831091081937918
228996210328186,261475215850934,277669255824054,205561121658547,471527644176908,454973272272021,772958770705660,831091081937918
228306730607245,283660821701251,258242777293800,205561121658547,471527644176908,454973272272021,772958770705660,831091081937918
210085298194673,284837544870873,273459654834300,204881432315631,471527644176908,452040532265190,772958770705660,831091081937918
264634027366096,283389228828248,275475976155706,218144958915376,496476748239155,452040532265190,772958770705660,831091081937918
261475215850934,283389228828248,253921967997526,214402393608664,458288615248129,452040532265190,772958770705660,831091081937918
261475215850934,274097958108737,251227958012982,218246174379055,495053085794254,452040532265190,772958770705660,831091081937918
283660821701251,285270891101313,262244632333627,205629384285622,460908060734919,453109377176874,772958770705660,831091081937918
284837544870873,278954657925777,241695856238171,209968646347805,460908060734919,453109377176874,772958770705660,831091081937918
283389228828248,244310840113851,260749363572433,209968646347805,460908060734919,455819799839610,772958770705660,831091081937918
283389228828248,255201518437555,260350176418267,243927726854252,468181084326653,455819799839610,772958770705660,831091081937918
285270891101313,282957726815461,260350176418267,236044476094121,440948426061163,449846231214990,772958770705660,831091081937918
278954657925777,278098027223029,260350176418267,232186792888379,442350737912770,449846231214990,772958770705660,831091081937918
244310840113851,276960164202147,260350176418267,214404318528692,442266160485555,449846231214990,772958770705660,831091081937918
256907158407349,275730777253559,260350176418267,212386057621555,432494653828194,449846231214990,772958770705660,831091081937918
282957726815461,307741107501935,260350176418267,209777749146143,432494653828194,482372962817545,772958770705660,831091081937918
278098027223029,306834967744978,260350176418267,204081054372904,431414495376557,482372962817545,772958770705660,831091081937918
276960164202147,304518673197008,259948197525496,221388478371130,442715969327872,482372962817545,772958770705660,831091081937918
276503062997945,252740333114884,245101948147118,221388478371130,442715969327872,482372962817545,772958770705660,831091081937918
275730777253559,277669255824054,216462244751101,221256083245995,443681944228607,482372962817545,772958770705660,831091081937918
307741107501935,258242777293800,216050124713195,221256083245995,443681944228607,482372962817545,772958770705660,831091081937918
306834967744978,273459654834300,216050124713195,215616231793530,444081131382773,479985746390886,772958770705660,831091081937918
304518673197008,275475976155706,216357893289714,211155667209786,444081131382773,479985746390886,772958770705660,831091081937918
252740333114884,253921967997526,212233893415655,212289659221946,444081131382773,486450213474871,772958770705660,831091081937918
277669255824054,251227958012982,212233893415655,212289659221946,442942487604898,486450213474871,772958770705660,831091081937918
258242777293800,262244632333627,212100345712258,215284716236422,448034307002320,486450213474871,772958770705660,831091081937918
273459654834300,241695856238171,210587821438215,224465602909808,448372894783243,486450213474871,772958770705660,831091081937918
275475976155706,260749363572433,211992631086080,226275133295345,448372894783243,486450213474871,772958770705660,831091081937918
253921967997526,260350176418267,210666468857269,223894891763561,448372894783243,486450213474871,776212342345068,831091081937918
251227958012982,260350176418267,205561121658547,225131175158319,449046924540448,486606025548446,776212342345068,831091081937918
262244632333627,260350176418267,205561121658547,226237494285709,455308451883696,486606025548446,776212342345068,831091081937918
241695856238171,260350176418267,204881432315631,216157929821021,455308451883696,486606025548446,777292500796705,831091081937918
260749363572433,260350176418267,218144958915376,216157929821021,455308451883696,486606025548446,777292500796705,831091081937918
260350176418267,260350176418267,214402393608664,209101537319401,455308451883696,486606025548446,777292500796705,831091081937918
260350176418267,260350176418267,218246174379055,211709845794813,455308451883696,486606025548446,777292500796705,831091081937918
260350176418267,260350176418267,205629384285622,224160730342284,480652765027897,486606025548446,777292500796705,831091081937918
260350176418267,260350176418267,209968646347805,225712383109376,480652765027897,486606025548446,777292500796705,831091081937918
260350176418267,259948197525496,209968646347805,225712383109376,481341899516916,486606025548446,777292500796705,831091081937918
260350176418267,245101948147118,243927726854252,227867586624971,481341899516916,494510266120333,777292500796705,831091081937918
216357893289714,211992631086080,221388478371130,219172371891183,436885911501866,494510266120333,777292500796705,831091081937918
212233893415655,210666468857269,221388478371130,219172371891183,434115928492739,494510266120333,777292500796705,831091081937918
212233893415655,205561121658547,221256083245995,213649747416207,434115928492739,494510266120333,777292500796705,831091081937918
212100345712258,205561121658547,221256083245995,213631075123584,433017762811918,494510266120333,777292500796705,831091081937918
211992631086080,218144958915376,211155667209786,213631075123584,433017762811918,494510266120333,778087867910955,831091081937918
210666468857269,214402393608664,212289659221946,213631075123584,433017762811918,494510266120333,778087867910955,831091081937918
205561121658547,205629384285622,215284716236422,213365000331823,424101392577904,494510266120333,778087867910955,831091081937918
204881432315631,209968646347805,224465602909808,210964482080916,424101392577904,494510266120333,778087867910955,831091081937918
218144958915376,209968646347805,226275133295345,210964482080916,424101392577904,494510266120333,778087867910955,831091081937918
214402393608664,243927726854252,223894891763561,212587974437943,433866777829617,494510266120333,778087867910955,831091081937918
218246174379055,243295338391118,225131175158319,219537259544074,430785802680660,494510266120333,778087867910955,831091081937918
209968646347805,232186792888379,216157929821021,217514073997851,430785802680660,494510266120333,778087867910955,831091081937918
209968646347805,214404318528692,216157929821021,217514073997851,430785802680660,495617995716226,778087867910955,831091081937918
243927726854252,212386057621555,209101537319401,220229844835231,430136421996071,497978105308967,778087867910955,831091081937918
243295338391118,212386057621555,211709845794813,218970483507622,430136421996071,497978105308967,778087867910955,831091081937918
236044476094121,209777749146143,224160730342284,218970483507622,430136421996071,497978105308967,778087867910955,831091081937918
232186792888379,204081054372904,225712383109376,218631895726699,424984985857244,452974564270959,778087867910955,831091081937918
212386057621555,221388478371130,227867586624971,216670677183408,424984985857244,452974564270959,779186033591776,831091081937918
212386057621555,221256083245995,225190422499963,222444653483955,428377344334257,452974564270959,779186033591776,831091081937918
209777749146143,221256083245995,225190422499963,224039433857182,428377344334257,452974564270959,779186033591776,831091081937918
204081054372904,215616231793530,228563217093836,224039433857182,427308499422573,452974564270959,779186033591776,831091081937918
221388478371130,211155667209786,224923774973843,229217393262884,426255590595071,452974564270959,779186033591776,831091081937918
221388478371130,212289659221946,222990481630251,223247342738518,426255590595071,452974564270959,779186033591776,831091081937918
221256083245995,215284716236422,219453168317640,231774328405278,426255590595071,487406907706042,779186033591776,831091081937918
215616231793530,224465602909808,219172371891183,231774328405278,426255590595071,487406907706042,779186033591776,831091081937918
211155667209786,226275133295345,219172371891183,231774328405278,426255590595071,487406907706042,779186033591776,831091081937918
212289659221946,225131175158319,213649747416207,233808513201962,426255590595071,487406907706042,779186033591776,831091081937918
224465602909808,216157929821021,213631075123584,247207016668140,423127787855533,487406907706042,779186033591776,831091081937918
226275133295345,216157929821021,213631075123584,252059923217859,423127787855533,487406907706042,779186033591776,831091081937918
223894891763561,209101537319401,213631075123584,267855651514226,423127787855533,487406907706042,779186033591776,831091081937918
226237494285709,224160730342284,213365000331823,264731238378010,426181893796673,487406907706042,779186033591776,831091081937918
216157929821021,225712383109376,210964482080916,277481771394182,426181893796673,487406907706042,779186033591776,831091081937918
216157929821021,225712383109376,210964482080916,277434318432545,426181893796673,487406907706042,779186033591776,831091081937918
209101537319401,227867586624971,212587974437943,277434318432545,427288955283622,487406907706042,779186033591776,831091081937918
211709845794813,225190422499963,219537259544074,283298041621413,427288955283622,487406907706042,779186033591776,831091081937918
224160730342284,225190422499963,217001634314162,286480654759168,426969388367792,487406907706042,779186033591776,831091081937918
225712383109376,228563217093836,217514073997851,315016897847823,406779550809405,487406907706042,779186033591776,831091081937918
227867586624971,222990481630251,220229844835231,322266876840719,406779550809405,485503390625340,779186033591776,831091081937918
225190422499963,222288594325681,218970483507622,324026157216585,406779550809405,485503390625340,779186033591776,831091081937918
225190422499963,219453168317640,218970483507622,323597316148871,406779550809405,485503390625340,779186033591776,831091081937918
228563217093836,219172371891183,218631895726699,329706675085178,406779550809405,485503390625340,779186033591776,831091081937918
222990481630251,219172371891183,216670677183408,344514046343406,406779550809405,485503390625340,779186033591776,831091081937918
222288594325681,213649747416207,222444653483955,344514046343406,406779550809405,485503390625340,779186033591776,831091081937918
219172371891183,213631075123584,224039433857182,351426852240570,424989890065038,472158467028843,779186033591776,831091081937918
219172371891183,213631075123584,229217393262884,358200315363744,424989890065038,472158467028843,779186033591776,831091081937918
219172371891183,213631075123584,223247342738518,361196383701432,424989890065038,472158467028843,779186033591776,831091081937918
213649747416207,213631075123584,231774328405278,361124105145681,424989890065038,472158467028843,779186033591776,831091081937918
213631075123584,213365000331823,231774328405278,360668751240284,424989890065038,472158467028843,779186033591776,831091081937918
213631075123584,210964482080916,231774328405278,360668751240284,423938184938856,472158467028843,779186033591776,831091081937918
213631075123584,219537259544074,233808513201962,378995695306858,424264788703196,472158467028843,779186033591776,831091081937918
213365000331823,217001634314162,231717377472578,356638507630681,424264788703196,472158467028843,779186033591776,831091081937918
217001634314162,218970483507622,264731238378010,360136090537282,427194299089015,472158467028843,779186033591776,831091081937918
217514073997851,218631895726699,277481771394182,345650489593904,427194299089015,472158467028843,779186033591776,831091081937918
220229844835231,216670677183408,277434318432545,346554749146882,427194299089015,472158467028843,779186033591776,831091081937918
218970483507622,222444653483955,283298041621413,335795540641868,439723775833112,472158467028843,779186033591776,831091081937918
218970483507622,224039433857182,286480654759168,335795540641868,439723775833112,472158467028843,779186033591776,831091081937918
218631895726699,224039433857182,315016897847823,335795540641868,439723775833112,472158467028843,779186033591776,831091081937918
216670677183408,223247342738518,322266876840719,307969259161637,439723775833112,472158467028843,779186033591776,831091081937918
222444653483955,231774328405278,324026157216585,308818486045882,439723775833112,472158467028843,779186033591776,831091081937918
