token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
30102400000,30103700000,30104500000,33092189542,58783231301,56740721630,73792168156,82744751914
30103600000,30103800000,30104500000,33823656090,57277788468,56740721630,73792168156,81649665151
30103700000,30103900000,30454500000,33910882282,57277788468,56740721630,72427288119,81856834107
30103700000,30103900000,30454500000,34260882282,57277788468,56452755223,69554035866,82489434107
30103700000,30104500000,30454500000,34356175470,56652959522,57760752782,70140735866,82224141115
30103800000,30104500000,31254245217,34819950549,57142159522,57659411914,70140735866,81825901367
30103900000,30104500000,31254245217,34085650885,57142159522,58416956059,70637535866,81486708849
30104500000,30104500000,30763367024,34983650885,57071409186,56939818308,70637535866,81662963135
30104500000,30104500000,30763367024,35532544678,57349209186,56939818308,70487872689,81662963135
30104500000,30104500000,30763367024,35532544678,56671867483,56939818308,69701464710,80217569168
31254245217,30763367024,33910882282,37837606975,57037233920,56887541035,69161513260,81547592201
31009637340,32263872505,34799950549,38737139418,57037233920,57146641035,69736253909,80680128701
30763367024,32099655325,34819950549,39185644853,56992266213,57283947686,69736253909,80680128701
32263872505,32490222359,34435650885,39043021909,55822842709,57840642617,68404757593,80781533403
32099655325,32247766059,34983650885,39845986170,55822842709,57202094001,68416031693,79917528452
32490222359,33129232368,35532544678,39845986170,53943713989,57394861476,68316636482,79799367311
32247766059,33233346866,35532544678,39690150117,53943713989,57394861476,68068626228,79799367311
33129232368,33092189542,35532544678,41129411888,52915127972,57623366204,69604926228,80492257931
33129232368,33092189542,35882544678,40888430686,52915127972,57623366204,69604926228,80492257931
33233346866,33823656090,37184446141,40888430686,52955495571,57623366204,69604926228,80492257931
33092189542,34356175470,36820555718,40659612034,52931619490,57623366204,68690343690,79798893282
33823656090,34819950549,37379740222,41818513016,52931619490,57623366204,68690343690,79937765931
33910882282,34085650885,38079740222,41818513016,52931619490,57623366204,67879732906,79950437311
34819950549,34983650885,38086590220,42357605845,52931619490,57284961006,68561363926,79242134470
34085650885,35532544678,37837606975,42793869715,53597719490,57284961006,69243139269,79242134470
34435650885,35532544678,38287294133,43676725730,53583897145,57284961006,68308448213,79242134470
34435650885,35532544678,38287294133,43676725730,53718115822,57284961006,68308448213,79242134470
34435650885,35532544678,38737139418,43676725730,53991215822,57284961006,67930509345,79242134470
34983650885,35532544678,39185644853,43676725730,53991215822,57200314259,67699233071,79242134470
35532544678,35532544678,38938735579,43676725730,54159187163,57979514259,67699233071,79242134470
35532544678,35532544678,38938735579,43676725730,53037814705,57952345184,68331195122,79242134470
35532544678,37184446141,39845986170,43676725730,53035395209,57952345184,68331195122,79242134470
35532544678,37184446141,39845986170,44376725730,53595095209,58376345184,67995759788,79245855089
37270744359,37737844161,40888430686,46058131264,52796851327,57775132778,68464561411,75728807737
37379740222,38086590220,40888430686,46058131264,52522294120,59481826212,69199451943,76022386400
37327844161,38287294133,40913430686,46617223362,52625157254,58655908003,68098441691,75295749256
37737844161,38287294133,40659612034,46617223362,52835157254,58655908003,68027929926,74268941180
37737844161,38737139418,41468513016,46617223362,52835157254,58655908003,67328681275,74431969033
38086590220,39185644853,41818513016,46722894244,52835157254,58655908003,67328681275,74431969033
37837606975,38938735579,41818513016,46722894244,52708132785,57830555011,68495681275,74431969033
38287294133,38938735579,41818513016,46722894244,52708132785,58200755011,68847367806,73176637203
38287294133,39043021909,41818513016,47967514605,52708132785,58200755011,69147167806,72935838264
39185644853,39845986170,42357605845,47718593684,52477785573,58533098500,69147167806,72490871071
38938735579,39845986170,42793869715,47718593684,52477785573,58533098500,69142583368,72740471071
38938735579,39845986170,43676725730,48627339207,52763285573,59065359945,69142583368,71719284364
39043021909,39845986170,43676725730,48627339207,52240084600,59490059945,68116686379,71719284364
39845986170,39690150117,43676725730,48322336637,51974362962,59490059945,67753568928,71607955327
39845986170,39690150117,43676725730,48981897609,51460063656,59646444766,68084968928,71607955327
39845986170,41129411888,43676725730,49086609654,52302363656,59677721313,68484090938,70957088940
39690150117,40888430686,43676725730,49086609654,52591787779,57969638023,68365075836,72575162555
40888430686,41818513016,46302468334,49297799928,52347352565,57592360151,68136238056,71059398576
40913430686,41818513016,46302468334,49297799928,52347352565,57060027556,68136238056,70552384365
40659612034,41818513016,46058131264,49297799928,52347352565,57441727556,68136238056,70309199017
41468513016,42620102724,46058131264,49297799928,52471038023,57441727556,68772238056,70059375132
41818513016,42793869715,46158945905,49852653983,52581935848,58538255457,69820287723,69590972105
41818513016,43676725730,46617223362,50748519349,52581935848,58394876905,69946254593,69496056346
42620102724,43676725730,46617223362,50748519349,52581935848,58394876905,69946254593,69496056346
42357605845,43676725730,46722894244,52235975181,52581935848,57617672532,68792483194,69844956346
43676725730,43676725730,47718593684,52235975181,52443037689,58366024138,68189999858,68817811513
43676725730,43676725730,47718593684,52235975181,53013849210,58366024138,68504374310,68817811513
43676725730,44376725730,47718593684,52503040206,52884114864,58366024138,69086653604,68817811513
43676725730,46278927500,48627339207,52444285658,52884114864,58934750997,70176738378,68817811513
46302468334,46158945905,49086609654,54599724001,52585167171,58159376771,68862801252,72502968541
46302468334,46617223362,49297799928,54699724001,52603862549,58425389960,68862801252,72502968541
46058131264,46617223362,49297799928,55017547339,52211517056,58508568648,68577036488,72579872217
46058131264,46722894244,49297799928,55717547339,52211517056,58386076345,69781174784,72432790248
46617223362,47967514605,49297799928,54735036517,52489117056,59359597967,68777627919,72334538165
46722894244,47718593684,49852653983,55190791970,52722647820,59121986290,68519636368,71748777911
46722894244,48627339207,50748519349,55990791970,52998847820,59121986290,68519636368,71748777911
47718593684,48322336637,52235975181,56632050165,53025801387,59121986290,69803312525,72387841071
48627339207,49086609654,52235975181,57282439214,53082587874,58464612737,70587705427,72294888902
48627339207,49086609654,52235975181,57282439214,53172818352,61859357106,70587705427,71448080384
48981897609,49297799928,52444285658,57282439214,53910744467,61577563061,68988589494,71368589244
49086609654,49297799928,53239804495,57835876625,53433537990,61577563061,70234847255,70933896134
49086609654,49297799928,54029762041,58728138335,53433537990,61577563061,70460804665,71896773893
49297799928,49297799928,54474068226,58092258446,53802296701,61671263061,71382298733,71604275336
49297799928,50748519349,54699724001,59594178562,54390339267,62933231944,71382298733,70126189451
52235975181,52503040206,55190791970,60547047818,55247942202,61660390788,69362145462,70851548604
52235975181,52444285658,55990791970,60547047818,55247942202,61660390788,69362145462,70935572701
52235975181,53239804495,56632050165,60585013257,55223014838,61660390788,69265054462,71846151626
54029762041,54599724001,57282439214,60891718815,54783026271,61650609072,69949454462,71633728301
54474068226,54699724001,57282439214,61446410695,54783026271,61650609072,69949454462,70574598412
54474068226,54317547339,57383952838,61762506146,54783026271,61650609072,70898754462,70574598412
54599724001,55717547339,57835876625,61551466439,54391084672,62255089276,70850853135,70574598412
54599724001,55717598339,58728138335,61551466439,54380102380,65366289276,72413036652,70574598412
54699724001,55467117002,57981110844,61551466439,55444302380,65366289276,71588761606,70574598412
