token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11543656313,11865056313,12528186952,13120263419,15462316835,256746,256746,256746
11564956313,11865056313,12528686952,13120263419,15462316835,256746,256746,256746
11812556313,11885056313,12528686952,13120263419,15462316835,256746,256746,256746
11814756313,12105256313,12538686952,13130375048,15462316835,256746,256746,256746
11865056313,12105456313,12538580242,13130375048,15462316835,256746,256746,256746
11865056313,12105556313,12538352238,13130375048,15462316835,256746,256746,256746
11885056313,12106056313,12538245539,13130140358,15462316835,256746,256746,256746
11985056313,12106856313,12538245539,13130150358,15462316835,256746,256746,256746
12105256313,11829019387,12538132135,13204700004,15462316835,256746,256746,256746
12105456313,12076639387,12537925926,13204700004,15462326835,256746,256746,256746
12106056313,12076639387,12537712513,13214593546,15462326835,256746,256746,256746
12106856313,12086639387,12537712513,13214593546,15462326835,256746,256746,256746
11829019387,12087739387,12537712513,13214593546,15462326835,256746,256746,256746
12076639387,12088339387,12537712513,13214593546,15462326835,256746,256746,256746
12076639387,12088339387,12537382233,13214593546,15462326835,256746,256746,256746
12076639387,12518839387,12260269463,13214450683,15462326835,256746,256746,256746
12086639387,12518839387,12500163419,13095556073,15462326835,256746,256746,256746
12087739387,12466344306,13120263419,13095556073,15462326835,256746,256746,256746
12088339387,12528186952,13120263419,13095556073,15462326835,256746,256746,256746
12518839387,12538686952,13120263419,14095556073,15462326835,256746,256746,256746
12466344306,12538686952,13120263419,14095556073,15462326835,256746,256746,256746
12528186952,12538580242,13120263419,13559735815,15462326835,256746,256746,256746
12528686952,12538245539,13120263419,13811790437,15460412829,256746,256746,256746
12538686952,12538132135,13120263419,13811790437,15616786477,256746,256746,256746
12538580242,12537925926,13120263419,13578658190,15616786477,256746,256746,256746
12538352238,12537712513,13120263419,13578658190,15616786477,256746,256746,256746
12538245539,12537712513,13120085048,13451235771,15616786477,256746,256746,256746
12537925926,12537712513,13130375048,13451235771,15616786477,256746,256746,256746
12537712513,12537382233,13130375048,13451235771,15616786477,256746,256746,256746
12537712513,12260269463,13130140358,13451235771,15616786477,256746,256746,256746
12537712513,13120263419,13204700004,13451235771,15616786477,256746,256746,256746
12537712513,13120263419,13204700004,13451235771,15616786477,256746,256746,256746
12537382233,13120263419,13204593546,13551235771,15616786477,256746,256746,256746
13120263419,13120263419,13214593546,13556033770,15616786477,256746,256746,256746
13120263419,13120263419,13214450683,13556033770,15616786477,256746,256746,256746
13120263419,13120263419,13095556073,13556033770,15616786477,256746,256746,256746
13120263419,13120263419,13095556073,13556033770,15616786477,256746,256746,256746
13130150358,13214593546,13451235771,13794951593,15626786477,256746,256746,256746
13204700004,13214593546,13451235771,13794951593,15626786477,256746,256746,256746
13214593546,13214450683,13451235771,13814981593,15626786477,256746,256746,256746
13214593546,13095556073,13451235771,13143880999,15626786477,256746,256746,256746
13214593546,13095556073,13451235771,13143880999,15626786477,256746,256746,256746
13214593546,13095556073,13551235771,13143880999,15626786477,256746,256746,256746
13214450683,14095556073,13556023770,13143880999,15626786477,256746,256746,256746
14095556073,13811790437,13556033770,13143890999,15626786477,256746,256746,256746
14095556073,13811790437,13556033770,13143890999,15626786477,256746,256746,256746
13811790437,13451235771,13780480428,13143890999,15626596971,256746,256746,256746
13578658190,13451235771,13785016593,12857596749,15626596971,256746,256746,256746
13578658190,13451235771,13785016593,12857596749,256746,256746,256746,256746
13451235771,13451235771,13794941593,12857596749,256746,256746,256746,256746
13451235771,13451235771,13794941593,12957596749,256746,256746,256746,256746
13451235771,13556023770,13794951593,12957596749,256746,256746,256746,256746
13556033770,13556033770,13143880999,13468596749,256746,256746,256746,256746
13556033770,13780480428,13143880999,13468596749,256746,256746,256746,256746
13556033770,13785016593,13143890999,13468596749,256746,256746,256746,256746
13794941593,13794951593,13143890999,13444967756,256746,256746,256746,256746
13794941593,13794951593,13143890999,13444967756,256746,256746,256746,256746
13794941593,13814981593,12857596749,13444967756,256746,256746,256746,256746
13794951593,13814981593,12857596749,13444967756,256746,256746,256746,256746
13814981593,13143880999,12957596749,14311761916,256746,256746,256746,256746
13143880999,13143890999,13468596749,14311761916,256746,256746,256746,256746
13143890999,13143890999,13468596749,14321761916,256746,256746,256746,256746
13143890999,13143890999,13468596749,14308418434,256746,256746,256746,256746
12957596749,13468596749,13444967756,14325844297,256746,256746,256746,256746
12957596749,13468596749,13444967756,14475914297,256746,256746,256746,256746
