token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
11895000000,8440666729,8967599667,10003186479,8894787985,11861094464,9744254028,10931875688
6682915876,8539666729,8967599667,10038136479,8894787985,11861094464,9744254028,10931875688
6682915876,7659439010,8967599667,10738136479,8914787985,12121094464,9744254028,10931875688
8539666729,9754539010,10235460591,11011109074,8649114298,12460094464,9744254028,10931875688
7809439010,10254639010,10791959035,10319076989,8749114298,12460094464,9744254028,10931875688
8854439010,10255639010,10791959035,10319076989,8749114298,12146875100,9741559730,10931875688
9754539010,10780516261,11152459035,10469076989,8749114298,11770749862,9741559730,10627432321
9754539010,10243393109,11152459035,10719076989,8749114298,11770749862,9734311370,10627432321
10254639010,10243693109,11295040007,10406844776,8749114298,11770749862,9734311370,10627432321
10255639010,10243693109,11295040007,10606844776,9249114298,11770749862,9783811370,10627432321
10255639010,10243693109,11422015365,10876844776,9249775978,11770749862,9783811370,10627432321
10780516261,10243693109,11422015365,10876844776,9030917114,11770749862,9783811370,10627432321
10243693109,8966599667,11422015365,10876844776,9030917114,11835749862,9783811370,10627432321
10243693109,8967599667,11422015365,10876844776,9030917114,11835749862,9783811370,10627432321
10243693109,8967599667,11422015365,10876844776,9030917114,11977604805,9271360146,10627432321
8966499667,8967599667,11422015365,10876844776,9030917114,11977604805,9271360146,10627432321
8966599667,9264599667,11422015365,8868691002,9172917114,12057604805,9271360146,10627432321
8967599667,10791959035,11179708093,9543661216,9172917114,12117604805,9247479486,10627432321
9264599667,10791959035,11179708093,9543661216,9172917114,12222373270,9247479486,10627432321
10735517872,10791959035,10003186479,9791161216,9172917114,12222373270,9247479486,10627432321
10791959035,11295040007,10888136479,10221180877,9227870222,12222373270,9247479486,10627432321
10791959035,11295040007,10888136479,10221180877,9227870222,12254373270,9247479486,10627432321
11152459035,11422015365,11011109074,10221180877,9219529142,12725328762,8955024850,10627432321
11152459035,11422015365,10319076989,10221180877,9886452690,12324387276,8955024850,10627432321
11422015365,11422015365,10419076989,11740352775,9660063973,12503270139,8865277407,10627432321
11422015365,11422015365,10469076989,11750352775,9860063973,12503270139,8865277407,10627432321
11422015365,11422015365,10406844776,11306869661,9860063973,12327354010,8888911677,10627432321
11422015365,11169808093,10876844776,11306869661,9860063973,12516751883,8870127752,10627432321
10003186479,11011109074,9580243620,9766281274,9526119431,12558700868,9205690747,10627432321
10038136479,11011109074,9580243620,9766281274,9526119431,12558700868,9205690747,10627432321
10888136479,10319076989,9791161216,11168884645,9825119431,12555300899,9210819868,10627432321
11011109074,10469076989,9791161216,11169181645,9825119431,12569300899,9355035329,10627432321
10319076989,10719076989,10221180877,10869361344,9607565326,12569300899,9355035329,10627432321
10319076989,10406844776,10221180877,10969361344,9607565326,12569300899,9505035329,10627432321
10419076989,10876844776,10221180877,10552581744,9586278889,12288625711,9506622384,10627432321
10719076989,10876844776,10221180877,10570878744,9586278889,12418625711,9467870447,10627432321
10876844776,10876844776,11740352775,10840851744,9616278889,12418625711,10457870447,10627432321
10876844776,10876844776,11750352775,10841445744,9616278889,12418625711,10457870447,10627432321
10876844776,10876844776,11890352775,10841445744,9410901502,12418625711,10457870447,10627432321
10876844776,8868691002,11306869661,10841445744,9410901502,12418625711,10457870447,10627432321
10876844776,8868691002,11306869661,10835602421,9410901502,12384695491,10444538285,10627432321
10876844776,9580243620,11306869661,10835602421,9147395876,12384695491,9940117851,10627432321
9543661216,10221180877,10155971386,10898255102,9147395876,12789695491,9899453684,10608541654
9791161216,10221180877,9766281274,10898552102,9147395876,12789695491,9899453684,10608541654
10221180877,10221180877,9966281274,11498253163,9149395876,12733358858,9899453684,10608541654
10221180877,11740352775,11168884645,11497924274,9149395876,12606187763,9899453684,10608541654
10221180877,11890352775,10869361344,11040984726,10149395876,12626187763,10128944342,10608541654
11306869661,10130168577,10819269744,10500712422,10086504838,12626187763,10055784129,10608541654
11306869661,10044486386,10840554744,11260844832,9737525137,12558736619,10075784129,10608541654
12106869661,10055971386,10841445744,11033102239,9737624137,12558549434,10075784129,10608541654
11062886187,10055971386,10841445744,11033102239,9737624137,12558549434,10075784129,10342133686
10130168577,10155971386,10841445744,11033102239,9737624137,12808549434,10075784129,10342133686
10055971386,9766281274,10835602421,11083102239,9737624137,12858549434,10075784129,10342133686
10055971386,9966281274,10835602421,11083102239,9737624137,12172167673,10075784129,10342133686
10155971386,9966281274,10835602421,11083102239,9737624137,12172167673,10175784129,10342133686
9766281274,11168884645,10835602421,11083102239,9737624137,12172167673,10175784129,10342133686
9766281274,11168884645,10835602421,11083102239,9737624137,12472167673,10175784129,10342133686
9766281274,11169181645,10835899421,11083102239,9737624137,12472167673,10175784129,10251348313
9966281274,10969361344,10898255102,11610950523,9368173767,12472167673,10274950456,10251348313
11168884645,10969361344,10898552102,11610950523,9467173767,12472167673,10226774732,10251348313
10869361344,10570878744,11498253163,10945378089,9467173767,12572167673,10226774732,10251348313
10969361344,10840554744,11497924274,10557028283,9467173767,13467735594,10256774732,10251348313
10552878744,10841445744,11040984726,11317028283,9467173767,13467735594,10256774732,10251348313
10570878744,10841445744,11040984726,11317028283,9467173767,13467735594,10256774732,10251348313
10819269744,10841445744,11040984726,11317028283,9567173767,13467735594,10836774732,10251348313
10840851744,10835602421,11380038498,10706080907,9567173767,13437823139,10836774732,10251348313
10841445744,10835602421,11380038498,10706080907,9567173767,13437823139,10836774732,10251348313
10841445744,10835602421,11380038498,10706080907,9567173767,13437823139,10836774732,10251348313
10841445744,10835602421,10500712422,10706080907,9567173767,13378060812,10836774732,10137379202
10835602421,10835602421,11260844832,10344577494,9567173767,12800463835,10836774732,10137379202
10835602421,10835602421,10983602239,10344577494,9567173767,12800463835,10836774732,10137379202
10835602421,10835899421,11033102239,10344577494,9567173767,12800463835,10836774732,10137379202
10835602421,10898552102,11033102239,10344577494,10067173767,12806463835,10843704732,8971265584
11148253163,11040984726,11083102239,10641570293,10212173767,12902463835,10933576348,8971265584
11498253163,11040984726,11610950523,10641570293,10212173767,12902463835,10933576348,8971265584
11497924274,11040984726,11610950523,10641570293,10262173767,12902463835,10933576348,8971265584
11497924274,11380038498,11610950523,10641570293,10025820279,13572362689,10933576348,8971265584
11040984726,11380038498,10935378089,10641570293,11043820279,13578362689,10933576348,8199192960
11040984726,11380038498,10945378089,10641570293,11043820279,13596362689,10933576348,8199192960
11040984726,10500712422,10945378089,10641570293,11168820279,13596362689,10933576348,8199192960
11380038498,11033102239,11317028283,10641570293,11180820279,13596362689,10973576348,8199192960
11260844832,11033102239,11317028283,10641570293,10775435016,13596362689,10921785309,8199192960
11033102239,11083102239,10706080907,10991570293,11816082092,13596362689,11061785309,7469060232
11033102239,11083102239,10344577494,10750076363,11816082092,13604362689,11061785309,7469060232
11083102239,11083102239,10344577494,10770076363,11809290156,13604362689,11105709479,7469060232
11083102239,11083102239,10344577494,10770076363,11809290156,13604362689,11085518831,7469060232
11083102239,11253833828,10844577494,10249937611,11427919552,12923589724,11085518831,7469060232
10945378089,11317028283,10641570293,10349937611,11595264264,13455440771,11700511585,7151834602
10757028283,10706080907,10641570293,9225029203,12374863143,13352299059,11700511585,7151834602
11317028283,10706080907,10641570293,9225029203,11507578510,13352299059,11700511585,7151834602
11317028283,10706080907,10641570293,9225029203,11727578510,13352299059,11700511585,7151834602
11317028283,10344577494,10641570293,9225029203,11779738836,13852299059,11700511585,7090411956
10706080907,10344577494,10641570293,9225029203,11779738836,13852299059,11898511585,7590411956
10706080907,10344577494,10641570293,9472529203,11779738836,13626596966,11898511585,7590411956
10344577494,10844577494,10641570293,9295980425,12084381462,13626596966,11898511585,7328281698
10344577494,10641570293,10750076363,9211206704,11790060058,13334734967,11741547829,7200132442
10641570293,10641570293,10249937611,8588170229,11601017299,13106108204,11563873268,7200132442
10641570293,10641570293,10249937611,8236931090,11651017299,13106108204,11563873268,7200132442
10641570293,10641570293,10349937611,7892737561,12226777371,13306108204,11652790137,7200132442
10770076363,10249937611,9209206704,8017379425,13264712552,14100446872,11739008556,7414325905
10770076363,10349937611,9211206704,8017379425,11911638828,14099066311,11712859842,7312231541
10249937611,10349937611,9211206704,8017379425,12675768350,14099066311,11712859842,7312231541
10349937611,9225029203,8588170229,8117379425,11456373913,14230709880,11640249086,7312231541
10349937611,9225029203,7944911676,8117379425,11456373913,14280709880,11640249086,7412231541
9225029203,9295980425,7774169564,8894787985,12014956098,14280709880,11697583838,7412231541
9225029203,9295980425,7874169564,8894787985,12014956098,14280709880,11697583838,7412231541
9209206704,9186492262,8062260030,8894787985,11695340331,14688663286,11697583838,7403309080
9209206704,9186492262,8062260030,8914787985,11862939059,14584976662,11037473400,7403309080
9186492262,8236931090,8017379425,8649114298,11879869059,14584976662,11037473400,7400630270
8588170229,7892737561,8017379425,8749114298,11912939059,14046901282,11037473400,7400630270
8236931090,7892737561,8017379425,8749114298,12019869059,14066901282,11008837302,7400630270
7892737561,7774169564,8017379425,9249114298,12121032794,13865940882,11008837302,7396048877
7892737561,8022260030,8117379425,9030917114,12138926559,13965940882,10816304671,7396048877
7892737561,8022260030,8117379425,9030917114,12138926559,14095940882,10816304671,7396048877
7774169564,8022260030,8117379425,9030917114,12138926559,18538958358,10816304671,7391345458
8022260030,8062260030,8894787985,9172917114,12299926559,14462717493,10731579062,6920601122
8062260030,8007479425,8894787985,9172917114,12299926559,14462717493,10731579062,6920601122
8062260030,8017379425,8894787985,9172917114,12399926559,13565843101,10731579062,7054601122
8007479425,8017379425,8894787985,9137870222,12225398016,13565843101,10530261435,7050269090
8017379425,8117379425,8649114298,9219529142,11782549000,13936836724,10530261435,7074371759
8017379425,8117379425,8649114298,9219529142,11782549000,13976879779,10530261435,7074371759
8117379425,8894787985,9249775978,9860063973,12684264661,14041860892,10354672694,6895940963
8894787985,8914787985,9030917114,9526119431,12555105654,13899657594,10854672694,6900940963
8894787985,8914787985,9172917114,9526119431,12546782504,13899657594,10854672694,6900940963
8649114298,8749114298,9227870222,9607565326,12121094464,14059657594,10789843391,6447516600
8749114298,9249775978,9219529142,9586278889,12240094464,14099657594,10767180391,6447516600
8749114298,9030917114,9660063973,9586278889,12460094464,13841394729,10767180391,6447516600
9030917114,9172917114,9860063973,9410901502,11770749862,13864551880,10764316803,6447516600
9030917114,9172917114,9860063973,9147395876,11770749862,13864551880,10764316803,6447516600
9030917114,9172917114,9526119431,9147395876,11770749862,14002167970,10764316803,6447516600
9172917114,9227870222,9526119431,9147395876,12057604805,13826189705,10926817920,6447516600
9219529142,9660063973,9825119431,9149395876,12222373270,14066627976,10926817920,6252084465
9886452690,9860063973,9607565326,10149395876,12222373270,14417400535,10926817920,6252084465
9660063973,9860063973,9586278889,10149395876,12230328762,14507400535,10844403589,6252084465
9860063973,9526119431,9586278889,10086504838,12324387276,14507400535,10801469820,6252084465
9860063973,9526119431,9586278889,10086504838,12324387276,14507400535,10801469820,6252084465
9526119431,9526119431,9616278889,9737624137,12503270139,14470519967,10801469820,6252084465
