token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
740014399430,740166499430,740169599430,741679605911,747254013724,758209887335,294217,294217
740014399430,740166499430,740170099430,741679605911,747254013724,758209887335,294217,294217
740164699430,740166499430,740170099430,741669611025,747254013724,758209887335,294217,294217
740164999430,740166499430,740170099430,741669611025,747254013724,758209887335,294217,294217
740166499430,740166499430,740170099430,741669611025,747254013724,758209887335,294217,294217
740166499430,740168699430,740169703839,741669611025,747254013724,758209887335,294217,294217
740166499430,740168899430,740169604297,741669611025,747254013724,761109887335,294217,294217
740166499430,740168999430,740169305712,741668611979,747254013724,761109887335,294217,294217
740169199430,740169299430,741579305712,741668611979,747254013724,761109887335,294217,294217
740169299430,740169299430,741579605911,741668611979,747254013724,761109887335,294217,294217
740169299430,740169299430,741579605911,741668611979,747254013724,761109887335,294217,294217
740169299430,740169599430,741579605911,741668611979,747254013724,761109887335,294217,294217
740169299430,740169599430,741579605911,741668611979,747254013724,761109887335,294217,294217
740169299430,740170099430,741579605911,741668611979,747254013724,761639887335,294217,294217
740170099430,740169305712,741679605911,741666613903,747254013724,761639887335,294217,294217
740170400426,740169305712,741679605911,741666613903,747254013724,761639887335,294217,294217
740169305712,741579305712,741669611025,741666613903,747254013724,761639887335,294217,294217
740169305712,741579605911,741669611025,741666613903,747254013724,761639887335,294217,294217
740169305712,741579605911,741669611025,741666613903,747254013724,761639887335,294217,294217
741569305712,741579605911,741669611025,741666613903,747254013724,761639887335,294217,294217
741579305712,741579605911,741668611979,741666613903,747254013724,761639887335,294217,294217
741579605911,741579605911,741668611979,741666613903,747254013724,761639887335,294217,294217
741579605911,741579605911,741668611979,741666613903,747254013724,761639887335,294217,294217
741579605911,741679605911,741668611979,741666613903,747254013724,761639887335,294217,294217
741679605911,741669611025,741666613903,741666613903,747254013724,761639887335,294217,294217
741669611025,741668611979,741666613903,741666613903,747254013724,761639887335,294217,294217
741668611979,741668611979,741666613903,744066613903,749354013724,761639887335,294217,294217
741666613903,741666613903,741666613903,744066613903,749354013724,763739887335,294217,294217
744066613903,744066613903,744066613903,745666613903,751154013724,763739887335,294217,294217
745666613903,745666613903,745666613903,747166613903,754754013724,765339887335,294217,294217
745666613903,745666613903,745666613903,747166613903,754754013724,765339887335,294217,294217
747166613903,747166613903,747166613903,747166613903,754209887335,766639887335,294217,294217
747551014930,747551014930,747254013724,747254013724,756209887335,768089887335,294217,294217
747551014930,747551014930,747254013724,747254013724,756209887335,768089887335,294217,294217
747254013724,747254013724,747254013724,747254013724,756209887335,769599887335,294217,294217
749354013724,749354013724,749354013724,751154013724,761639887335,770999887335,294217,294217
751154013724,751154013724,751154013724,754754013724,763739887335,770999887335,294217,294217
754754013724,754209887335,754209887335,754209887335,765339887335,772699887335,294217,294217
754209887335,754209887335,754209887335,756209887335,766639887335,772699887335,294217,294217
756209887335,756209887335,756209887335,756209887335,766639887335,774899887335,294217,294217
758209887335,758209887335,761109887335,761639887335,769599887335,776126867580,294217,294217
761109887335,761109887335,761639887335,761639887335,769599887335,776126867580,294217,294217
761639887335,761639887335,761639887335,763739887335,769599887335,776126867580,294217,294217
763739887335,763739887335,763739887335,763739887335,770999887335,778586267580,294217,294217
765339887335,765339887335,765339887335,766639887335,772699887335,778586267580,294217,294217
766639887335,766639887335,766639887335,766639887335,772699887335,782186267580,294217,294217
768039887335,768089887335,768089887335,769599887335,774899887335,783926267580,294217,294217
768089887335,768089887335,768099887335,769599887335,774899887335,783926267580,294217,294217
768099887335,769599887335,769599887335,769599887335,776126867580,786126267580,294217,294217
769599887335,769599887335,769599887335,770999887335,776126867580,786126267580,294217,294217
770999887335,770999887335,770999887335,770999887335,776186267580,796353266113,294217,294217
772699887335,772699887335,772699887335,772699887335,778586267580,796353266113,294217,294217
774899887335,774899887335,774899887335,774626867580,783786267580,294217,294217,294217
774626867580,774626867580,776126867580,776126867580,783926267580,294217,294217,294217
776126867580,776126867580,776126867580,776126867580,786126267580,294217,294217,294217
776186267580,776186267580,776186267580,778586267580,796353266113,294217,294217,294217
778586267580,778586267580,778586267580,778586267580,796353266113,294217,294217,294217
782186267580,782186267580,782186267580,783786267580,796353266113,294217,294217,294217
783786267580,783786267580,783786267580,783926267580,294217,294217,294217,294217
783926267580,783926267580,783926267580,796263266113,294217,294217,294217,294217
786126267580,786126267580,796263266113,796353266113,294217,294217,294217,294217
796263266113,796263266113,796353266113,796353266113,294217,294217,294217,294217
796353266113,796353266113,796353266113,796353266113,294217,294217,294217,294217
294217,294217,294217,294217,294217,294217,294217,294217
