token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
100530000000,100530000000,98614710523,100668610523,99642703787,99642703787,99642703787,99642703787
100530000000,100530000000,98614710523,100668710523,99642703787,99642703787,99642703787,99642703787
100530000000,99425349346,98614910523,100668710523,99642703787,99642703787,99642703787,99642703787
98877486603,98614210523,98615710523,100164953557,99642703787,99642703787,99642703787,99642703787
98927686603,98614710523,98616210523,100165553557,99642703787,99642703787,99642703787,99642703787
98927686603,98614710523,98616210523,100165853557,99642703787,99642703787,99642703787,99642703787
98927686603,98614710523,100617210523,100166253557,99642703787,99642703787,99642703787,99642703787
98614710523,98614710523,100617210523,100166753557,99642703787,99642703787,99642703787,99642703787
98614710523,98614910523,100617310523,99551294378,99642703787,99642703787,99642703787,99642703787
98614710523,98615310523,100617310523,99551294378,99642703787,99642703787,99642703787,99642703787
98615610523,98615710523,100668710523,99552294378,99642703787,99642703787,99642703787,99642703787
98615710523,98615710523,100668710523,99552294378,99642703787,99642703787,99642703787,99642703787
98615710523,98616210523,100668710523,99552294378,99642703787,99642703787,99642703787,99642703787
98615710523,100617210523,100114853557,99552294378,99642703787,99642703787,99642703787,99642703787
100617310523,100617610523,100165553557,99642597635,99642703787,99642703787,99642703787,99642703787
100617310523,100667610523,100166253557,99642597635,99642703787,99642703787,99642703787,99642703787
100617610523,100668710523,100166753557,99642597635,99642703787,99642703787,99642703787,99642703787
100668710523,100668710523,99551294378,99642400710,99642703787,99642703787,99642703787,99642703787
100668710523,100114653557,99551294378,99642400710,99642703787,99642703787,99642703787,99642703787
100668710523,100114853557,99551294378,99642302249,99642703787,99642703787,99642703787,99642703787
100668710523,100114853557,99551294378,99642302249,99642703787,99642703787,99642703787,99642703787
100668710523,100164853557,99552294378,99642302249,99642703787,99642703787,99642703787,99642703787
100164853557,100165853557,99552294378,99642802249,99642703787,99642703787,99642703787,99642703787
100164953557,100166253557,99552294378,99642703787,99642703787,99642703787,99642703787,99642703787
100165553557,100166753557,99552294378,99642703787,99642703787,99642703787,99642703787,99642703787
100166253557,99846811416,99552196096,99642703787,99642703787,99642703787,99642703787,99642703787
100166753557,99551294378,99642597635,99642703787,99642703787,99642703787,99642703787,99642703787
99845411416,99551294378,99642597635,99642703787,99642703787,99642703787,99642703787,99642703787
99846811416,99551294378,99642597635,99642703787,99642703787,99642703787,99642703787,99642703787
99551294378,99551294378,99642597635,99642703787,99642703787,99642703787,99642703787,99642703787
99551294378,99551294378,99642597635,99642703787,99642703787,99642703787,99642703787,99642703787
99551294378,99552294378,99642499172,99642703787,99642703787,99642703787,99642703787,99642703787
99551294378,99552294378,99642499172,99642703787,99642703787,99642703787,99642703787,99642703787
99551294378,99552294378,99642499172,99642703787,99642703787,99642703787,99642703787,99642703787
99552294378,99552294378,99642302249,99642703787,99642703787,99642703787,99642703787,99642703787
99642597635,99642499172,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642597635,99642499172,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642597635,99642400710,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642400710,99642302249,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642302249,99642802249,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642302249,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642703787,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
99642703787,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787,99642703787
205324,205324,205324,205324,205324,205324,205324,205324
